time,Globals.simulation_time_step
2026-04-19T15:52:10.497754,0.008333333
2026-04-19T15:52:10.506987,0.008333333
2026-04-19T15:52:10.515320,0.008333333
2026-04-19T15:52:10.523653,0.008333333
2026-04-19T15:52:10.531986,0.008333333
2026-04-19T15:52:10.540319,0.008333333
2026-04-19T15:52:10.548652,0.008333333
2026-04-19T15:52:10.556985,0.008333333
2026-04-19T15:52:10.565318,0.008333333
2026-04-19T15:52:10.573651,0.008333333
2026-04-19T15:52:10.581984,0.008333333
2026-04-19T15:52:10.590317,0.008333333
2026-04-19T15:52:10.598650,0.008333333
2026-04-19T15:52:10.606983,0.008333333
2026-04-19T15:52:10.615316,0.008333333
2026-04-19T15:52:10.623649,0.008333333
2026-04-19T15:52:10.631982,0.008333333
2026-04-19T15:52:10.640315,0.008333333
2026-04-19T15:52:10.648648,0.008333333
2026-04-19T15:52:10.656981,0.008333333
2026-04-19T15:52:10.665314,0.008333333
2026-04-19T15:52:10.673647,0.008333333
2026-04-19T15:52:10.681980,0.008333333
2026-04-19T15:52:10.690313,0.008333333
2026-04-19T15:52:10.698646,0.008333333
2026-04-19T15:52:10.706979,0.008333333
2026-04-19T15:52:10.715312,0.008333333
2026-04-19T15:52:10.723645,0.008333333
2026-04-19T15:52:10.731978,0.008333333
2026-04-19T15:52:10.740311,0.008333333
2026-04-19T15:52:10.748644,0.008333333
2026-04-19T15:52:10.756977,0.008333333
2026-04-19T15:52:10.765310,0.008333333
2026-04-19T15:52:10.773643,0.008333333
2026-04-19T15:52:10.781976,0.008333333
2026-04-19T15:52:10.790309,0.008333333
2026-04-19T15:52:10.798642,0.008333333
2026-04-19T15:52:10.806975,0.008333333
2026-04-19T15:52:10.815308,0.008333333
2026-04-19T15:52:10.823641,0.008333333
2026-04-19T15:52:10.831974,0.008333333
2026-04-19T15:52:10.840307,0.008333333
2026-04-19T15:52:10.848640,0.008333333
2026-04-19T15:52:10.856973,0.008333333
2026-04-19T15:52:10.865306,0.008333333
2026-04-19T15:52:10.873639,0.008333333
2026-04-19T15:52:10.881972,0.008333333
2026-04-19T15:52:10.890305,0.008333333
2026-04-19T15:52:10.898638,0.008333333
2026-04-19T15:52:10.906971,0.008333333
2026-04-19T15:52:10.915304,0.008333333
2026-04-19T15:52:10.923637,0.008333333
2026-04-19T15:52:10.931970,0.008333333
2026-04-19T15:52:10.940303,0.008333333
2026-04-19T15:52:10.948636,0.008333333
2026-04-19T15:52:10.956969,0.008333333
2026-04-19T15:52:10.965302,0.008333333
2026-04-19T15:52:10.973635,0.008333333
2026-04-19T15:52:10.981968,0.008333333
2026-04-19T15:52:10.990301,0.008333333
2026-04-19T15:52:10.998634,0.008333333
2026-04-19T15:52:11.006967,0.008333333
2026-04-19T15:52:11.015300,0.008333333
2026-04-19T15:52:11.023633,0.008333333
2026-04-19T15:52:11.031966,0.008333333
2026-04-19T15:52:11.040299,0.008333333
2026-04-19T15:52:11.048632,0.008333333
2026-04-19T15:52:11.056965,0.008333333
2026-04-19T15:52:11.065298,0.008333333
2026-04-19T15:52:11.073631,0.008333333
2026-04-19T15:52:11.081964,0.008333333
2026-04-19T15:52:11.090297,0.008333333
2026-04-19T15:52:11.098630,0.008333333
2026-04-19T15:52:11.106963,0.008333333
2026-04-19T15:52:11.115296,0.008333333
2026-04-19T15:52:11.123629,0.008333333
2026-04-19T15:52:11.131962,0.008333333
2026-04-19T15:52:11.140295,0.008333333
2026-04-19T15:52:11.148628,0.008333333
2026-04-19T15:52:11.156961,0.008333333
2026-04-19T15:52:11.165294,0.008333333
2026-04-19T15:52:11.173627,0.008333333
2026-04-19T15:52:11.181960,0.008333333
2026-04-19T15:52:11.190293,0.008333333
2026-04-19T15:52:11.198626,0.008333333
2026-04-19T15:52:11.206959,0.008333333
2026-04-19T15:52:11.215292,0.008333333
2026-04-19T15:52:11.223625,0.008333333
2026-04-19T15:52:11.231958,0.008333333
2026-04-19T15:52:11.240291,0.008333333
2026-04-19T15:52:11.248624,0.008333333
2026-04-19T15:52:11.256957,0.008333333
2026-04-19T15:52:11.265290,0.008333333
2026-04-19T15:52:11.273623,0.008333333
2026-04-19T15:52:11.281956,0.008333333
2026-04-19T15:52:11.290289,0.008333333
2026-04-19T15:52:11.298622,0.008333333
2026-04-19T15:52:11.306955,0.008333333
2026-04-19T15:52:11.315288,0.008333333
2026-04-19T15:52:11.323621,0.008333333
2026-04-19T15:52:11.331954,0.008333333
