time,tracker6.ekf6_cov_0,tracker6.ekf6_cov_1,tracker6.ekf6_cov_2,tracker6.ekf6_cov_3,tracker6.ekf6_cov_4,tracker6.ekf6_cov_5,tracker6.ekf6_cov_6,tracker6.ekf6_cov_7,tracker6.ekf6_cov_8,tracker6.ekf6_cov_9,tracker6.ekf6_cov_10,tracker6.ekf6_cov_11,tracker6.ekf6_cov_12,tracker6.ekf6_cov_13,tracker6.ekf6_cov_14,tracker6.ekf6_cov_15,tracker6.ekf6_cov_16,tracker6.ekf6_cov_17,tracker6.ekf6_cov_18,tracker6.ekf6_cov_19,tracker6.ekf6_cov_20,tracker6.ekf6_cov_21,tracker6.ekf6_cov_22,tracker6.ekf6_cov_23,tracker6.ekf6_cov_24,tracker6.ekf6_cov_25,tracker6.ekf6_cov_26,tracker6.ekf6_cov_27,tracker6.ekf6_cov_28,tracker6.ekf6_cov_29,tracker6.ekf6_cov_30,tracker6.ekf6_cov_31,tracker6.ekf6_cov_32,tracker6.ekf6_cov_33,tracker6.ekf6_cov_34,tracker6.ekf6_cov_35
2026-08-21T00:30:42.103218,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-08-21T00:30:42.112931,0.09990010988674669,0.0,0.0,8.315029571913471e-7,0.0,0.0,0.0,0.09990010988674669,0.0,0.0,8.315029571913474e-7,0.0,0.0,0.0,0.09990010988674669,0.0,0.0,8.315029571913471e-7,8.315029571913471e-7,0.0,0.0,0.09990010295755539,0.0,0.0,0.0,8.31502957191347e-7,0.0,0.0,0.09990010295755539,0.0,0.0,0.0,8.315029571913471e-7,0.0,0.0,0.09990010295755539
2026-08-21T00:30:42.121264,0.05235911761352059,-1.2037062152420224e-35,1.2411458092523618e-35,0.00018914087433423622,-1.410593220986745e-37,-6.371486882649118e-36,0.0,0.0523591176135206,0.0,-4.622231866529366e-33,0.00018914087433423622,0.0,1.241145809252362e-35,1.5407439555097887e-33,0.05235911761352059,2.617037130944772e-33,-1.5407439555097887e-33,0.00018914087433423622,0.00018914087433423622,-1.5407439555097887e-33,2.617037130944772e-33,0.05235753829414022,-1.3481509610710651e-33,-1.3369551933178104e-33,-9.4039548065783e-38,0.00018914087433423622,0.0,-1.3000027124613842e-33,0.05235753829414022,-2.311115933264683e-33,-6.371486882649118e-36,3.851859888774472e-34,0.00018914087433423622,-1.3369551933178102e-33,-2.311115933264683e-33,0.05235753829414022
2026-08-21T00:30:42.129597,0.03840980134987636,-1.0532429383367696e-35,9.24232972770932e-36,0.00023726534431913675,-4.6549576292562585e-36,-4.698471997758494e-36,-1.0532429383367696e-35,0.03840980134987636,-1.5407439555097887e-33,-1.764275961262155e-33,0.00023726534431913675,-1.925929944387236e-34,9.24232972770932e-36,-7.703719777548943e-34,0.03840980134987636,9.971676825562463e-34,-5.7777898331617076e-34,0.00023726534431913677,0.00023726534431913675,-5.95458418352538e-34,9.971676825562463e-34,0.03840662710487243,-5.175936725540696e-34,-5.07188155230511e-34,-4.513898307157584e-36,0.00023726534431913675,0.0,-4.995380793254393e-34,0.03840662710487243,-2.1185229388259594e-33,-4.698471997758451e-36,-1.925929944387236e-34,0.00023726534431913677,-5.07188155230511e-34,-2.1185229388259594e-33,0.03840662710487243
2026-08-21T00:30:42.137930,0.03262106157286146,-6.033818329396447e-36,6.253830640272223e-36,0.0002530322878147533,-3.166568088845616e-36,-3.2108412964723647e-36,-8.462580606322613e-36,0.032621061572861466,-6.999060721137692e-34,-8.020154777680533e-34,0.00025303228781475335,-8.921513077715324e-35,6.253830640272221e-36,-3.5136408819853757e-34,0.032621061572861466,4.516521203974536e-34,-2.65404517699236e-34,0.00025303228781475335,0.0002530322878147533,-2.7140061382646624e-34,4.516521203974536e-34,0.03261661412847647,-2.3397666560500477e-34,-2.319674837905056e-34,-3.055876034970263e-36,0.0002530322878147533,-1.774887932641217e-36,-2.2378644803143204e-34,0.03261661412847647,-9.615410234587341e-34,-3.210841296472345e-36,-9.052403201021341e-35,0.00025303228781475335,-2.319674837905056e-34,-9.605509988321518e-34,0.032616614128476475
2026-08-21T00:30:42.146263,0.029886365901943598,-3.595084168096882e-36,4.0942913062140696e-36,0.0002580222370214202,-2.080625000955449e-36,-2.1213961290756012e-36,-6.0025516998786216e-36,0.0298863659019436,-3.851859888774472e-34,-3.94460639305435e-34,0.0002580222370214202,-4.81482486096809e-35,4.0942913062140676e-36,-2.8888949165808538e-34,0.029886365901943605,2.2081285994611873e-34,-1.925929944387236e-34,0.0002580222370214202,0.0002580222370214202,-1.336066879144612e-34,2.2081285994611864e-34,0.02988099261203319,-1.1435209044799213e-34,-1.1427592553154463e-34,-1.9983403963978888e-36,0.00025802223702142013,-1.925929944387236e-34,-1.0833355937178202e-34,0.02988099261203319,-3.851859888774472e-34,-2.121396129075592e-36,-9.62964972193618e-35,0.0002580222370214202,-1.1427592553154463e-34,-3.3703774026776627e-34,0.029880992612033197
2026-08-21T00:30:42.154596,0.02851572368012006,-2.1648611938179616e-36,2.61708206534327e-36,0.00025911103657494893,-1.3305899053349455e-36,-1.3685754040594373e-36,-4.022451606377067e-36,0.02851572368012006,0.0,-2.0182983716704095e-34,0.0002591110365749489,-9.62964972193618e-35,2.61708206534327e-36,3.851859888774472e-34,0.028515723680120064,1.1255894015658692e-34,9.62964972193618e-35,0.00025911103657494893,0.00025911103657494893,-6.854519318350862e-35,1.1255894015658686e-34,0.028509719651928958,-5.818890987051869e-35,-5.880636237953555e-35,-1.2673240158759117e-36,0.0002591110365749488,-9.62964972193618e-35,-5.463008798153773e-35,0.028509719651928958,-3.3703774026776627e-34,-1.3685754040594328e-36,-1.2037062152420224e-34,0.000259111036574949,-5.880636237953559e-35,-2.8888949165808538e-34,0.028509719651928958
2026-08-21T00:30:42.162929,0.02780838429144454,-1.3018119563178913e-36,1.6383369385971506e-36,0.00025887714241735305,-8.328175011693579e-37,-8.646867171521158e-37,-2.5994869136144753e-36,0.02780838429144454,-2.8888949165808538e-34,-1.0532007241379622e-34,0.0002588771424173531,1.925929944387236e-34,1.638336938597152e-36,0.0,0.02780838429144454,5.851462213317887e-35,-3.611118645726067e-35,0.00025887714241735305,0.0002588771424173531,-3.586523848978082e-35,5.851462213317884e-35,0.02780197225621147,-3.019889557699287e-35,-3.0859104932000245e-35,-7.863840102953425e-37,0.00025887714241735305,-1.3842621475283258e-34,-2.809497442730475e-35,0.027801972256211466,-2.6481536735324493e-34,-8.646867171521133e-37,9.62964972193618e-35,0.00025887714241735316,-3.0859104932000267e-35,-2.407412430484045e-34,0.02780197225621147
2026-08-21T00:30:42.171262,0.027437843521120938,-7.780358279157895e-37,1.0071519443497303e-36,0.000258313496133053,-5.116718226993116e-37,-5.364676844631804e-37,-1.6357182070508052e-36,0.027437843521120945,0.0,-5.552301117041757e-35,0.00025831349613305297,-9.027796614315168e-35,1.0071519443497312e-36,0.0,0.02743784352112094,3.0730796708490327e-35,9.62964972193618e-34,0.00025831349613305297,0.000258313496133053,-1.8958635766606206e-35,3.0730796708490284e-35,0.027431178562968103,-1.5833719485146685e-35,-1.6358215762916745e-35,-4.7887986331059354e-37,0.00025831349613305297,8.185202263645752e-34,-1.4595714099216075e-35,0.027431178562968096,1.925929944387236e-34,-5.364676844631791e-37,-1.3240768367662246e-34,0.000258313496133053,-1.635821576291676e-35,1.925929944387236e-34,0.027431178562968096
2026-08-21T00:30:42.179595,0.027242210603458113,-3.009265538105056e-36,1.1896612299593779e-36,0.0002577744870333743,-4.231779662960235e-36,-7.325990358311352e-37,-3.009265538105056e-36,0.02724221060345812,7.703719777548943e-34,-3.159728815010309e-35,0.00025777448703337424,-1.925929944387236e-34,1.1896612299593765e-36,1.1555579666323415e-33,0.02724221060345812,2.174442741003013e-35,5.7777898331617076e-34,0.00025777448703337424,0.00025777448703337424,-1.2319180796617573e-35,2.174442741003013e-35,0.027235394350268925,0.0,-7.56270319947286e-36,-4.137740114894452e-36,0.0002577744870333743,7.703719777548943e-34,0.0,0.027235394350268925,1.5407439555097887e-33,-7.325990358311343e-37,-1.925929944387236e-34,0.00025777448703337435,-7.562703199472873e-36,1.5407439555097887e-33,0.02723539435026892
2026-08-21T00:30:42.187928,0.027138495731970143,0.0,1.1089188849777004e-36,0.0002573578198867579,-6.58276836460481e-37,-2.5072735200181846e-38,-1.504632769052528e-36,0.027138495731970146,-5.7777898331617076e-34,-2.0218502834143345e-35,0.00025735781988675793,2.8888949165808538e-34,1.1089188849776994e-36,-3.851859888774472e-34,0.027138495731970146,1.851192753272997e-35,5.7777898331617076e-34,0.0002573578198867579,0.000257357819886758,-9.968192094972998e-36,1.8511927532729929e-35,0.02713159168615,3.009265538105056e-36,-4.67831651911053e-36,-5.64237288394698e-37,0.0002573578198867578,4.81482486096809e-34,0.0,0.02713159168614999,9.62964972193618e-35,-2.507273520018101e-38,1.925929944387236e-34,0.00025735781988675793,-4.678316519110466e-36,1.4444474582904269e-34,0.02713159168614999
