time,tracker3.kf3_info_0,tracker3.kf3_info_1,tracker3.kf3_info_2,tracker3.kf3_info_3,tracker3.kf3_info_4
2026-08-21T00:30:42.103218,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:42.112931,-6.2271185716114195,1033.3658756363811,1.0,1.0101158640543046,0.9901088139149066
2026-08-21T00:30:42.121264,-0.40949333943198174,0.009131071445890841,1.0,1.0158523108478754,0.5215679431916607
2026-08-21T00:30:42.129597,-0.02896501194068839,0.004264024979949518,1.0,1.0203806421994035,0.383335662060693
2026-08-21T00:30:42.137930,0.10460758536687242,0.0032638143458515725,1.0,1.0244863830692057,0.32587084061132277
2026-08-21T00:30:42.146263,0.16384044774276332,0.0028989526370457887,1.0,1.028467339770635,0.29870290738037847
2026-08-21T00:30:42.154596,0.19268162725973625,0.0027363538537754396,1.0,1.0324580354683417,0.2850811653857255
2026-08-21T00:30:42.162929,0.20735447821474454,0.0026571643381149796,1.0,1.0365244734552075,0.2780501106158638
2026-08-21T00:30:42.171262,0.21498492868557448,0.002616892486203462,1.0,1.0407002986873968,0.2743664897616807
2026-08-21T00:30:42.179595,0.2189982587663037,0.0025959564492672423,1.0,1.0450028707768948,0.27242154270489705
2026-08-21T00:30:42.187928,0.22112168303309027,0.0025849471521494816,1.0,1.049441063629578,0.27139038831793855
2026-08-21T00:30:42.196261,0.2222486984200996,0.002579122894010911,1.0,1.054019242232159,0.2708425069336913
2026-08-21T00:30:42.204594,0.222847861485921,0.002576031842574031,1.0,1.0587393464129788,0.27055106314030175
2026-08-21T00:30:42.212927,0.22316668061608522,0.0025743885790489225,1.0,1.0636019991555672,0.27039593363875036
2026-08-21T00:30:42.221260,0.22333640667286006,0.0025735142002505894,1.0,1.0686071010671252,0.270313333473315
2026-08-21T00:30:42.229593,0.22342678455244358,0.0025730487205316054,1.0,1.0737541509195347,0.2702693440566329
2026-08-21T00:30:42.237926,0.22347491662095656,0.002572800856507672,1.0,1.0790424192387404,0.270245914663849
