time,chol_variants.chol_res_norms_0,chol_variants.chol_res_norms_1,chol_variants.chol_res_norms_2
2026-08-21T00:30:42.103218,0.0,0.0,0.0
2026-08-21T00:30:42.112931,0.0,0.0,0.0
2026-08-21T00:30:42.121264,0.0,0.0,0.0
2026-08-21T00:30:42.129597,0.0,0.0,0.0
2026-08-21T00:30:42.137930,0.0,0.0,0.0
2026-08-21T00:30:42.146263,0.0,0.0,0.0
2026-08-21T00:30:42.154596,0.0,0.0,0.0
2026-08-21T00:30:42.162929,0.0,0.0,0.0
2026-08-21T00:30:42.171262,0.0,0.0,0.0
2026-08-21T00:30:42.179595,0.0,0.0,0.0
2026-08-21T00:30:42.187928,0.0,0.0,0.0
2026-08-21T00:30:42.196261,0.0,0.0,0.0
2026-08-21T00:30:42.204594,0.0,0.0,0.0
2026-08-21T00:30:42.212927,0.0,0.0,0.0
2026-08-21T00:30:42.221260,0.0,0.0,0.0
2026-08-21T00:30:42.229593,0.0,0.0,0.0
2026-08-21T00:30:42.237926,0.0,0.0,0.0
2026-08-21T00:30:42.246259,0.0,0.0,0.0
2026-08-21T00:30:42.254592,0.0,0.0,0.0
2026-08-21T00:30:42.262925,0.0,0.0,0.0
2026-08-21T00:30:42.271258,0.0,0.0,0.0
2026-08-21T00:30:42.279591,0.0,0.0,0.0
2026-08-21T00:30:42.287924,0.0,0.0,0.0
2026-08-21T00:30:42.296257,0.0,0.0,0.0
2026-08-21T00:30:42.304590,0.0,0.0,0.0
2026-08-21T00:30:42.312923,0.0,0.0,0.0
2026-08-21T00:30:42.321256,0.0,0.0,0.0
2026-08-21T00:30:42.329589,0.0,0.0,0.0
2026-08-21T00:30:42.337922,0.0,0.0,0.0
2026-08-21T00:30:42.346255,0.0,0.0,0.0
2026-08-21T00:30:42.354588,0.0,0.0,0.0
2026-08-21T00:30:42.362921,0.0,0.0,0.0
2026-08-21T00:30:42.371254,0.0,0.0,0.0
2026-08-21T00:30:42.379587,0.0,0.0,0.0
2026-08-21T00:30:42.387920,0.0,0.0,0.0
2026-08-21T00:30:42.396253,0.0,0.0,0.0
2026-08-21T00:30:42.404586,0.0,0.0,0.0
2026-08-21T00:30:42.412919,0.0,0.0,0.0
2026-08-21T00:30:42.421252,0.0,0.0,0.0
2026-08-21T00:30:42.429585,0.0,0.0,0.0
2026-08-21T00:30:42.437918,0.0,0.0,0.0
2026-08-21T00:30:42.446251,0.0,0.0,0.0
2026-08-21T00:30:42.454584,0.0,0.0,0.0
2026-08-21T00:30:42.462917,0.0,0.0,0.0
2026-08-21T00:30:42.471250,0.0,0.0,0.0
2026-08-21T00:30:42.479583,0.0,0.0,0.0
2026-08-21T00:30:42.487916,0.0,0.0,0.0
2026-08-21T00:30:42.496249,0.0,0.0,0.0
2026-08-21T00:30:42.504582,0.0,0.0,0.0
2026-08-21T00:30:42.512915,0.0,0.0,0.0
2026-08-21T00:30:42.521248,0.0,0.0,0.0
2026-08-21T00:30:42.529581,0.0,0.0,0.0
