time,tracker6.ekf6_state.0,tracker6.ekf6_state.1,tracker6.ekf6_state.2,tracker6.ekf6_state.3,tracker6.ekf6_state.4,tracker6.ekf6_state.5
2026-04-15T20:03:19.865502,0.0,0.0,100.0,10.0,0.0,-5.0
2026-04-15T20:03:19.872775,0.08433234274724027,0.00099900941390695,99.95933234274725,10.000999009344616,0.0009990093446150365,-4.999000990655385
2026-04-15T20:03:19.881108,0.16819948374334265,0.0015328170766759652,99.91819948374334,10.00152447613632,0.0015244761363184566,-4.998475523863681
2026-04-15T20:03:19.889441,0.2519319917114458,0.0019319917114457965,99.87693199171144,10.001910915060837,0.001910915060835597,-4.998089084939164
2026-04-15T20:03:19.897774,0.3356099902755891,0.00227665694225571,99.8356099902756,10.00223961152503,0.002239611525028034,-4.997760388474972
2026-04-15T20:03:19.906107,0.4192634309197194,0.002596764253052702,99.79426343091974,10.002541001673551,0.002541001673550694,-4.997458998326449
2026-04-15T20:03:19.914440,0.5029056876141995,0.0029056876141994935,99.75290568761422,10.00282868998047,0.002828689980469325,-4.99717131001953
2026-04-15T20:03:19.922773,0.5865432659784098,0.0032099326450764267,99.71154326597842,10.00310929847449,0.0031092984744900236,-4.996890701525508
2026-04-15T20:03:19.931106,0.6701794717025713,0.003512805035904565,99.67017947170258,10.003386193395116,0.0033861933951158914,-4.996613806604882
2026-04-15T20:03:19.939439,0.7538160231651373,0.0038160231651372003,99.62881602316514,10.003661125083525,0.0036611250835240105,-4.996338874916474
2026-04-15T20:03:19.947772,0.8374538244097205,0.0041204910763870195,99.58745382440972,10.003935014578621,0.003935014578619603,-4.996064985421378
2026-04-15T20:03:19.956105,0.9210933540958222,0.004426687429155288,99.54609335409582,10.0042083496067,0.004208349606696869,-4.995791650393301
2026-04-15T20:03:19.964438,1.00473486651816,0.004734866518159758,99.50473486651815,10.00448138930545,0.004481389305448564,-4.995518610694549
2026-04-15T20:03:19.972771,1.088378497019425,0.005045163686091704,99.4633784970194,10.004754271604718,0.004754271604714942,-4.9952457283952825
2026-04-15T20:03:19.981104,1.1720243177027017,0.005357651036035101,99.42202431770268,10.005027069988998,0.005027069988995229,-4.994972930011002
2026-04-15T20:03:19.989437,1.2556723670005994,0.005672367000599504,99.38067236700057,10.00529982362793,0.005299823627926863,-4.994700176372071
2026-04-15T20:03:19.997770,1.3393226654044028,0.0059893320710697,99.33932266540438,10.005572553405647,0.0055725534056454,-4.994427446594352
2026-04-15T20:03:20.006103,1.422975223841251,0.006308557174584593,99.29797522384122,10.00584527045847,0.005845270458467761,-4.994154729541529
2026-04-15T20:03:20.014436,1.5066300481386423,0.006630048138642686,99.25663004813862,10.006117980725152,0.006117980725149388,-4.993882019274848
2026-04-15T20:03:20.022769,1.5902871414045734,0.006953808071240585,99.21528714140454,10.006390687372798,0.006390687372795015,-4.993609312627202
2026-04-15T20:03:20.031102,1.6739465052966955,0.0072798386300293606,99.17394650529666,10.006663392090426,0.006663392090422234,-4.9933366079095745
2026-04-15T20:03:20.039435,1.757608140699137,0.007608140699137511,99.13260814069909,10.006936095778789,0.00693609577878508,-4.993063904221211
2026-04-15T20:03:20.047768,1.8412720480834666,0.007938714750133665,99.09127204808341,10.007208798918258,0.007208798918253872,-4.992791201081742
2026-04-15T20:03:20.056101,1.9249382277012084,0.008271561034542345,99.04993822770115,10.007481501765012,0.007481501765007146,-4.992518498234988
2026-04-15T20:03:20.064434,2.0086066796865225,0.008606679686522897,99.00860667968647,10.007754204455667,0.007754204455662055,-4.992245795544333
2026-04-15T20:03:20.072767,2.092277404110968,0.008944070777634658,98.96727740411092,10.00802690706308,0.008026907063074254,-4.991973092936921
