time,small2.sm2_state_0,small2.sm2_state_1
2026-05-06T20:26:44.173724,1.0,0.5
2026-05-06T20:26:44.180650,1.013972567918585,0.5098058879545688
2026-05-06T20:26:44.188983,1.0234335845289004,0.5150183556446232
2026-05-06T20:26:44.197316,1.0315740547888153,0.5188666829272458
2026-05-06T20:26:44.205649,1.0391780502224774,0.5221463405588336
2026-05-06T20:26:44.213982,1.0465401132148258,0.525156644047192
2026-05-06T20:26:44.222315,1.053792062410052,0.528031685759728
2026-05-06T20:26:44.230648,1.0609980926141738,0.53083680964642
2026-05-06T20:26:44.238981,1.0681908422874564,0.5336052520978599
2026-05-06T20:26:44.247314,1.0753872829642863,0.536354300333235
2026-05-06T20:26:44.255647,1.082596344884659,0.5390930524581243
2026-05-06T20:26:44.263980,1.089822756713232,0.54182632669137
2026-05-06T20:26:44.272313,1.0970690307388204,0.5445566831551346
2026-05-06T20:26:44.280646,1.1043365041049398,0.5472854845446141
2026-05-06T20:26:44.288979,1.1116258891773458,0.5500134568681933
2026-05-06T20:26:44.297312,1.1189375656663383,0.5527409871144963
2026-05-06T20:26:44.305645,1.1262717360246188,0.5554682816154736
2026-05-06T20:26:44.313978,1.1336285082119633,0.558195450396318
2026-05-06T20:26:44.322311,1.1410079398039616,0.560922552131094
2026-05-06T20:26:44.330644,1.1484100615076047,0.5636496181103454
2026-05-06T20:26:44.338977,1.1558348897004906,0.5663766650213197
2026-05-06T20:26:44.347310,1.1632824331178182,0.5691037017633306
2026-05-06T20:26:44.355643,1.1707526964186938,0.5718307330823618
2026-05-06T20:26:44.363976,1.1782456820881853,0.5745577615094154
2026-05-06T20:26:44.372309,1.1857613914517906,0.5772847883942458
2026-05-06T20:26:44.380642,1.1932998252165188,0.5800118144566541
2026-05-06T20:26:44.388975,1.2008609837594855,0.5827388400804938
2026-05-06T20:26:44.397308,1.208444867281845,0.5854658654704631
2026-05-06T20:26:44.405641,1.2160514758908942,0.5881928907357205
2026-05-06T20:26:44.413974,1.223680809643867,0.5909199159344756
2026-05-06T20:26:44.422307,1.231332868571292,0.593646941097769
2026-05-06T20:26:44.430640,1.2390076526894551,0.5963739662421531
2026-05-06T20:26:44.438973,1.2467051620070426,0.5991009913764542
2026-05-06T20:26:44.447306,1.2544253965286885,0.6018280165053789
2026-05-06T20:26:44.455639,1.2621683562568646,0.6045550416314367
2026-05-06T20:26:44.463972,1.2699340411928899,0.6072820667559659
2026-05-06T20:26:44.472305,1.2777224513374672,0.61000909187968
2026-05-06T20:26:44.480638,1.285533586690972,0.6127361170029595
2026-05-06T20:26:44.488971,1.2933674472536045,0.6154631421260073
2026-05-06T20:26:44.497304,1.3012240330254716,0.6181901672489315
2026-05-06T20:26:44.505637,1.30910334400663,0.6209171923717899
2026-05-06T20:26:44.513970,1.3170053801971102,0.6236442174946132
2026-05-06T20:26:44.522303,1.3249301415969283,0.6263712426174177
2026-05-06T20:26:44.530636,1.332877628206093,0.6290982677402123
2026-05-06T20:26:44.538969,1.3408478400246089,0.6318252928630015
2026-05-06T20:26:44.547302,1.3488407770524786,0.6345523179857878
2026-05-06T20:26:44.555635,1.3568564392897033,0.6372793431085727
2026-05-06T20:26:44.563968,1.364894826736284,0.6400063682313568
2026-05-06T20:26:44.572301,1.3729559393922206,0.6427333933541405
2026-05-06T20:26:44.580634,1.3810397772575136,0.6454604184769239
2026-05-06T20:26:44.588967,1.3891463403321629,0.6481874435997071
2026-05-06T20:26:44.597300,1.3972756286161687,0.6509144687224904
2026-05-06T20:26:44.605633,1.405427642109531,0.6536414938452736
2026-05-06T20:26:44.613966,1.4136023808122498,0.6563685189680567
2026-05-06T20:26:44.622299,1.421799844724325,0.6590955440908398
2026-05-06T20:26:44.630632,1.4300200338457567,0.6618225692136229
2026-05-06T20:26:44.638965,1.4382629481765448,0.664549594336406
2026-05-06T20:26:44.647298,1.4465285877166894,0.6672766194591891
