time,small2.sm2_cov.0,small2.sm2_cov.1,small2.sm2_cov.2,small2.sm2_cov.3
2026-04-19T03:21:38.489506,5.0,0.0,0.0,5.0
2026-04-19T03:21:38.490828,0.09804305570001648,0.000015956819145332024,0.000015956819145332024,0.09804292272652361
2026-04-19T03:21:38.499161,0.05193389064629369,0.0001924514601698722,0.0001924514601698722,0.05193222543989702
2026-04-19T03:21:38.507494,0.03824808226128595,0.0002384240335331481,0.00023842403353314812,0.03824484879208169
2026-04-19T03:21:38.515827,0.0325475655741638,0.00025349851785245466,0.00025349851785245466,0.0325430777973584
2026-04-19T03:21:38.524160,0.029850218568483425,0.0002582163077361163,0.00025821630773611623,0.029844818575154412
2026-04-19T03:21:38.532493,0.02849724813654971,0.0002591901444045795,0.0002591901444045795,0.028491226980248408
2026-04-19T03:21:38.540826,0.02779875441272858,0.00025890714779668055,0.0002589071477966805,0.02779233171840892
2026-04-19T03:21:38.549159,0.027432772814135427,0.0002583231141064983,0.0002583231141064983,0.02742610139957454
2026-04-19T03:21:38.557492,0.02723952621343659,0.00025777621265461015,0.0002577762126546101,0.02723270614037679
2026-04-19T03:21:38.565825,0.027137070591341152,0.0002573569172281172,0.0002573569172281172,0.027130164330945342
2026-04-19T03:21:38.574158,0.027082632797901275,0.00025706444892913566,0.0002570644489291356,0.027075677882805814
2026-04-19T03:21:38.582491,0.027053674874718582,0.00025687148949741286,0.00025687148949741286,0.02704669314742702
2026-04-19T03:21:38.590824,0.02703826128016064,0.0002567487840482695,0.00025674878404826956,0.027031265110024662
2026-04-19T03:21:38.599157,0.02703005424109054,0.00025667277019861994,0.00025667277019862005,0.027023050464871183
2026-04-19T03:21:38.607490,0.027025683557306925,0.00025662659288091703,0.00025662659288091714,0.02701867586942729
2026-04-19T03:21:38.615823,0.027023355693339565,0.00025659896253709877,0.0002565989625370989,0.027016346046514057
2026-04-19T03:21:38.624156,0.027022115776658726,0.00025658262810917274,0.0002565826281091728,0.027015105179614054
2026-04-19T03:21:38.632489,0.027021455320222834,0.00025657306601290647,0.0002565730660129065,0.027014444281024924
2026-04-19T03:21:38.640822,0.027021103510909583,0.000256567513873229,0.000256567513873229,0.02701409227791916
2026-04-19T03:21:38.649155,0.027020916106782467,0.00025656431215850903,0.0002565643121585091,0.027013904796861936
