time,tracker3.kf3_cov.0,tracker3.kf3_cov.1,tracker3.kf3_cov.2,tracker3.kf3_cov.3,tracker3.kf3_cov.4,tracker3.kf3_cov.5,tracker3.kf3_cov.6,tracker3.kf3_cov.7,tracker3.kf3_cov.8
2026-04-10T00:15:31.666836,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
2026-04-10T00:15:31.668674,0.0990108810557931,8.152969048655304e-6,-6.720218470701701e-8,8.1529690486553e-6,0.0990108138536084,8.153529066861198e-6,-6.7202184707017e-8,8.153529066861195e-6,0.09901081310971756
2026-04-10T00:15:31.677007,0.052156445576621885,0.00019072987909062914,-7.601944877511218e-7,0.0001907298790906291,0.05215566983085291,0.00019073646481654194,-7.601944877511219e-7,0.00019073646481654192,0.05215482500086786
2026-04-10T00:15:31.685340,0.03833282849889683,0.00023781712957034637,-6.017842093002e-7,0.00023781712957034624,0.03833161636461801,0.00023782667937399148,-6.017842093002002e-7,0.00023782667937399137,0.03832962585762595
2026-04-10T00:15:31.693673,0.03258609995391013,0.0002532534224649191,-3.2417494875970044e-7,0.00025325342246491884,0.03258459770214505,0.0002532617771153092,-3.24174948759702e-7,0.0002532617771153093,0.03258163317420014
2026-04-10T00:15:31.702006,0.029869175490282555,0.00025811683501892593,-7.136876231629992e-8,0.0002581168350189257,0.029867486642320182,0.00025812129464256994,-7.136876231629917e-8,0.00025812129464256994,0.02986378937491173
2026-04-10T00:15:31.710339,0.02850693857781744,0.00025915532426050886,1.2363314741676441e-7,0.0002591553242605085,0.02850513594224712,0.00025915478978496377,1.2363314741676743e-7,0.00025915478978496366,0.02850092627366947
2026-04-10T00:15:31.718672,0.02780380566679801,0.00025890250935258115,2.6176902649227544e-7,0.00025890250935258093,0.027801937596967793,0.0002588970386164208,2.6176902649227735e-7,0.0002588970386164206,0.027797388406697453
2026-04-10T00:15:31.727005,0.027435432764569143,0.00025833299577708785,3.5434815059138883e-7,0.0002583329957770878,0.027433529374241376,0.00025832327351190515,3.543481505913931e-7,0.00025832327351190483,0.027428764544194614
2026-04-10T00:15:31.735338,0.027240934487861173,0.0002577932385539197,4.1397056417342404e-7,0.0002577932385539197,0.027239013384536454,0.0002577801657058417,4.1397056417342457e-7,0.0002577801657058416,0.02723411618799927
2026-04-10T00:15:31.743671,0.02713781835956512,0.00025737753059765293,4.5122968237266317e-7,0.00025737753059765315,0.027135889209114993,0.00025736197813845457,4.5122968237266375e-7,0.0002573619781384545,0.027130912995276823
2026-04-10T00:15:31.752004,0.027083030512152113,0.0002570869005829005,4.7397543511772765e-7,0.00025708690058290075,0.027081098269666412,0.0002570695972371455,4.7397543511772823e-7,0.00025706959723714544,0.027076075963833202
2026-04-10T00:15:31.760337,0.02705388664193865,0.0002568949023414979,4.876062217686467e-7,0.000256894902341498,0.02705195364004536,0.00025687640672585185,4.876062217686479e-7,0.00025687640672585174,0.027046904967785203
2026-04-10T00:15:31.768670,0.027038374152559653,0.00025677270929157453,4.956536735002651e-7,0.00025677270929157453,0.027036441355588012,0.00025675342482274624,4.956536735002665e-7,0.00025675342482274607,0.0270313778524983
2026-04-10T00:15:31.777003,0.027030114482703416,0.00025669697340655284,5.003471365717519e-7,0.00025669697340655284,0.02702818219305235,0.0002566771790156905,5.003471365717504e-7,0.0002566771790156905,0.02702311047102426
2026-04-10T00:15:31.785336,0.02702571577970283,0.00025665094911526737,5.030568894894757e-7,0.00025665094911526737,0.02702378401173928,0.000256630831368862,5.030568894894721e-7,0.0002566308313688621,0.02701870779614839
2026-04-10T00:15:31.793669,0.02702337299633222,0.00025662340399426354,5.046080885680757e-7,0.0002566234039942636,0.027021441661202274,0.0002566030844628371,5.046080885680765e-7,0.000256603084462837,0.027016363019773074
2026-04-10T00:15:31.802002,0.027022125134748897,0.0002566071174238107,5.054896571660695e-7,0.00025660711742381086,0.02702019412390166,0.00025658667367269494,5.054896571660713e-7,0.0002565866736726948,0.027015114188849818
2026-04-10T00:15:31.810335,0.027021460447272327,0.00025659758234492094,5.059875445411351e-7,0.00025659758234492137,0.02701952966504152,0.0002565770630109236,5.059875445411373e-7,0.00025657706301092343,0.02701444904855549
2026-04-10T00:15:31.818668,0.02702110638467192,0.00025659204549869735,5.062672121412396e-7,0.0002565920454986976,0.02701917575715317,0.00025657148063861195,5.062672121412407e-7,0.0002565714806386118,0.027014094786249027
