time,tracker6.ekf6_info.0,tracker6.ekf6_info.1,tracker6.ekf6_info.2,tracker6.ekf6_info.3
2026-04-10T22:42:34.766943,0.0,0.0,0.0,0.0
2026-04-10T22:42:34.768742,0.002449489742785038,0.09990093793232611,0.09989927491197596,99.95936792192039
2026-04-10T22:42:34.777075,0.002449489742785038,0.052511025846976395,0.05175527886561911,99.91834072509131
2026-04-10T22:42:34.785408,0.002449489742785038,0.038779409923640304,0.037839737020150845,99.87725079392364
2026-04-10T22:42:34.793741,0.0024494897427850375,0.03318099400528209,0.0321861199413521,99.83617833083855
2026-04-10T22:42:34.802074,0.002449489742785038,0.0305932963097392,0.029584106054959168,99.79515304790137
2026-04-10T22:42:34.810407,0.002449489742785038,0.02932824198962073,0.02831825829454454,99.75418804432582
2026-04-10T22:42:34.818740,0.002449489742785038,0.028692855339321015,0.02768584003794488,99.71328960498417
2026-04-10T22:42:34.827073,0.0024494897427850383,0.02836939469708008,0.027365686047399126,99.6724608909897
2026-04-10T22:42:34.835406,0.002449489742785038,0.028203597938611748,0.02720252939449708,99.6317035466886
2026-04-10T22:42:34.843739,0.002449489742785038,0.028118317076857174,0.027119099599099014,99.59101845760487
2026-04-10T22:42:34.852072,0.002449489742785038,0.028074372113158528,0.02707636412392125,99.55040612369444
2026-04-10T22:42:34.860405,0.0024494897427849924,0.02805170639220879,0.0270544542318106,99.50986684741385
2026-04-10T22:42:34.868738,0.0024494897427849924,0.02804001038430124,0.027043216233307382,99.46940082962736
2026-04-10T22:42:34.877071,0.0024494897427849924,0.028033973502458332,0.027037450706973668,99.42900821882334
2026-04-10T22:42:34.885404,0.0024494897427849924,0.028030857179605278,0.02703449241324633,99.38868913645337
2026-04-10T22:42:34.893737,0.0024494897427849924,0.02802924838771492,0.02703297441572693,99.34844369000055
2026-04-10T22:42:34.902070,0.0024494897427849924,0.028028417828135505,0.027032195454795984,99.30827197972538
2026-04-10T22:42:34.910403,0.0024494897427849924,0.028027989035086704,0.02703179572284664,99.2681741021493
2026-04-10T22:42:34.918736,0.0024494897427849924,0.028027767661055306,0.027031590593598852,99.22815015185418
2026-04-10T22:42:34.927069,0.0024494897427849924,0.02802765337181193,0.02703148532702486,99.18820022241177
2026-04-10T22:42:34.935402,0.0024494897427849924,0.0280275943676749,0.027031431306716945,99.14832440686354
2026-04-10T22:42:34.943735,0.0024494897427849924,0.02802756390576403,0.027031403584547208,99.10852279796846
2026-04-10T22:42:34.952068,0.002449489742784993,0.028027548179382772,0.027031389357946706,99.06879548833062
2026-04-10T22:42:34.960401,0.0024494897427849924,0.028027540060487008,0.02703138205700159,99.02914257046484
2026-04-10T22:42:34.968734,0.0024494897427849932,0.028027535869066433,0.02703137831019393,98.98956413683034
2026-04-10T22:42:34.977067,0.0024494897427849924,0.02802753370524574,0.027031376387330434,98.95006027984756
2026-04-10T22:42:34.985400,0.0024494897427849924,0.028027532588185224,0.02703137540050433,98.91063109190677
2026-04-10T22:42:34.993733,0.0024494897427849932,0.02802753201151541,0.027031374894052298,98.87127666537195
2026-04-10T22:42:35.002066,0.0024494897427849924,0.028027531713819744,0.027031374634130943,98.8319970925826
