time,small2.sm2_cov.0,small2.sm2_cov.1,small2.sm2_cov.2,small2.sm2_cov.3
2026-04-10T20:19:59.888359,5.0,0.0,0.0,5.0
2026-04-10T20:19:59.890451,0.09804305570001648,0.000015956819145332027,0.00001595681914533202,0.0980429227265236
2026-04-10T20:19:59.898784,0.05193389064629369,0.0001924514601698722,0.00019245146016987216,0.05193222543989702
2026-04-10T20:19:59.907117,0.03824808226128594,0.0002384240335331481,0.00023842403353314807,0.03824484879208168
2026-04-10T20:19:59.915450,0.03254756557416379,0.00025349851785245466,0.0002534985178524547,0.03254307779735839
2026-04-10T20:19:59.923783,0.029850218568483425,0.0002582163077361163,0.0002582163077361163,0.029844818575154416
2026-04-10T20:19:59.932116,0.02849724813654971,0.0002591901444045795,0.0002591901444045795,0.028491226980248408
2026-04-10T20:19:59.940449,0.02779875441272858,0.0002589071477966805,0.0002589071477966805,0.02779233171840892
2026-04-10T20:19:59.948782,0.02743277281413542,0.0002583231141064983,0.0002583231141064983,0.02742610139957454
2026-04-10T20:19:59.957115,0.027239526213436584,0.00025777621265461015,0.00025777621265461015,0.02723270614037679
2026-04-10T20:19:59.965448,0.02713707059134115,0.0002573569172281173,0.0002573569172281173,0.027130164330945346
2026-04-10T20:19:59.973781,0.02708263279790127,0.00025706444892913566,0.00025706444892913566,0.027075677882805814
2026-04-10T20:19:59.982114,0.027053674874718582,0.00025687148949741286,0.00025687148949741286,0.027046693147427022
2026-04-10T20:19:59.990447,0.02703826128016064,0.0002567487840482695,0.00025674878404826956,0.02703126511002466
2026-04-10T20:19:59.998780,0.027030054241090545,0.00025667277019862,0.00025667277019862005,0.027023050464871183
2026-04-10T20:20:00.007113,0.027025683557306918,0.00025662659288091703,0.0002566265928809171,0.02701867586942729
2026-04-10T20:20:00.015446,0.027023355693339555,0.0002565989625370987,0.0002565989625370987,0.027016346046514057
2026-04-10T20:20:00.023779,0.02702211577665872,0.00025658262810917274,0.00025658262810917274,0.027015105179614054
2026-04-10T20:20:00.032112,0.02702145532022283,0.0002565730660129065,0.0002565730660129065,0.027014444281024924
2026-04-10T20:20:00.040445,0.027021103510909583,0.000256567513873229,0.00025656751387322893,0.027014092277919156
