time,tracker6.ekf6_cov.0,tracker6.ekf6_cov.1,tracker6.ekf6_cov.2,tracker6.ekf6_cov.3,tracker6.ekf6_cov.4,tracker6.ekf6_cov.5,tracker6.ekf6_cov.6,tracker6.ekf6_cov.7,tracker6.ekf6_cov.8,tracker6.ekf6_cov.9,tracker6.ekf6_cov.10,tracker6.ekf6_cov.11,tracker6.ekf6_cov.12,tracker6.ekf6_cov.13,tracker6.ekf6_cov.14,tracker6.ekf6_cov.15,tracker6.ekf6_cov.16,tracker6.ekf6_cov.17,tracker6.ekf6_cov.18,tracker6.ekf6_cov.19,tracker6.ekf6_cov.20,tracker6.ekf6_cov.21,tracker6.ekf6_cov.22,tracker6.ekf6_cov.23,tracker6.ekf6_cov.24,tracker6.ekf6_cov.25,tracker6.ekf6_cov.26,tracker6.ekf6_cov.27,tracker6.ekf6_cov.28,tracker6.ekf6_cov.29,tracker6.ekf6_cov.30,tracker6.ekf6_cov.31,tracker6.ekf6_cov.32,tracker6.ekf6_cov.33,tracker6.ekf6_cov.34,tracker6.ekf6_cov.35
2026-04-09T18:56:42.286321,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2026-04-09T18:56:42.288280,0.09990010988674669,4.574083617919685e-33,8.992633678981116e-35,8.315029571913472e-7,7.142115596500087e-33,3.48862771490633e-35,4.525935369310004e-33,0.09990010988674669,3.805637570109178e-31,5.361788965174065e-31,8.315029571913472e-7,3.19678392343128e-31,8.992633678981111e-35,3.805637570109178e-31,0.09990010988674669,1.0792239530818811e-32,6.671421327357385e-31,8.315029571913473e-7,8.315029571913471e-7,5.361788965174065e-31,1.0792239530818817e-32,0.09990010295755539,8.570869735009296e-31,4.186771893213385e-33,7.142115596500087e-33,8.315029571913472e-7,6.656013887802287e-31,8.571351217495393e-31,0.09990010295755539,8.628166150854817e-32,3.488627714906331e-35,3.1969035887561935e-31,8.315029571913473e-7,4.186771893213386e-33,8.551128953079327e-32,0.09990010295755539
2026-04-09T18:56:42.296613,0.05235911761352059,1.552781017662209e-33,3.114294173092186e-35,0.00018914087433423622,2.4626841748597088e-33,1.234192890417723e-35,1.564818079814629e-33,0.0523591176135206,8.589647551967072e-32,1.2017802852976352e-31,0.00018914087433423622,7.304089314088592e-32,3.1142941730921834e-35,8.628166150854817e-32,0.0523591176135206,2.452560005547288e-33,1.509929076399593e-31,0.00018914087433423622,0.00018914087433423625,1.1863728457425373e-31,2.4525600055472895e-33,0.05235753829414022,1.9393211760318034e-31,9.934170765173326e-34,2.462754704520758e-33,0.00018914087433423625,1.494521636844495e-31,1.9393512686871844e-31,0.05235753829414022,1.771855548836257e-32,1.2341928904177235e-35,7.304089314088592e-32,0.00018914087433423622,9.934170765173333e-34,1.771855548836257e-32,0.05235753829414022
2026-04-09T18:56:42.304946,0.038409801349876364,8.06483164212155e-34,3.9749411815367306e-35,0.00023726534431913675,1.2545757332738569e-33,9.239806069307459e-36,8.125016952883651e-34,0.038409801349876364,3.389636702121535e-32,4.6992690643048555e-32,0.00023726534431913677,2.754079820473747e-32,3.974941181536729e-35,3.389636702121535e-32,0.03840980134987636,3.298712332458685e-33,5.662234036498473e-32,0.0002372653443191368,0.0002372653443191368,4.622231866529366e-32,3.298712332458685e-33,0.03840662710487243,7.276704997691836e-32,6.6546144596275416e-34,1.2545933656891192e-33,0.00023726534431913675,5.623715437610729e-32,7.277607777353267e-32,0.03840662710487243,6.283346443563357e-33,9.239806069307463e-36,2.754079820473747e-32,0.00023726534431913677,6.654614459627544e-34,6.307420567868197e-33,0.038406627104872436
2026-04-09T18:56:42.313279,0.03262106157286147,4.65503593813242e-34,2.4927377602565276e-35,0.0002530322878147533,7.190931438672807e-34,5.484547978892023e-36,4.698371948113009e-34,0.03262106157286147,1.5562864799566107e-32,2.1484917810175868e-32,0.00025303228781475335,1.2458570292806559e-32,2.492737760256527e-35,1.5563665584966798e-32,0.032621061572861466,1.4989567138595282e-33,2.5662093992457716e-32,0.0002530322878147533,0.0002530322878147533,2.1135154349024065e-32,1.4989567138595284e-33,0.03261661412847647,3.2957020596214945e-32,2.964955519911075e-34,7.191036390343581e-34,0.0002530322878147533,2.548716647663899e-32,3.295980598148843e-32,0.03261661412847647,2.7101665431433615e-33,5.484547978892027e-36,1.2458617322936124e-32,0.0002530322878147533,2.964955519911076e-34,2.7204400367982718e-33,0.03261661412847647
2026-04-09T18:56:42.321612,0.02988636590194361,2.791806212184297e-34,1.5698689688930285e-35,0.0002580222370214202,4.278898548422338e-34,3.316839298731996e-36,2.8211112790874724e-34,0.02988636590194361,7.703719777548943e-33,1.0636846307848293e-32,0.00025802223702142013,6.548161810916602e-33,1.5698689688930283e-35,7.607423280329582e-33,0.0298863659019436,7.37542382473218e-34,1.2857087011553852e-32,0.00025802223702142013,0.00025802223702142013,1.0464898893441107e-32,7.375423824732181e-34,0.02988099261203319,1.616336784217197e-32,1.430466670311295e-34,4.278906020843167e-34,0.00025802223702142013,1.2771252414056808e-32,1.6164104469662835e-32,0.029880992612033187,3.037477402524791e-35,3.3168392987319986e-36,6.162975822039155e-33,0.00025802223702142013,1.4304666703112956e-34,3.639330510145802e-35,0.02988099261203319
2026-04-09T18:56:42.329945,0.028515723680120068,1.6905358791677203e-34,9.806233943269705e-36,0.00025911103657494893,2.569479174150291e-34,2.0036893554013532e-36,1.709648098777757e-34,0.028515723680120064,3.9830869169247704e-33,5.47409092799489e-33,0.0002591110365749488,3.3319844024066725e-33,9.806233943269704e-36,3.9331591891981775e-33,0.02851572368012006,3.7721965422183793e-34,6.556270165383156e-33,0.0002591110365749488,0.0002591110365749488,5.3862246986452185e-33,3.7721965422183793e-34,0.028509719651928958,8.240197075795194e-33,7.17325203654874e-35,2.5694314414747146e-34,0.0002591110365749488,6.512210106640467e-33,8.240255046949974e-33,0.028509719651928958,-2.0211142499114473e-35,2.0036893554013545e-36,3.1353358050266996e-33,0.0002591110365749488,7.173252036548743e-35,-1.6581488350057275e-35,0.028509719651928958
2026-04-09T18:56:42.338278,0.027808384291444548,1.0216329864616946e-34,6.049743129157099e-36,0.00025887714241735305,1.5394456914914388e-34,1.2001241341556438e-36,1.0337673967458349e-34,0.027808384291444548,2.100193041696316e-33,2.8731284749731457e-33,0.000258877142417353,1.729057442456036e-33,6.049743129157099e-36,2.073795076352572e-33,0.02780838429144454,1.9676363268375514e-34,3.409666968872284e-33,0.000258877142417353,0.000258877142417353,2.8273365822433626e-33,1.9676363268375514e-34,0.027801972256211466,4.2844456578838785e-33,3.6680040366495887e-35,1.539378733841283e-34,0.000258877142417353,3.3865991116144035e-33,4.284311674834146e-33,0.027801972256211466,-2.890650877005809e-35,1.2001241341556447e-36,1.626667340198875e-33,0.00025887714241735305,3.6680040366495903e-35,-2.672979332047579e-35,0.02780197225621147
2026-04-09T18:56:42.346611,0.02743784352112095,6.133608587909226e-35,3.6833420364414115e-36,0.000258313496133053,9.161312422150672e-35,7.110319241658779e-37,6.209006725383753e-35,0.027437843521120945,1.1186646740448024e-33,1.5234462725979988e-33,0.00025831349613305286,9.064119319840359e-34,3.683342036441411e-36,1.104566103696375e-33,0.02743784352112095,1.0368858497798292e-34,1.7914233696904048e-33,0.000258313496133053,0.0002583134961330529,1.4993367322904333e-33,1.0368858497798292e-34,0.027431178562968096,2.2505677032107615e-33,1.8944379337535155e-35,9.160657757864336e-35,0.0002583134961330529,1.7792209056038632e-33,2.2504113327638933e-33,0.027431178562968096,-2.4797199259092266e-35,7.110319241658783e-37,8.52552205952388e-34,0.000258313496133053,1.8944379337535163e-35,-2.3502444998689367e-35,0.027431178562968103
2026-04-09T18:56:42.354944,0.027242210603458123,3.009265538105056e-35,5.63118517270209e-36,0.0002577744870333743,5.04904211036943e-35,3.73906209181671e-36,3.009265538105056e-35,0.02724221060345812,1.925929944387236e-34,3.851859888774472e-34,0.0002577744870333742,4.81482486096809e-34,5.631185172702091e-36,1.925929944387236e-34,0.02724221060345812,3.1756840375993456e-34,2.6000054249227684e-33,0.00025777448703337435,0.00025777448703337424,3.851859888774472e-34,3.1756840375993456e-34,0.02723539435026892,9.13124011718753e-34,2.6524781812980722e-34,5.059327685939125e-35,0.0002577744870333742,2.8888949165808538e-33,9.238445201982522e-34,0.027235394350268918,1.4444474582904269e-34,3.739062091816709e-36,9.62964972193618e-35,0.00025777448703337435,2.6524781812980722e-34,1.925929944387236e-34,0.027235394350268925
