time,tracker3.kf3_info.0,tracker3.kf3_info.1,tracker3.kf3_info.2,tracker3.kf3_info.3,tracker3.kf3_info.4
2026-04-10T00:15:31.666836,0.0,0.0,0.0,0.0,0.0
2026-04-10T00:15:31.668674,-6.227118571611255,1033.3658756363811,-1.0,1.0101158640543049,0.9901088139149067
2026-04-10T00:15:31.677007,-0.409493339432091,0.009131071445890843,-1.0,1.0158523108478756,0.5215679431916606
2026-04-10T00:15:31.685340,-0.028965011940852704,0.004264024979949518,-1.0,1.0203806421994035,0.383335662060693
2026-04-10T00:15:31.693673,0.10460758536670811,0.003263814345851573,-1.0,1.0244863830692057,0.3258708406113227
2026-04-10T00:15:31.702006,0.16384044774259945,0.002898952637045788,-1.0,1.028467339770635,0.2987029073803785
2026-04-10T00:15:31.710339,0.19268162725957239,0.0027363538537754396,-1.0,1.0324580354683417,0.28508116538572553
2026-04-10T00:15:31.718672,0.20735447821458022,0.0026571643381149796,-1.0,1.0365244734552075,0.2780501106158638
2026-04-10T00:15:31.727005,0.2149849286854106,0.002616892486203461,-1.0,1.0407002986873968,0.27436648976168065
2026-04-10T00:15:31.735338,0.21899825876613982,0.002595956449267242,-1.0,1.0450028707768948,0.272421542704897
2026-04-10T00:15:31.743671,0.22112168303292595,0.002584947152149482,-1.0,1.049441063629578,0.27139038831793855
2026-04-10T00:15:31.752004,0.22224869841993528,0.002579122894010912,-1.0,1.054019242232159,0.2708425069336913
2026-04-10T00:15:31.760337,0.2228478614857567,0.002576031842574031,-1.0,1.0587393464129788,0.27055106314030175
2026-04-10T00:15:31.768670,0.22316668061592135,0.002574388579048922,-1.0,1.0636019991555674,0.27039593363875036
2026-04-10T00:15:31.777003,0.2233364066726962,0.002573514200250589,-1.0,1.0686071010671252,0.2703133334733151
2026-04-10T00:15:31.785336,0.22342678455227927,0.0025730487205316063,-1.0,1.0737541509195347,0.2702693440566329
2026-04-10T00:15:31.793669,0.22347491662079225,0.0025728008565076717,-1.0,1.0790424192387404,0.2702459146638491
2026-04-10T00:15:31.802002,0.22350055193543536,0.002572668852806539,-1.0,1.0844710428021522,0.2702334350642534
2026-04-10T00:15:31.810335,0.22351420594321061,0.0025725985470202895,-1.0,1.0900390764951278,0.27022678758383506
2026-04-10T00:15:31.818668,0.22352147857078053,0.0025725611003058874,-1.0,1.0957455221559653,0.2702232465917537
2026-04-10T00:15:31.827001,0.22352535229036416,0.002572541154745333,-1.0,1.1015893449921381,0.27022136033208066
2026-04-10T00:15:31.835334,0.22352741561928743,0.002572530530832626,-1.0,1.107569483275175,0.27022035551935775
2026-04-10T00:15:31.843667,0.2235285146530911,0.0025725248720078774,-1.0,1.1136848543918565,0.2702198202466716
2026-04-10T00:15:31.852,0.22352910005659224,0.0025725218578200085,-1.0,1.1199343589105277,0.27021953509828534
2026-04-10T00:15:31.860333,0.2235294118744125,0.002572520252298662,-1.0,1.1263168835558366,0.27021938319317057
2026-04-10T00:15:31.868666,0.22352957796603315,0.0025725193971074894,-1.0,1.1328313035723485,0.27021930226878854
2026-04-10T00:15:31.876999,0.2235296664359456,0.0025725189415832287,-1.0,1.1394764847349623,0.27021925915741773
2026-04-10T00:15:31.885332,0.22352971356020068,0.0025725186989440665,-1.0,1.1462512851441982,0.27021923619013194
2026-04-10T00:15:31.893665,0.22352973866139617,0.0025725185696997914,-1.0,1.1531545568799817,0.270219223954317
