time,b.world_vel.ωx,b.world_vel.ωy,b.world_vel.ωz,b.world_vel.x,b.world_vel.y,b.world_vel.z
2026-04-15T20:03:23.081499,0.0,0.0,0.0,0.0,-1.6191613336,0.0
2026-04-15T20:03:23.094201,0.0,0.0,0.0,0.047714943460778335,-1.6181838207126882,0.0
2026-04-15T20:03:23.102534,0.0,0.0,0.0,0.09532883406865879,-1.6152536970327982,0.0
2026-04-15T20:03:23.110867,0.0,0.0,0.0,0.14274122484679222,-1.610381358446653,0.0
2026-04-15T20:03:23.119200,0.0,0.0,0.0,0.18985295933007967,-1.6035840085157813,0.0
2026-04-15T20:03:23.127533,0.0,0.0,0.0,0.23656679065925224,-1.594885472011104,0.0
2026-04-15T20:03:23.135866,0.0,0.0,0.0,0.2827879697629096,-1.5843159397204671,0.0
2026-04-15T20:03:23.144199,0.0,0.0,0.0,0.3284247937389351,-1.571911650161565,0.0
2026-04-15T20:03:23.152532,0.0,0.0,0.0,0.3733891066797453,-1.5577145150797973,0.0
2026-04-15T20:03:23.160865,0.0,0.0,0.0,0.41759674650330725,-1.5417716966141082,0.0
2026-04-15T20:03:23.169198,0.0,0.0,0.0,0.4609679327974167,-1.5241351447474374,0.0
2026-04-15T20:03:23.177531,0.0,0.0,0.0,0.503427592199269,-1.504861104109606,0.0
2026-04-15T20:03:23.185864,0.0,0.0,0.0,0.5449056193573704,-1.4840095993702087,0.0
2026-04-15T20:03:23.194197,0.0,0.0,0.0,0.5853370730035204,-1.4616439083606343,0.0
2026-04-15T20:03:23.202530,0.0,0.0,0.0,0.6246623080504357,-1.4378300317215764,0.0
2026-04-15T20:03:23.210863,0.0,0.0,0.0,0.662827045885303,-1.4126361673176115,0.0
2026-04-15T20:03:23.219196,0.0,0.0,0.0,0.6997823861203932,-1.386132196931801,0.0
2026-04-15T20:03:23.227529,0.0,0.0,0.0,0.735484763968082,-1.358389191892344,0.0
2026-04-15T20:03:23.235862,0.0,0.0,0.0,0.7698958581183921,-1.3294789433324272,0.0
2026-04-15T20:03:23.244195,0.0,0.0,0.0,0.8029824545108617,-1.2994735217846352,0.0
2026-04-15T20:03:23.252528,0.0,0.0,0.0,0.8347162717156019,-1.268444869800476,0.0
2026-04-15T20:03:23.260861,0.0,0.0,0.0,0.8650737537839304,-1.2364644302971026,0.0
2026-04-15T20:03:23.269194,0.0,0.0,0.0,0.8940358364151103,-1.203602812395103,0.0
2026-04-15T20:03:23.277527,0.0,0.0,0.0,0.9215876921341171,-1.16992949564533,0.0
2026-04-15T20:03:23.285860,0.0,0.0,0.0,0.9477184599095376,-1.1355125727652142,0.0
2026-04-15T20:03:23.294193,0.0,0.0,0.0,0.9724209642848254,-1.1004185303262362,0.0
2026-04-15T20:03:23.302526,0.0,0.0,0.0,0.9956914286737294,-1.0647120662594214,0.0
2026-04-15T20:03:23.310859,0.0,0.0,0.0,1.0175291870038723,-1.0284559425755238,0.0
2026-04-15T20:03:23.319192,0.0,0.0,0.0,1.0379363974010978,-0.9917108713279637,0.0
2026-04-15T20:03:23.327525,0.0,0.0,0.0,1.056917761108711,-0.9545354315735832,0.0
2026-04-15T20:03:23.335858,0.0,0.0,0.0,1.0744802493446837,-0.9169860149007906,0.0
2026-04-15T20:03:23.344191,0.0,0.0,0.0,1.0906328403280383,-0.8791167969871592,0.0
2026-04-15T20:03:23.352524,0.0,0.0,0.0,1.1053862682620035,-0.8409797326087546,0.0
2026-04-15T20:03:23.360857,0.0,0.0,0.0,1.118752785652629,-0.8026245715408633,0.0
2026-04-15T20:03:23.369190,0.0,0.0,0.0,1.1307459399716233,-0.7640988928541027,0.0
2026-04-15T20:03:23.377523,0.0,0.0,0.0,1.1413803653434946,-0.7254481552113182,0.0
2026-04-15T20:03:23.385856,0.0,0.0,0.0,1.1506715896503132,-0.6867157609002351,0.0
2026-04-15T20:03:23.394189,0.0,0.0,0.0,1.1586358572019022,-0.647943131486441,0.0
2026-04-15T20:03:23.402522,0.0,0.0,0.0,1.1652899669133394,-0.609169793133852,0.0
2026-04-15T20:03:23.410855,0.0,0.0,0.0,1.170651125762907,-0.570433469809286,0.0
2026-04-15T20:03:23.419188,0.0,0.0,0.0,1.1747368171691415,-0.5317701827590691,0.0
2026-04-15T20:03:23.427521,0.0,0.0,0.0,1.1775646838221885,-0.4932143548145809,0.0
2026-04-15T20:03:23.435854,0.0,0.0,0.0,1.1791524244289167,-0.45479891824703406,0.0
2026-04-15T20:03:23.444187,0.0,0.0,0.0,1.1795177037797904,-0.41655542504705445,0.0
2026-04-15T20:03:23.452520,0.0,0.0,0.0,1.178678075515117,-0.3785141586499431,0.0
2026-04-15T20:03:23.460853,0.0,0.0,0.0,1.1766509169558135,-0.34070424626156437,0.0
2026-04-15T20:03:23.469186,0.0,0.0,0.0,1.1734533753664234,-0.30315377106182584,0.0
2026-04-15T20:03:23.477519,0.0,0.0,0.0,1.1691023250330739,-0.2658898836722599,0.0
2026-04-15T20:03:23.485852,0.0,0.0,0.0,1.1636143345640246,-0.22893891237117944,0.0
2026-04-15T20:03:23.494185,0.0,0.0,0.0,1.1570056438532617,-0.19232647162437086,0.0
2026-04-15T20:03:23.502518,0.0,0.0,0.0,1.1492921501863513,-0.15607756857160524,0.0
2026-04-15T20:03:23.510851,0.0,0.0,0.0,1.1404894030108323,-0.12021670716979908,0.0
2026-04-15T20:03:23.519184,0.0,0.0,0.0,1.1306126069393259,-0.08476798974293157,0.0
2026-04-15T20:03:23.527517,0.0,0.0,0.0,1.119676632601043,-0.049755215727353745,0.0
2026-04-15T20:03:23.535850,0.0,0.0,0.0,1.1076960350053533,-0.015201977429454214,0.0
2026-04-15T20:03:23.544183,0.0,0.0,0.0,1.094685079128584,0.018868247368688876,0.0
2026-04-15T20:03:23.552516,0.0,0.0,0.0,1.0806577724814102,0.05243200611051571,0.0
2026-04-15T20:03:23.560849,0.0,0.0,0.0,1.0656279044582775,0.0854657856270303,0.0
2026-04-15T20:03:23.569182,0.0,0.0,0.0,1.0496090923115844,0.11794592992099,0.0
2026-04-15T20:03:23.577515,0.0,0.0,0.0,1.0326148336311474,0.14984856174964944,0.0
2026-04-15T20:03:23.585848,0.0,0.0,0.0,1.0146585652431337,0.18114950820495382,0.0
2026-04-15T20:03:23.594181,0.0,0.0,0.0,0.9957537284714937,0.21182423051956653,0.0
2026-04-15T20:03:23.602514,0.0,0.0,0.0,0.9759138407282787,0.24184775836324673,0.0
2026-04-15T20:03:23.610847,0.0,0.0,0.0,0.9551525734163551,0.27119462893649027,0.0
2026-04-15T20:03:23.619180,0.0,0.0,0.0,0.9334838361381429,0.29983883121661414,0.0
2026-04-15T20:03:23.627513,0.0,0.0,0.0,0.9109218672062739,0.3277537557651558,0.0
2026-04-15T20:03:23.635846,0.0,0.0,0.0,0.8874813304455663,0.35491215056405345,0.0
2026-04-15T20:03:23.644179,0.0,0.0,0.0,0.8631774182594736,0.3812860834109556,0.0
2026-04-15T20:03:23.652512,0.0,0.0,0.0,0.8380259609071299,0.4068469114704212,0.0
2026-04-15T20:03:23.660845,0.0,0.0,0.0,0.8120435418981755,0.43156525864679596,0.0
2026-04-15T20:03:23.669178,0.0,0.0,0.0,0.7852476193605578,0.45541100151506264,0.0
2026-04-15T20:03:23.677511,0.0,0.0,0.0,0.7576566531702859,0.4783532646165858,0.0
2026-04-15T20:03:23.685844,0.0,0.0,0.0,0.7292902375505292,0.5003604259957616,0.0
2026-04-15T20:03:23.694177,0.0,0.0,0.0,0.7001692387493815,0.5214001339191542,0.0
2026-04-15T20:03:23.702510,0.0,0.0,0.0,0.6703159372900981,0.5414393357784241,0.0
2026-04-15T20:03:23.710843,0.0,0.0,0.0,0.6397541741538608,0.5604443202295009,0.0
2026-04-15T20:03:23.719176,0.0,0.0,0.0,0.6085095001026088,0.5783807736598866,0.0
2026-04-15T20:03:23.727509,0.0,0.0,0.0,0.5766093271780627,0.595213852100132,0.0
2026-04-15T20:03:23.735842,0.0,0.0,0.0,0.5440830812231021,0.610908269700424,0.0
2026-04-15T20:03:23.744175,0.0,0.0,0.0,0.5109623540640977,0.6254284048744871,0.0
2026-04-15T20:03:23.752508,0.0,0.0,0.0,0.47728105376936475,0.6387384251659189,0.0
2026-04-15T20:03:23.760841,0.0,0.0,0.0,0.4430755511622272,0.6508024318116961,0.0
2026-04-15T20:03:23.769174,0.0,0.0,0.0,0.4083848205209262,0.6615846248588144,0.0
