time,b.world_accel_αx,b.world_accel_αy,b.world_accel_αz,b.world_accel_x,b.world_accel_y,b.world_accel_z
2026-05-06T20:26:46.884738,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06T20:26:46.892500,0.0,0.0,0.0,5.715865919254363,0.23428407271856797,0.0
2026-05-06T20:26:46.900833,0.0,0.0,0.0,5.697717519043536,0.46786785132411496,0.0
2026-05-06T20:26:46.909166,0.0,0.0,0.0,5.667595930628471,0.6997951458808004,0.0
2026-05-06T20:26:46.917499,0.0,0.0,0.0,5.625693354250877,0.9292599871802542,0.0
2026-05-06T20:26:46.925832,0.0,0.0,0.0,5.572274487266573,1.1554829547830998,0.0
2026-05-06T20:26:46.934165,0.0,0.0,0.0,5.507672269709535,1.3777190986021723,0.0
2026-05-06T20:26:46.942498,0.0,0.0,0.0,5.432282629092197,1.5952651069054,0.0
2026-05-06T20:26:46.950831,0.0,0.0,0.0,5.34655837219721,1.8074655853203945,0.0
2026-05-06T20:26:46.959164,0.0,0.0,0.0,5.2510023904126735,2.0137183424472997,0.0
2026-05-06T20:26:46.967497,0.0,0.0,0.0,5.14616035698197,2.2134786110151086,0.0
2026-05-06T20:26:46.975830,0.0,0.0,0.0,5.032613099255563,2.40626216752287,0.0
2026-05-06T20:26:46.984163,0.0,0.0,0.0,4.910968826910028,2.591647346437973,0.0
2026-05-06T20:26:46.992496,0.0,0.0,0.0,4.781855388748331,2.7692759758931507,0.0
2026-05-06T20:26:47.000829,0.0,0.0,0.0,4.645912716997884,2.9388532892851704,0.0
2026-05-06T20:26:47.009162,0.0,0.0,0.0,4.5037856000557746,3.100146890371254,0.0
2026-05-06T20:26:47.017495,0.0,0.0,0.0,4.35611690357592,3.252984867831934,0.0
2026-05-06T20:26:47.025828,0.0,0.0,0.0,4.203541336856383,3.3972531685749945,0.0
2026-05-06T20:26:47.034161,0.0,0.0,0.0,4.04667983781965,3.532892347328964,0.0
2026-05-06T20:26:47.042494,0.0,0.0,0.0,3.886134626526293,3.6598938135935413,0.0
2026-05-06T20:26:47.050827,0.0,0.0,0.0,3.7224849550078907,3.778295696245766,0.0
2026-05-06T20:26:47.059160,0.0,0.0,0.0,3.5562835609517864,3.888178441650062,0.0
2026-05-06T20:26:47.067493,0.0,0.0,0.0,3.3880538149274133,3.989660253672242,0.0
2026-05-06T20:26:47.075826,0.0,0.0,0.0,3.218287535732914,4.082892474269536,0.0
2026-05-06T20:26:47.084159,0.0,0.0,0.0,3.047443436207829,4.168054992023369,0.0
2026-05-06T20:26:47.092492,0.0,0.0,0.0,2.875946152498565,4.2453517537550205,0.0
2026-05-06T20:26:47.100825,0.0,0.0,0.0,2.704185803150834,4.3150064417994765,0.0
2026-05-06T20:26:47.109158,0.0,0.0,0.0,2.532518020315648,4.377258367103974,0.0
