time,a.world_vel.ωx,a.world_vel.ωy,a.world_vel.ωz,a.world_vel.x,a.world_vel.y,a.world_vel.z
2026-03-20T06:13:34.172233,0.0,0.0,0.0,0.0,0.9957939373,0.0
2026-03-20T06:13:34.175097,0.0,0.0,0.0,-0.01007550920222722,0.9957606125707259,0.0
2026-03-20T06:13:34.183430,0.0,0.0,0.0,-0.020148254345186228,0.9956606066593724,0.0
2026-03-20T06:13:34.191763,0.0,0.0,0.0,-0.03021548304382542,0.9954938199778243,0.0
2026-03-20T06:13:34.200096,0.0,0.0,0.0,-0.04027446570159461,0.9952600876077708,0.0
2026-03-20T06:13:34.208429,0.0,0.0,0.0,-0.050322506520728796,0.9949591808839893,0.0
2026-03-20T06:13:34.216762,0.0,0.0,0.0,-0.06035695406155138,0.994590809565893,0.0
2026-03-20T06:13:34.225095,0.0,0.0,0.0,-0.07037521121852118,0.9941546245540792,0.0
2026-03-20T06:13:34.233428,0.0,0.0,0.0,-0.08037474449527944,0.9936502210988352,0.0
2026-03-20T06:13:34.241761,0.0,0.0,0.0,-0.0903530924779864,0.9930771424395424,0.0
2026-03-20T06:13:34.250094,0.0,0.0,0.0,-0.10030787342511636,0.9924348838078518,0.0
2026-03-20T06:13:34.258427,0.0,0.0,0.0,-0.1102367919119101,0.9917228967234939,0.0
2026-03-20T06:13:34.266760,0.0,0.0,0.0,-0.12013764448816196,0.99094059350965,0.0
2026-03-20T06:13:34.275093,0.0,0.0,0.0,-0.13000832432827608,0.9900873519548767,0.0
2026-03-20T06:13:34.283426,0.0,0.0,0.0,-0.13984682487194772,0.9891625200504826,0.0
2026-03-20T06:13:34.291759,0.0,0.0,0.0,-0.14965124247188336,0.9881654207358089,0.0
2026-03-20T06:13:34.300092,0.0,0.0,0.0,-0.1594197780812374,0.9870953565887955,0.0
2026-03-20T06:13:34.308425,0.0,0.0,0.0,-0.16915073802759198,0.9859516144052384,0.0
2026-03-20T06:13:34.316758,0.0,0.0,0.0,-0.178842533932133,0.9847334696169723,0.0
2026-03-20T06:13:34.325091,0.0,0.0,0.0,-0.18849368184207543,0.9834401905065405,0.0
2026-03-20T06:13:34.333424,0.0,0.0,0.0,-0.19810280065136396,0.9820710421834715,0.0
2026-03-20T06:13:34.341757,0.0,0.0,0.0,-0.20766860988930255,0.9806252902948208,0.0
2026-03-20T06:13:34.350090,0.0,0.0,0.0,-0.21718992695920064,0.9791022044499335,0.0
2026-03-20T06:13:34.358423,0.0,0.0,0.0,-0.22666566390957277,0.9775010613462674,0.0
2026-03-20T06:13:34.366756,0.0,0.0,0.0,-0.23609482381913427,0.9758211475894506,0.0
2026-03-20T06:13:34.375089,0.0,0.0,0.0,-0.24547649687406461,0.9740617622064285,0.0
2026-03-20T06:13:34.383422,0.0,0.0,0.0,-0.25480985621203356,0.9722222188555303,0.0
2026-03-20T06:13:34.391755,0.0,0.0,0.0,-0.26409415360257354,0.970301847741525,0.0
2026-03-20T06:13:34.400088,0.0,0.0,0.0,-0.2733287150277877,0.9682999972472371,0.0
2026-03-20T06:13:34.408421,0.0,0.0,0.0,-0.2825129362213422,0.9662160352960912,0.0
2026-03-20T06:13:34.416754,0.0,0.0,0.0,-0.29164627821741124,0.9640493504620798,0.0
2026-03-20T06:13:34.425087,0.0,0.0,0.0,-0.30072826295490535,0.9617993528451731,0.0
2026-03-20T06:13:34.433420,0.0,0.0,0.0,-0.3097584689760669,0.9594654747311633,0.0
2026-03-20T06:13:34.441753,0.0,0.0,0.0,-0.3187365272524835,0.9570471710554408,0.0
2026-03-20T06:13:34.450086,0.0,0.0,0.0,-0.3276621171658479,0.9545439196903006,0.0
2026-03-20T06:13:34.458419,0.0,0.0,0.0,-0.33653496266544375,0.9519552215751448,0.0
2026-03-20T06:13:34.466752,0.0,0.0,0.0,-0.3453548286194161,0.94928060070845,0.0
2026-03-20T06:13:34.475085,0.0,0.0,0.0,-0.3541215173724125,0.9465196040196672,0.0
2026-03-20T06:13:34.483418,0.0,0.0,0.0,-0.36283486551817057,0.9436718011383679,0.0
2026-03-20T06:13:34.491751,0.0,0.0,0.0,-0.37149474089207735,0.9407367840770025,0.0
2026-03-20T06:13:34.500084,0.0,0.0,0.0,-0.38010103978561915,0.9377141668426237,0.0
2026-03-20T06:13:34.508417,0.0,0.0,0.0,-0.3886536843819599,0.9346035849919022,0.0
2026-03-20T06:13:34.516750,0.0,0.0,0.0,-0.39715262040959903,0.9314046951427356,0.0
2026-03-20T06:13:34.525083,0.0,0.0,0.0,-0.4055978150091416,0.9281171744547635,0.0
2026-03-20T06:13:34.533416,0.0,0.0,0.0,-0.4139892548066236,0.9247407200901645,0.0
2026-03-20T06:13:34.541749,0.0,0.0,0.0,-0.4223269441855446,0.921275048665234,0.0
2026-03-20T06:13:34.550082,0.0,0.0,0.0,-0.430610903748732,0.9177198957024472,0.0
2026-03-20T06:13:34.558415,0.0,0.0,0.0,-0.4388411689603593,0.9140750150919924,0.0
2026-03-20T06:13:34.566748,0.0,0.0,0.0,-0.44701778895784144,0.910340178571134,0.0
