time,a.world_accel.αx,a.world_accel.αy,a.world_accel.αz,a.world_accel.x,a.world_accel.y,a.world_accel.z
2026-03-27T20:29:47.308135,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-27T20:29:47.311355,0.0,0.0,0.0,-1.2089738393261087,-0.007997069011849416,0.0
2026-03-27T20:29:47.319688,0.0,0.0,0.0,-1.2084763906612184,-0.01600002987090337,0.0
2026-03-27T20:29:47.328021,0.0,0.0,0.0,-1.2076494626110894,-0.02401891125531549,0.0
2026-03-27T20:29:47.336354,0.0,0.0,0.0,-1.2064964650674204,-0.032061487926154146,0.0
2026-03-27T20:29:47.344687,0.0,0.0,0.0,-1.2050221084131296,-0.040135307887709464,0.0
2026-03-27T20:29:47.353020,0.0,0.0,0.0,-1.203232340967278,-0.048247623914312615,0.0
2026-03-27T20:29:47.361353,0.0,0.0,0.0,-1.201134271304462,-0.05640533091739524,0.0
2026-03-27T20:29:47.369686,0.0,0.0,0.0,-1.1987360773662843,-0.06461491023147334,0.0
2026-03-27T20:29:47.378019,0.0,0.0,0.0,-1.1960469045462767,-0.07288238167187051,0.0
2026-03-27T20:29:47.386352,0.0,0.0,0.0,-1.1930767551108272,-0.08121326397267994,0.0
2026-03-27T20:29:47.394685,0.0,0.0,0.0,-1.1898363714147238,-0.08961254396205028,0.0
2026-03-27T20:29:47.403018,0.0,0.0,0.0,-1.1863371153822342,-0.09808465458430808,0.0
2026-03-27T20:29:47.411351,0.0,0.0,0.0,-1.1825908466588662,-0.10663346164464106,0.0
2026-03-27T20:29:47.419684,0.0,0.0,0.0,-1.1786098017036761,-0.11526225894045292,0.0
2026-03-27T20:29:47.428017,0.0,0.0,0.0,-1.1744064758986688,-0.12397377126060473,0.0
2026-03-27T20:29:47.436350,0.0,0.0,0.0,-1.1699935105129953,-0.13277016458403887,0.0
2026-03-27T20:29:47.444683,0.0,0.0,0.0,-1.1653835860890935,-0.14165306269513944,0.0
2026-03-27T20:29:47.453016,0.0,0.0,0.0,-1.1605893235287696,-0.15062356935504673,0.0
2026-03-27T20:29:47.461349,0.0,0.0,0.0,-1.1556231938622124,-0.15968229512471943,0.0
2026-03-27T20:29:47.469682,0.0,0.0,0.0,-1.1504974373931638,-0.16882938792411914,0.0
2026-03-27T20:29:47.478015,0.0,0.0,0.0,-1.1452239926384205,-0.17806456642869764,0.0
2026-03-27T20:29:47.486348,0.0,0.0,0.0,-1.1398144352269868,-0.18738715544493453,0.0
2026-03-27T20:29:47.494681,0.0,0.0,0.0,-1.134279926698938,-0.19679612246615882,0.0
2026-03-27T20:29:47.503014,0.0,0.0,0.0,-1.1286311729499803,-0.20629011468342887,0.0
2026-03-27T20:29:47.511347,0.0,0.0,0.0,-1.1228783919063114,-0.21586749580914197,0.0
2026-03-27T20:29:47.519680,0.0,0.0,0.0,-1.1170312898860484,-0.22552638215904544,0.0
2026-03-27T20:29:47.528013,0.0,0.0,0.0,-1.1110990460068269,-0.235264677527647,0.0
2026-03-27T20:29:47.536346,0.0,0.0,0.0,-1.1050903039321829,-0.24508010647955622,0.0
2026-03-27T20:29:47.544679,0.0,0.0,0.0,-1.099013170209056,-0.254970245762505,0.0
2026-03-27T20:29:47.553012,0.0,0.0,0.0,-1.0928752184319432,-0.26493255362483115,0.0
2026-03-27T20:29:47.561345,0.0,0.0,0.0,-1.0866834984723222,-0.2749643968897446,0.0
2026-03-27T20:29:47.569678,0.0,0.0,0.0,-1.0804445500314221,-0.2850630756999777,0.0
2026-03-27T20:29:47.578011,0.0,0.0,0.0,-1.074164419806795,-0.29522584589908335,0.0
2026-03-27T20:29:47.586344,0.0,0.0,0.0,-1.0678486816052746,-0.3054499390597533,0.0
2026-03-27T20:29:47.594677,0.0,0.0,0.0,-1.061502458783844,-0.31573258020535827,0.0
2026-03-27T20:29:47.603010,0.0,0.0,0.0,-1.0551304484532371,-0.32607100329903077,0.0
2026-03-27T20:29:47.611343,0.0,0.0,0.0,-1.048736946934506,-0.3364624645956507,0.0
2026-03-27T20:29:47.619676,0.0,0.0,0.0,-1.042325876014593,-0.34690425396683927,0.0
2026-03-27T20:29:47.628009,0.0,0.0,0.0,-1.0359008096016369,-0.35739370431829426,0.0
2026-03-27T20:29:47.636342,0.0,0.0,0.0,-1.0294650004332844,-0.36792819922332354,0.0
2026-03-27T20:29:47.644675,0.0,0.0,0.0,-1.0230214065407515,-0.37850517889700186,0.0
2026-03-27T20:29:47.653008,0.0,0.0,0.0,-1.0165727172172994,-0.38912214463274375,0.0
2026-03-27T20:29:47.661341,0.0,0.0,0.0,-1.0101213782817284,-0.3997766618178761,0.0
2026-03-27T20:29:47.669674,0.0,0.0,0.0,-1.0036696164652898,-0.41046636163763356,0.0
2026-03-27T20:29:47.678007,0.0,0.0,0.0,-0.997219462784056,-0.4211889415684045,0.0
2026-03-27T20:29:47.686340,0.0,0.0,0.0,-0.9907727747882674,-0.43194216475146263,0.0
2026-03-27T20:29:47.694673,0.0,0.0,0.0,-0.9843312576057196,-0.4427238583282382,0.0
2026-03-27T20:29:47.703006,0.0,0.0,0.0,-0.9778964837180312,-0.45353191080773164,0.0
2026-03-27T20:29:47.711339,0.0,0.0,0.0,-0.9714699114268698,-0.46436426852621376,0.0
2026-03-27T20:29:47.719672,0.0,0.0,0.0,-0.9650529019822776,-0.4752189312491387,0.0
2026-03-27T20:29:47.728005,0.0,0.0,0.0,-0.9586467353572559,-0.48609394695536734,0.0
2026-03-27T20:29:47.736338,0.0,0.0,0.0,-0.9522526246621955,-0.49698740583454853,0.0
