time,Globals.simulation_time_step
2026-03-19T22:53:10.706958,0.008333333
2026-03-19T22:53:10.710,0.008333333
2026-03-19T22:53:10.718333,0.008333333
2026-03-19T22:53:10.726666,0.008333333
2026-03-19T22:53:10.734999,0.008333333
2026-03-19T22:53:10.743332,0.008333333
2026-03-19T22:53:10.751665,0.008333333
2026-03-19T22:53:10.759998,0.008333333
2026-03-19T22:53:10.768331,0.008333333
2026-03-19T22:53:10.776664,0.008333333
2026-03-19T22:53:10.784997,0.008333333
2026-03-19T22:53:10.793330,0.008333333
2026-03-19T22:53:10.801663,0.008333333
2026-03-19T22:53:10.809996,0.008333333
2026-03-19T22:53:10.818329,0.008333333
2026-03-19T22:53:10.826662,0.008333333
2026-03-19T22:53:10.834995,0.008333333
2026-03-19T22:53:10.843328,0.008333333
2026-03-19T22:53:10.851661,0.008333333
2026-03-19T22:53:10.859994,0.008333333
2026-03-19T22:53:10.868327,0.008333333
2026-03-19T22:53:10.876660,0.008333333
2026-03-19T22:53:10.884993,0.008333333
2026-03-19T22:53:10.893326,0.008333333
2026-03-19T22:53:10.901659,0.008333333
2026-03-19T22:53:10.909992,0.008333333
2026-03-19T22:53:10.918325,0.008333333
2026-03-19T22:53:10.926658,0.008333333
2026-03-19T22:53:10.934991,0.008333333
2026-03-19T22:53:10.943324,0.008333333
2026-03-19T22:53:10.951657,0.008333333
2026-03-19T22:53:10.959990,0.008333333
2026-03-19T22:53:10.968323,0.008333333
2026-03-19T22:53:10.976656,0.008333333
2026-03-19T22:53:10.984989,0.008333333
2026-03-19T22:53:10.993322,0.008333333
2026-03-19T22:53:11.001655,0.008333333
2026-03-19T22:53:11.009988,0.008333333
2026-03-19T22:53:11.018321,0.008333333
2026-03-19T22:53:11.026654,0.008333333
2026-03-19T22:53:11.034987,0.008333333
2026-03-19T22:53:11.043320,0.008333333
2026-03-19T22:53:11.051653,0.008333333
2026-03-19T22:53:11.059986,0.008333333
2026-03-19T22:53:11.068319,0.008333333
2026-03-19T22:53:11.076652,0.008333333
2026-03-19T22:53:11.084985,0.008333333
2026-03-19T22:53:11.093318,0.008333333
2026-03-19T22:53:11.101651,0.008333333
2026-03-19T22:53:11.109984,0.008333333
2026-03-19T22:53:11.118317,0.008333333
2026-03-19T22:53:11.126650,0.008333333
2026-03-19T22:53:11.134983,0.008333333
2026-03-19T22:53:11.143316,0.008333333
2026-03-19T22:53:11.151649,0.008333333
2026-03-19T22:53:11.159982,0.008333333
2026-03-19T22:53:11.168315,0.008333333
2026-03-19T22:53:11.176648,0.008333333
2026-03-19T22:53:11.184981,0.008333333
2026-03-19T22:53:11.193314,0.008333333
2026-03-19T22:53:11.201647,0.008333333
2026-03-19T22:53:11.209980,0.008333333
2026-03-19T22:53:11.218313,0.008333333
2026-03-19T22:53:11.226646,0.008333333
2026-03-19T22:53:11.234979,0.008333333
2026-03-19T22:53:11.243312,0.008333333
2026-03-19T22:53:11.251645,0.008333333
2026-03-19T22:53:11.259978,0.008333333
2026-03-19T22:53:11.268311,0.008333333
2026-03-19T22:53:11.276644,0.008333333
2026-03-19T22:53:11.284977,0.008333333
2026-03-19T22:53:11.293310,0.008333333
2026-03-19T22:53:11.301643,0.008333333
2026-03-19T22:53:11.309976,0.008333333
2026-03-19T22:53:11.318309,0.008333333
2026-03-19T22:53:11.326642,0.008333333
2026-03-19T22:53:11.334975,0.008333333
2026-03-19T22:53:11.343308,0.008333333
2026-03-19T22:53:11.351641,0.008333333
2026-03-19T22:53:11.359974,0.008333333
2026-03-19T22:53:11.368307,0.008333333
2026-03-19T22:53:11.376640,0.008333333
2026-03-19T22:53:11.384973,0.008333333
2026-03-19T22:53:11.393306,0.008333333
2026-03-19T22:53:11.401639,0.008333333
2026-03-19T22:53:11.409972,0.008333333
2026-03-19T22:53:11.418305,0.008333333
2026-03-19T22:53:11.426638,0.008333333
2026-03-19T22:53:11.434971,0.008333333
2026-03-19T22:53:11.443304,0.008333333
2026-03-19T22:53:11.451637,0.008333333
2026-03-19T22:53:11.459970,0.008333333
2026-03-19T22:53:11.468303,0.008333333
2026-03-19T22:53:11.476636,0.008333333
2026-03-19T22:53:11.484969,0.008333333
2026-03-19T22:53:11.493302,0.008333333
2026-03-19T22:53:11.501635,0.008333333
2026-03-19T22:53:11.509968,0.008333333
2026-03-19T22:53:11.518301,0.008333333
2026-03-19T22:53:11.526634,0.008333333
2026-03-19T22:53:11.534967,0.008333333
