time,c.world_accel_αx,c.world_accel_αy,c.world_accel_αz,c.world_accel_x,c.world_accel_y,c.world_accel_z
2026-05-06T20:26:46.884738,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06T20:26:46.892500,0.0,0.0,0.0,-4.506892079928254,-0.22628700370671856,0.0
2026-05-06T20:26:46.900833,0.0,0.0,0.0,-4.489241128382317,-0.4518678214532116,0.0
2026-05-06T20:26:46.909166,0.0,0.0,0.0,-4.459946468017382,-0.675776234625485,0.0
2026-05-06T20:26:46.917499,0.0,0.0,0.0,-4.419196889183456,-0.8971984992541,0.0
2026-05-06T20:26:46.925832,0.0,0.0,0.0,-4.367252378853443,-1.1153476468953902,0.0
2026-05-06T20:26:46.934165,0.0,0.0,0.0,-4.304439928742258,-1.3294714746878595,0.0
2026-05-06T20:26:46.942498,0.0,0.0,0.0,-4.231148357787735,-1.538859775988005,0.0
2026-05-06T20:26:46.950831,0.0,0.0,0.0,-4.147822294830926,-1.7428506750889212,0.0
2026-05-06T20:26:46.959164,0.0,0.0,0.0,-4.054955485866396,-1.9408359607754295,0.0
2026-05-06T20:26:46.967497,0.0,0.0,0.0,-3.9530836018711426,-2.1322653470424284,0.0
2026-05-06T20:26:46.975830,0.0,0.0,0.0,-3.842776727840839,-2.3166496235608194,0.0
2026-05-06T20:26:46.984163,0.0,0.0,0.0,-3.724631711527794,-2.493562691853665,0.0
2026-05-06T20:26:46.992496,0.0,0.0,0.0,-3.5992645420894647,-2.662642514248509,0.0
2026-05-06T20:26:47.000829,0.0,0.0,0.0,-3.467302915294208,-2.8235910303447174,0.0
2026-05-06T20:26:47.009162,0.0,0.0,0.0,-3.329379124157106,-2.9761731191106495,0.0
2026-05-06T20:26:47.017495,0.0,0.0,0.0,-3.1861233930629247,-3.1202147032478953,0.0
2026-05-06T20:26:47.025828,0.0,0.0,0.0,-3.0381577507672897,-3.255600105879855,0.0
2026-05-06T20:26:47.034161,0.0,0.0,0.0,-2.8860905142908804,-3.382268777973917,0.0
2026-05-06T20:26:47.042494,0.0,0.0,0.0,-2.7305114326640805,-3.5002115184688223,0.0
2026-05-06T20:26:47.050827,0.0,0.0,0.0,-2.571987517614727,-3.6094663083216467,0.0
2026-05-06T20:26:47.059160,0.0,0.0,0.0,-2.411059568313366,-3.7101138752213645,0.0
2026-05-06T20:26:47.067493,0.0,0.0,0.0,-2.2482393797004265,-3.802273098227307,0.0
2026-05-06T20:26:47.075826,0.0,0.0,0.0,-2.0840076090339763,-3.886096351803377,0.0
2026-05-06T20:26:47.084159,0.0,0.0,0.0,-1.9188122632578484,-3.96176487733994,0.0
2026-05-06T20:26:47.092492,0.0,0.0,0.0,-1.753067760592253,-4.029484257945879,0.0
2026-05-06T20:26:47.100825,0.0,0.0,0.0,-1.587154513264786,-4.089480059640431,0.0
2026-05-06T20:26:47.109158,0.0,0.0,0.0,-1.4214189743088212,-4.141993689576328,0.0
2026-05-06T20:26:47.117491,0.0,0.0,0.0,-1.256174089575055,-4.1872785099837815,0.0
2026-05-06T20:26:47.125824,0.0,0.0,0.0,-1.0917000962094598,-4.2255962354440335,0.0
2026-05-06T20:26:47.134157,0.0,0.0,0.0,-0.9282456105116169,-4.257213631093469,0.0
2026-05-06T20:26:47.142490,0.0,0.0,0.0,-0.7660289509703007,-4.28239952055523,0.0
2026-05-06T20:26:47.150823,0.0,0.0,0.0,-0.6052396460652593,-4.30142210485284,0.0
2026-05-06T20:26:47.159156,0.0,0.0,0.0,-0.4460400808413895,-4.31454658727954,0.0
2026-05-06T20:26:47.167489,0.0,0.0,0.0,-0.28856724105412107,-4.3220330941315686,0.0
