time,c.world_vel.ωx,c.world_vel.ωy,c.world_vel.ωz,c.world_vel.x,c.world_vel.y,c.world_vel.z
2026-04-15T20:03:23.081499,0.0,0.0,0.0,0.0,0.6233673964,0.0
2026-04-15T20:03:23.094201,0.0,0.0,0.0,-0.03763943425855112,0.6224232082419624,0.0
2026-04-15T20:03:23.102534,0.0,0.0,0.0,-0.07518057972347256,0.6195930904734259,0.0
2026-04-15T20:03:23.110867,0.0,0.0,0.0,-0.11252574180296679,0.614887538568829,0.0
2026-04-15T20:03:23.119200,0.0,0.0,0.0,-0.14957849362848508,0.6083239210080108,0.0
2026-04-15T20:03:23.127533,0.0,0.0,0.0,-0.18624428413852348,0.5999262912271153,0.0
2026-04-15T20:03:23.135866,0.0,0.0,0.0,-0.22243101570135826,0.5897251302545746,0.0
2026-04-15T20:03:23.144199,0.0,0.0,0.0,-0.25804958252041393,0.5777570257074862,0.0
2026-04-15T20:03:23.152532,0.0,0.0,0.0,-0.29301436218446586,0.5640642940809625,0.0
2026-04-15T20:03:23.160865,0.0,0.0,0.0,-0.32724365402532085,0.5486945542745661,0.0
2026-04-15T20:03:23.169198,0.0,0.0,0.0,-0.36066005937230033,0.5317002610395859,0.0
2026-04-15T20:03:23.177531,0.0,0.0,0.0,-0.39319080028735887,0.5131382074861125,0.0
2026-04-15T20:03:23.185864,0.0,0.0,0.0,-0.4247679748692083,0.49306900596055914,0.0
2026-04-15T20:03:23.194197,0.0,0.0,0.0,-0.45532874867524425,0.471556556505758,0.0
2026-04-15T20:03:23.202530,0.0,0.0,0.0,-0.4848154831784878,0.4486675117710944,0.0
2026-04-15T20:03:23.210863,0.0,0.0,0.0,-0.5131758034134194,0.4244707466818032,0.0
2026-04-15T20:03:23.219196,0.0,0.0,0.0,-0.5403626080391556,0.3990368404430061,0.0
2026-04-15T20:03:23.227529,0.0,0.0,0.0,-0.5663340259404899,0.3724375775871062,0.0
2026-04-15T20:03:23.235862,0.0,0.0,0.0,-0.591053324186259,0.34474547381545534,0.0
2026-04-15T20:03:23.244195,0.0,0.0,0.0,-0.6144887726687861,0.3160333313780951,0.0
2026-04-15T20:03:23.252528,0.0,0.0,0.0,-0.6366134710642378,0.28637382771700504,0.0
2026-04-15T20:03:23.260861,0.0,0.0,0.0,-0.6574051438946277,0.25583914010228237,0.0
2026-04-15T20:03:23.269194,0.0,0.0,0.0,-0.6768459094559095,0.22450060804517014,0.0
2026-04-15T20:03:23.277527,0.0,0.0,0.0,-0.6949220282245442,0.19242843439906332,0.0
2026-04-15T20:03:23.285860,0.0,0.0,0.0,-0.7116236360904032,0.15969142527576408,0.0
