time,c.world_pos_q0,c.world_pos_q1,c.world_pos_q2,c.world_pos_q3,c.world_pos_x,c.world_pos_y,c.world_pos_z
2026-08-21T00:30:44.969022,0.0,0.0,0.0,1.0,-0.2291782474,0.0,0.0
2026-08-21T00:30:44.985067,0.0,0.0,0.0,1.0,-0.2293351638255022,0.005192103509543098,0.0
2026-08-21T00:30:44.993400,0.0,0.0,0.0,1.0,-0.22980540061151006,0.010368473787600467,0.0
2026-08-21T00:30:45.001733,0.0,0.0,0.0,1.0,-0.23058773082089815,0.01551343368357341,0.0
2026-08-21T00:30:45.010066,0.0,0.0,0.0,1.0,-0.23168011824916512,0.020611422262338502,0.0
2026-08-21T00:30:45.018399,0.0,0.0,0.0,1.0,-0.23307973054151773,0.025647051345135074,0.0
2026-08-21T00:30:45.026732,0.0,0.0,0.0,1.0,-0.23478295725674217,0.03060516019098132,0.0
2026-08-21T00:30:45.035065,0.0,0.0,0.0,1.0,-0.23678543258681525,0.03547086776370529,0.0
2026-08-21T00:30:45.043398,0.0,0.0,0.0,1.0,-0.23908206237275711,0.04022962208237097,0.0
2026-08-21T00:30:45.051731,0.0,0.0,0.0,1.0,-0.24166705499889385,0.044867246215049256,0.0
2026-08-21T00:30:45.060064,0.0,0.0,0.0,1.0,-0.24453395570076744,0.04936998054536231,0.0
2026-08-21T00:30:45.068397,0.0,0.0,0.0,1.0,-0.24767568378721289,0.05372452101569053,0.0
2026-08-21T00:30:45.076730,0.0,0.0,0.0,1.0,-0.25108457225493874,0.05791805312799809,0.0
2026-08-21T00:30:45.085063,0.0,0.0,0.0,1.0,-0.25475240926415443,0.06193828156059107,0.0
2026-08-21T00:30:45.093396,0.0,0.0,0.0,1.0,-0.2586704809458112,0.0657734553346129,0.0
2026-08-21T00:30:45.101729,0.0,0.0,0.0,1.0,-0.26282961502392527,0.06941238853578474,0.0
2026-08-21T00:30:45.110062,0.0,0.0,0.0,1.0,-0.26722022475900215,0.07284447666319019,0.0
2026-08-21T00:30:45.118395,0.0,0.0,0.0,1.0,-0.27183235274933404,0.07605970873649649,0.0
2026-08-21T00:30:45.126728,0.0,0.0,0.0,1.0,-0.27665571416432966,0.07904867534496515,0.0
2026-08-21T00:30:45.135061,0.0,0.0,0.0,1.0,-0.2816797390264335,0.08180257286535102,0.0
2026-08-21T00:30:45.143394,0.0,0.0,0.0,1.0,-0.2868936132040002,0.08431320411107063,0.0
2026-08-21T00:30:45.151727,0.0,0.0,0.0,1.0,-0.29228631782519077,0.08657297570188764,0.0
2026-08-21T00:30:45.160060,0.0,0.0,0.0,1.0,-0.29784666687116423,0.08857489246212318,0.0
2026-08-21T00:30:45.168393,0.0,0.0,0.0,1.0,-0.3035633427543268,0.09031254916657,0.0
2026-08-21T00:30:45.176726,0.0,0.0,0.0,1.0,-0.3094249297331366,0.09178011995754835,0.0
2026-08-21T00:30:45.185059,0.0,0.0,0.0,1.0,-0.31541994505811005,0.09297234575467749,0.0
2026-08-21T00:30:45.193392,0.0,0.0,0.0,1.0,-0.32153686778358853,0.09388451997180376,0.0
2026-08-21T00:30:45.201725,0.0,0.0,0.0,1.0,-0.3277641652160609,0.09451247284400136,0.0
2026-08-21T00:30:45.210058,0.0,0.0,0.0,1.0,-0.33409031700210534,0.09485255465251327,0.0
2026-08-21T00:30:45.218391,0.0,0.0,0.0,1.0,-0.34050383688720126,0.09490161811775755,0.0
2026-08-21T00:30:45.226724,0.0,0.0,0.0,1.0,-0.3469932922007648,0.0946570002108561,0.0
2026-08-21T00:30:45.235057,0.0,0.0,0.0,1.0,-0.3535473211428995,0.09411650361324765,0.0
2026-08-21T00:30:45.243390,0.0,0.0,0.0,1.0,-0.3601546479647236,0.09327837803243288,0.0
2026-08-21T00:30:45.251723,0.0,0.0,0.0,1.0,-0.3668040961470014,0.09214130156029558,0.0
2026-08-21T00:30:45.260056,0.0,0.0,0.0,1.0,-0.3734845996914744,0.09070436223918288,0.0
2026-08-21T00:30:45.268389,0.0,0.0,0.0,1.0,-0.3801852126460886,0.08896703998036613,0.0
2026-08-21T00:30:45.276722,0.0,0.0,0.0,1.0,-0.386895116989596,0.08692918895991282,0.0
2026-08-21T00:30:45.285055,0.0,0.0,0.0,1.0,-0.3936036290031113,0.08459102059858284,0.0
2026-08-21T00:30:45.293388,0.0,0.0,0.0,1.0,-0.40030020425646345,0.08195308721525713,0.0
2026-08-21T00:30:45.301721,0.0,0.0,0.0,1.0,-0.4069744413359124,0.07901626642769627,0.0
2026-08-21T00:30:45.310054,0.0,0.0,0.0,1.0,-0.4136160844373,0.07578174636014727,0.0
2026-08-21T00:30:45.318387,0.0,0.0,0.0,1.0,-0.42021502494523694,0.0722510117044666,0.0
2026-08-21T00:30:45.326720,0.0,0.0,0.0,1.0,-0.4267613021147343,0.0684258306699727,0.0
2026-08-21T00:30:45.335053,0.0,0.0,0.0,1.0,-0.4332451029669916,0.06430824284712372,0.0
2026-08-21T00:30:45.343386,0.0,0.0,0.0,1.0,-0.439656761506024,0.0599005480012608,0.0
2026-08-21T00:30:45.351719,0.0,0.0,0.0,1.0,-0.4459867573576244,0.0552052958049733,0.0
2026-08-21T00:30:45.360052,0.0,0.0,0.0,1.0,-0.4522257139269351,0.05022527651103389,0.0
2026-08-21T00:30:45.368385,0.0,0.0,0.0,1.0,-0.4583643961657693,0.04496351256221324,0.0
2026-08-21T00:30:45.376718,0.0,0.0,0.0,1.0,-0.4643937080358565,0.039423251129512456,0.0
2026-08-21T00:30:45.385051,0.0,0.0,0.0,1.0,-0.4703046897494727,0.033607957566340455,0.0
2026-08-21T00:30:45.393384,0.0,0.0,0.0,1.0,-0.47608851486449966,0.027521309762809747,0.0
2026-08-21T00:30:45.401717,0.0,0.0,0.0,1.0,-0.48173648730688834,0.021167193381527123,0.0
2026-08-21T00:30:45.410050,0.0,0.0,0.0,1.0,-0.4872400383898042,0.014549697953918821,0.0
2026-08-21T00:30:45.418383,0.0,0.0,0.0,1.0,-0.49259072389542496,0.007673113814160373,0.0
2026-08-21T00:30:45.426716,0.0,0.0,0.0,1.0,-0.49778022128245364,0.0005419298460917809,0.0
2026-08-21T00:30:45.435049,0.0,0.0,0.0,1.0,-0.5028003270798979,-0.006839167982994588,0.0
2026-08-21T00:30:45.443382,0.0,0.0,0.0,1.0,-0.5076429545255495,-0.01446529732918143,0.0
2026-08-21T00:30:45.451715,0.0,0.0,0.0,1.0,-0.5123001315058517,-0.02233137944818982,0.0
2026-08-21T00:30:45.460048,0.0,0.0,0.0,1.0,-0.516763998852454,-0.0304321384712588,0.0
2026-08-21T00:30:45.468381,0.0,0.0,0.0,1.0,-0.5210268090496977,-0.03876210001227576,0.0
2026-08-21T00:30:45.476714,0.0,0.0,0.0,1.0,-0.52508092540651,-0.047315589139403744,0.0
2026-08-21T00:30:45.485047,0.0,0.0,0.0,1.0,-0.5289188217456887,-0.056086727746281,0.0
2026-08-21T00:30:45.493380,0.0,0.0,0.0,1.0,-0.5325330826632729,-0.0650694313599715,0.0
2026-08-21T00:30:45.501713,0.0,0.0,0.0,1.0,-0.5359164044105847,-0.07425740542527698,0.0
