time,c.force.τx,c.force.τy,c.force.τz,c.force.x,c.force.y,c.force.z
2026-03-20T06:13:34.172233,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-20T06:13:34.175097,0.0,0.0,0.0,-67526063855.808914,-3390423021.2414575,0.0
2026-03-20T06:13:34.183430,0.0,0.0,0.0,-67261602390.99708,-6770265367.95187,0.0
2026-03-20T06:13:34.191763,0.0,0.0,0.0,-66822685045.8832,-10125050336.7467,0.0
2026-03-20T06:13:34.200096,0.0,0.0,0.0,-66212140436.95154,-13442585728.152767,0.0
2026-03-20T06:13:34.208429,0.0,0.0,0.0,-65433863908.62628,-16711080516.23976,0.0
2026-03-20T06:13:34.216762,0.0,0.0,0.0,-64492754726.97149,-19919264562.393955,0.0
2026-03-20T06:13:34.225095,0.0,0.0,0.0,-63394638505.726974,-23056496950.811398,0.0
2026-03-20T06:13:34.233428,0.0,0.0,0.0,-62146177049.741936,-26112860900.60263,0.0
2026-03-20T06:13:34.241761,0.0,0.0,0.0,-60754768078.54601,-29079243677.62057,0.0
2026-03-20T06:13:34.250094,0.0,0.0,0.0,-59228437467.16724,-31947400432.14163,0.0
2026-03-20T06:13:34.258427,0.0,0.0,0.0,-57575726710.52904,-34710001401.80723,0.0
2026-03-20T06:13:34.266760,0.0,0.0,0.0,-55805578285.7797,-37360662419.33484,0.0
2026-03-20T06:13:34.275093,0.0,0.0,0.0,-53927221462.767105,-39893959130.52319,0.0
2026-03-20T06:13:34.283426,0.0,0.0,0.0,-51950060909.671555,-42305425742.69538,0.0
2026-03-20T06:13:34.291759,0.0,0.0,0.0,-49883570174.50678,-44591539473.96206,0.0
2026-03-20T06:13:34.300092,0.0,0.0,0.0,-47737191811.319916,-46749692151.20531,0.0
2026-03-20T06:13:34.308425,0.0,0.0,0.0,-45520245580.319885,-48778150605.75424,0.0
2026-03-20T06:13:34.316758,0.0,0.0,0.0,-43241845800.92116,-50676007640.85998,0.0
2026-03-20T06:13:34.325091,0.0,0.0,0.0,-40910828591.22426,-52443125398.45111,0.0
2026-03-20T06:13:34.333424,0.0,0.0,0.0,-38535689399.85807,-54080072941.30691,0.0
2026-03-20T06:13:34.341757,0.0,0.0,0.0,-36124530936.777885,-55588059799.84965,0.0
2026-03-20T06:13:34.350090,0.0,0.0,0.0,-33685021346.06516,-56968867120.55658,0.0
2026-03-20T06:13:34.358423,0.0,0.0,0.0,-31224362240.743996,-58224777906.34789,0.0
2026-03-20T06:13:34.366756,0.0,0.0,0.0,-28749266039.252785,-59358507668.818306,0.0
2026-03-20T06:13:34.375089,0.0,0.0,0.0,-26265941905.402115,-60373136627.74941,0.0
2026-03-20T06:13:34.383422,0.0,0.0,0.0,-23780089496.498302,-61272044403.76416,0.0
2026-03-20T06:13:34.391755,0.0,0.0,0.0,-21296899664.51645,-62058847962.7276,0.0
2026-03-20T06:13:34.400088,0.0,0.0,0.0,-18821061228.519173,-62737343391.57338,0.0
2026-03-20T06:13:34.408421,0.0,0.0,0.0,-16356772938.127743,-63311451919.21301,0.0
2026-03-20T06:13:34.416754,0.0,0.0,0.0,-13907759772.734474,-63785170446.241104,0.0
2026-03-20T06:13:34.425087,0.0,0.0,0.0,-11477292764.339342,-64162526715.23951,0.0
2026-03-20T06:13:34.433420,0.0,0.0,0.0,-9068211588.709818,-64447539140.47675,0.0
2026-03-20T06:13:34.441753,0.0,0.0,0.0,-6682949235.745914,-64644181221.69426,0.0
2026-03-20T06:13:34.450086,0.0,0.0,0.0,-4323558141.739525,-64756350390.77609,0.0
2026-03-20T06:13:34.458419,0.0,0.0,0.0,-1991737240.4817734,-64787841081.218155,0.0
2026-03-20T06:13:34.466752,0.0,0.0,0.0,311140535.70879936,-64742321766.89601,0.0
2026-03-20T06:13:34.475085,0.0,0.0,0.0,2584000702.034486,-64623315686.94246,0.0
2026-03-20T06:13:34.483418,0.0,0.0,0.0,4826039943.141113,-64434184955.74856,0.0
2026-03-20T06:13:34.491751,0.0,0.0,0.0,7036699376.331232,-64178117749.37322,0.0
2026-03-20T06:13:34.500084,0.0,0.0,0.0,9215638563.620329,-63858118260.23986,0.0
2026-03-20T06:13:34.508417,0.0,0.0,0.0,11362710428.21698,-63476999119.28593,0.0
2026-03-20T06:13:34.516750,0.0,0.0,0.0,13477937185.044598,-63037375997.24633,0.0
2026-03-20T06:13:34.525083,0.0,0.0,0.0,15561487354.877197,-62541664113.19959,0.0
2026-03-20T06:13:34.533416,0.0,0.0,0.0,17613653897.29612,-61992076397.76613,0.0
2026-03-20T06:13:34.541749,0.0,0.0,0.0,19634833468.64305,-61390623079.481705,0.0
2026-03-20T06:13:34.550082,0.0,0.0,0.0,21625506787.03532,-60739112485.098274,0.0
2026-03-20T06:13:34.558415,0.0,0.0,0.0,23586220066.872604,-60039152867.2651,0.0
2026-03-20T06:13:34.566748,0.0,0.0,0.0,25517567469.64208,-59292155095.72988,0.0
2026-03-20T06:13:34.575081,0.0,0.0,0.0,27420174505.769196,-58499336070.505684,0.0
2026-03-20T06:13:34.583414,0.0,0.0,0.0,29294682313.336433,-57661722737.1085,0.0
2026-03-20T06:13:34.591747,0.0,0.0,0.0,31141732733.30703,-56780156604.80823,0.0
2026-03-20T06:13:34.600080,0.0,0.0,0.0,32961954097.09124,-55855298688.744,0.0
2026-03-20T06:13:34.608413,0.0,0.0,0.0,34755947640.56734,-54887634815.67961,0.0
2026-03-20T06:13:34.616746,0.0,0.0,0.0,36524274458.757614,-53877481251.11513,0.0
