time,b.force_τx,b.force_τy,b.force_τz,b.force_x,b.force_y,b.force_z
2026-08-21T00:30:44.969022,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:44.985067,0.0,0.0,0.0,85639931067.74289,3510241863.844418,0.0
2026-08-21T00:30:44.993400,0.0,0.0,0.0,85368016406.86719,7009991329.789117,0.0
2026-08-21T00:30:45.001733,0.0,0.0,0.0,84916709327.24738,10484921952.576307,0.0
2026-08-21T00:30:45.010066,0.0,0.0,0.0,84288889535.2453,13922958020.770033,0.0
2026-08-21T00:30:45.018399,0.0,0.0,0.0,83488522950.2206,17312421599.015625,0.0
2026-08-21T00:30:45.026732,0.0,0.0,0.0,82520597960.97772,20642151215.890392,0.0
2026-08-21T00:30:45.035065,0.0,0.0,0.0,81391046687.9253,23901609260.977184,0.0
2026-08-21T00:30:45.043398,0.0,0.0,0.0,80106653464.74103,27080976062.214684,0.0
2026-08-21T00:30:45.051731,0.0,0.0,0.0,78674953034.96507,30171229079.413574,0.0
2026-08-21T00:30:45.060064,0.0,0.0,0.0,77104121136.02881,33164206149.185814,0.0
2026-08-21T00:30:45.068397,0.0,0.0,0.0,75402860213.88855,36052652226.044235,0.0
2026-08-21T00:30:45.076730,0.0,0.0,0.0,73580282979.63875,38830249560.82246,0.0
2026-08-21T00:30:45.085063,0.0,0.0,0.0,71645796394.35344,41491631720.077774,0.0
2026-08-21T00:30:45.093396,0.0,0.0,0.0,69608988463.17793,44032382261.58804,0.0
2026-08-21T00:30:45.101729,0.0,0.0,0.0,67479519950.49331,46449019228.552124,0.0
2026-08-21T00:30:45.110062,0.0,0.0,0.0,65267022812.51848,48738966900.37808,0.0
2026-08-21T00:30:45.118395,0.0,0.0,0.0,62981006800.05969,50900516437.30421,0.0
2026-08-21T00:30:45.126728,0.0,0.0,0.0,60630775329.542435,52932777180.06329,0.0
2026-08-21T00:30:45.135061,0.0,0.0,0.0,58225351370.57509,54835620418.52392,0.0
2026-08-21T00:30:45.143394,0.0,0.0,0.0,55773413766.35589,56609617431.727165,0.0
2026-08-21T00:30:45.151727,0.0,0.0,0.0,53283244099.782555,58255973535.05331,0.0
2026-08-21T00:30:45.160060,0.0,0.0,0.0,50762683950.78755,59776459758.65997,0.0
2026-08-21T00:30:45.168393,0.0,0.0,0.0,48219102164.01592,61173343635.58031,0.0
2026-08-21T00:30:45.176726,0.0,0.0,0.0,45659371562.67817,62449320408.48283,0.0
2026-08-21T00:30:45.185059,0.0,0.0,0.0,43089854404.185684,63607445780.90617,0.0
2026-08-21T00:30:45.193392,0.0,0.0,0.0,40516395774.10117,64651071150.5248,0.0
2026-08-21T00:30:45.201725,0.0,0.0,0.0,37944324053.693245,65583782076.08251,0.0
2026-08-21T00:30:45.210058,0.0,0.0,0.0,35378457568.69242,66409340552.01802,0.0
2026-08-21T00:30:45.218391,0.0,0.0,0.0,32823116527.853348,67131631500.03055,0.0
2026-08-21T00:30:45.226724,0.0,0.0,0.0,30282139384.55809,67754613738.044464,0.0
2026-08-21T00:30:45.235057,0.0,0.0,0.0,27758902797.935707,68282275556.16283,0.0
2026-08-21T00:30:45.243390,0.0,0.0,0.0,25256344427.081215,68718594917.11217,0.0
2026-08-21T00:30:45.251723,0.0,0.0,0.0,22776987858.624645,69067504205.36421,0.0
2026-08-21T00:30:45.260056,0.0,0.0,0.0,20322969040.33975,69332859373.88673,0.0
2026-08-21T00:30:45.268389,0.0,0.0,0.0,17896063668.479378,69518413279.13191,0.0
2026-08-21T00:30:45.276722,0.0,0.0,0.0,15497715051.442474,69627792951.87466,0.0
2026-08-21T00:30:45.285055,0.0,0.0,0.0,13129062045.137592,69664480522.14091,0.0
2026-08-21T00:30:45.293388,0.0,0.0,0.0,10790966724.443401,69631797498.88925,0.0
2026-08-21T00:30:45.301721,0.0,0.0,0.0,8484041519.367746,69532892097.51901,0.0
2026-08-21T00:30:45.310054,0.0,0.0,0.0,6208675603.157978,69370729308.93895,0.0
2026-08-21T00:30:45.318387,0.0,0.0,0.0,3965060372.3276706,69148083411.22668,0.0
2026-08-21T00:30:45.326720,0.0,0.0,0.0,1753213905.216545,68867532637.38452,0.0
2026-08-21T00:30:45.335053,0.0,0.0,0.0,-426995673.6263027,68531455729.067566,0.0
2026-08-21T00:30:45.343386,0.0,0.0,0.0,-2575827961.013813,68142030125.31259,0.0
2026-08-21T00:30:45.351719,0.0,0.0,0.0,-4693649182.889398,67701231556.30182,0.0
2026-08-21T00:30:45.360052,0.0,0.0,0.0,-6780912225.983711,67210834834.2804,0.0
2026-08-21T00:30:45.368385,0.0,0.0,0.0,-8838137757.031576,66672415656.29523,0.0
2026-08-21T00:30:45.376718,0.0,0.0,0.0,-10865896377.272375,66087353255.9524,0.0
2026-08-21T00:30:45.385051,0.0,0.0,0.0,-12864791747.624226,65456833763.54037,0.0
2026-08-21T00:30:45.393384,0.0,0.0,0.0,-14835444610.771706,64781854155.371666,0.0
2026-08-21T00:30:45.401717,0.0,0.0,0.0,-16778477630.041431,64063226693.88675,0.0
2026-08-21T00:30:45.410050,0.0,0.0,0.0,-18694500960.99913,63301583779.83294,0.0
2026-08-21T00:30:45.418383,0.0,0.0,0.0,-20584098469.87169,62497383156.6283,0.0
2026-08-21T00:30:45.426716,0.0,0.0,0.0,-22447814512.91268,61650913424.84357,0.0
2026-08-21T00:30:45.435049,0.0,0.0,0.0,-24286141192.46613,60762299841.60398,0.0
2026-08-21T00:30:45.443382,0.0,0.0,0.0,-26099506008.57216,59831510395.6778,0.0
2026-08-21T00:30:45.451715,0.0,0.0,0.0,-27888259829.36886,58858362164.134346,0.0
2026-08-21T00:30:45.460048,0.0,0.0,0.0,-29652665109.192215,57842527970.78052,0.0
2026-08-21T00:30:45.468381,0.0,0.0,0.0,-31392884290.119053,56783543380.18219,0.0
2026-08-21T00:30:45.476714,0.0,0.0,0.0,-33108968330.725414,55680814073.981834,0.0
2026-08-21T00:30:45.485047,0.0,0.0,0.0,-34800845315.0753,54533623668.47225,0.0
2026-08-21T00:30:45.493380,0.0,0.0,0.0,-36468309105.46647,53341142043.97186,0.0
2026-08-21T00:30:45.501713,0.0,0.0,0.0,-38111008014.325325,52102434267.44812,0.0
2026-08-21T00:30:45.510046,0.0,0.0,0.0,-39728433483.96355,50816470199.983025,0.0
2026-08-21T00:30:45.518379,0.0,0.0,0.0,-41319908777.80413,49482134889.96505,0.0
2026-08-21T00:30:45.526712,0.0,0.0,0.0,-42884577703.27804,48098239861.16551,0.0
2026-08-21T00:30:45.535045,0.0,0.0,0.0,-44421393405.0116,46663535411.909935,0.0
2026-08-21T00:30:45.543378,0.0,0.0,0.0,-45929107287.2819,45176724047.11049,0.0
2026-08-21T00:30:45.551711,0.0,0.0,0.0,-47406258147.10774,43636475168.65553,0.0
2026-08-21T00:30:45.560044,0.0,0.0,0.0,-48851161623.822815,42041441151.15131,0.0
2026-08-21T00:30:45.568377,0.0,0.0,0.0,-50261900097.55374,40390274928.806015,0.0
2026-08-21T00:30:45.576710,0.0,0.0,0.0,-51636313197.629845,38681649214.79314,0.0
2026-08-21T00:30:45.585043,0.0,0.0,0.0,-52971989112.433495,36914277466.11861,0.0
2026-08-21T00:30:45.593376,0.0,0.0,0.0,-54266256924.28544,35086936694.168106,0.0
2026-08-21T00:30:45.601709,0.0,0.0,0.0,-55516180226.239395,33198492203.00612,0.0
2026-08-21T00:30:45.610042,0.0,0.0,0.0,-56718552311.56061,31247924313.38046,0.0
2026-08-21T00:30:45.618375,0.0,0.0,0.0,-57869893260.40778,29234357099.493538,0.0
2026-08-21T00:30:45.626708,0.0,0.0,0.0,-58966449280.8459,27157089127.202374,0.0
2026-08-21T00:30:45.635041,0.0,0.0,0.0,-60004194691.551636,25015626135.74066,0.0
2026-08-21T00:30:45.643374,0.0,0.0,0.0,-60978836959.94464,22809715549.782066,0.0
2026-08-21T00:30:45.651707,0.0,0.0,0.0,-61885825230.23743,20539382644.342945,0.0
2026-08-21T00:30:45.660040,0.0,0.0,0.0,-62720362789.01772,18204968111.57663,0.0
2026-08-21T00:30:45.668373,0.0,0.0,0.0,-63477423919.21043,15807166696.219328,0.0
2026-08-21T00:30:45.676706,0.0,0.0,0.0,-64151775584.155174,13347066476.032047,0.0
2026-08-21T00:30:45.685039,0.0,0.0,0.0,-64738004359.49675,10826188266.305964,0.0
2026-08-21T00:30:45.693372,0.0,0.0,0.0,-65230548989.01143,8246524525.255859,0.0
2026-08-21T00:30:45.701705,0.0,0.0,0.0,-65623738878.87073,5610577032.5235,0.0
2026-08-21T00:30:45.710038,0.0,0.0,0.0,-65911838760.93903,2921392509.4289865,0.0
2026-08-21T00:30:45.718371,0.0,0.0,0.0,-66089099647.73497,182595251.22106934,0.0
2026-08-21T00:30:45.726704,0.0,0.0,0.0,-66149816068.59009,-2601584246.6519547,0.0
2026-08-21T00:30:45.735037,0.0,0.0,0.0,-66088389418.171524,-5426285758.633806,0.0
2026-08-21T00:30:45.743370,0.0,0.0,0.0,-65899397065.97659,-8286002036.248428,0.0
2026-08-21T00:30:45.751703,0.0,0.0,0.0,-65577666671.1562,-11174568914.850252,0.0
2026-08-21T00:30:45.760036,0.0,0.0,0.0,-65118354925.25367,-14085163968.926125,0.0
2026-08-21T00:30:45.768369,0.0,0.0,0.0,-64517029712.105034,-17010314810.033731,0.0
2026-08-21T00:30:45.776702,0.0,0.0,0.0,-63769754437.04956,-19941918019.756897,0.0
