time,b.world_pos.q0,b.world_pos.q1,b.world_pos.q2,b.world_pos.q3,b.world_pos.x,b.world_pos.y,b.world_pos.z
2026-03-19T22:53:10.706958,0.0,0.0,0.0,1.0,-0.6628498947,0.0,0.0
2026-03-19T22:53:10.710,0.0,0.0,0.0,1.0,-0.662650996229874,-0.013490293413909553,0.0
2026-03-19T22:53:10.718333,0.0,0.0,0.0,1.0,-0.6620548244241871,-0.026964298068376778,0.0
2026-03-19T22:53:10.726666,0.0,0.0,0.0,1.0,-0.6610626407311562,-0.04040578076732295,0.0
2026-03-19T22:53:10.734999,0.0,0.0,0.0,1.0,-0.6596765387157895,-0.05379862342730437,0.0
2026-03-19T22:53:10.743332,0.0,0.0,0.0,1.0,-0.6578994307067885,-0.06712687908015177,0.0
2026-03-19T22:53:10.751665,0.0,0.0,0.0,1.0,-0.6557350294066913,-0.08037482603180751,0.0
2026-03-19T22:53:10.759998,0.0,0.0,0.0,1.0,-0.6531878247606226,-0.09352701962717615,0.0
2026-03-19T22:53:10.768331,0.0,0.0,0.0,1.0,-0.6502630564485105,-0.10656834112309596,0.0
2026-03-19T22:53:10.776664,0.0,0.0,0.0,1.0,-0.6469666824248732,-0.11948404323323156,0.0
2026-03-19T22:53:10.784997,0.0,0.0,0.0,1.0,-0.6433053439779772,-0.1322597919776311,0.0
2026-03-19T22:53:10.793330,0.0,0.0,0.0,1.0,-0.6392863278154773,-0.14488170454357488,0.0
2026-03-19T22:53:10.801663,0.0,0.0,0.0,1.0,-0.6349175257062691,-0.15733638294080637,0.0
2026-03-19T22:53:10.809996,0.0,0.0,0.0,1.0,-0.6302073922183336,-0.16961094331098475,0.0
2026-03-19T22:53:10.818329,0.0,0.0,0.0,1.0,-0.6251649010904252,-0.18169304082608725,0.0
2026-03-19T22:53:10.826662,0.0,0.0,0.0,1.0,-0.6197995007624898,-0.19357089018161358,0.0
2026-03-19T22:53:10.834995,0.0,0.0,0.0,1.0,-0.6141210695669423,-0.20523328175619288,0.0
2026-03-19T22:53:10.843328,0.0,0.0,0.0,1.0,-0.6081398710518511,-0.21666959356828974,0.0
2026-03-19T22:53:10.851661,0.0,0.0,0.0,1.0,-0.6018665098692418,-0.22786979921222225,0.0
2026-03-19T22:53:10.859994,0.0,0.0,0.0,1.0,-0.5953118886188137,-0.2388244719990668,0.0
2026-03-19T22:53:10.868327,0.0,0.0,0.0,1.0,-0.5884871659909466,-0.2495247855629843,0.0
2026-03-19T22:53:10.876660,0.0,0.0,0.0,1.0,-0.5814037165045375,-0.25996251122010944,0.0
2026-03-19T22:53:10.884993,0.0,0.0,0.0,1.0,-0.5740730920863171,-0.27013001238570844,0.0
2026-03-19T22:53:10.893326,0.0,0.0,0.0,1.0,-0.5665069856901253,-0.2800202363663429,0.0
2026-03-19T22:53:10.901659,0.0,0.0,0.0,1.0,-0.558717197108202,-0.2896267038479534,0.0
2026-03-19T22:53:10.909992,0.0,0.0,0.0,1.0,-0.5507156010827381,-0.2989434963988814,0.0
