time,a.world_pos_q0,a.world_pos_q1,a.world_pos_q2,a.world_pos_q3,a.world_pos_x,a.world_pos_y,a.world_pos_z
2026-08-21T00:30:44.969022,0.0,0.0,0.0,1.0,0.8920281421,0.0,0.0
2026-08-21T00:30:44.985067,0.0,0.0,0.0,1.0,0.8919861600553762,0.00829818990519979,0.0
2026-08-21T00:30:44.993400,0.0,0.0,0.0,1.0,0.8918602250356971,0.01659582428244298,0.0
2026-08-21T00:30:45.001733,0.0,0.0,0.0,1.0,0.8916503715520543,0.02489234708624955,0.0
2026-08-21T00:30:45.010066,0.0,0.0,0.0,1.0,0.8913566569649546,0.033187201168299214,0.0
2026-08-21T00:30:45.018399,0.0,0.0,0.0,1.0,0.8909791612483061,0.04147982773918339,0.0
2026-08-21T00:30:45.026732,0.0,0.0,0.0,1.0,0.8905179866634333,0.04976966584582622,0.0
2026-08-21T00:30:45.035065,0.0,0.0,0.0,1.0,0.8899732573474377,0.058056151869304226,0.0
2026-08-21T00:30:45.043398,0.0,0.0,0.0,1.0,0.8893451188212673,0.06633871904739169,0.0
2026-08-21T00:30:45.051731,0.0,0.0,0.0,1.0,0.8886337374237668,0.07461679702568233,0.0
2026-08-21T00:30:45.060064,0.0,0.0,0.0,1.0,0.8878392996787445,0.08288981144060215,0.0
2026-08-21T00:30:45.068397,0.0,0.0,0.0,1.0,0.8869620116026901,0.09115718353705105,0.0
2026-08-21T00:30:45.076730,0.0,0.0,0.0,1.0,0.8860020979612077,0.09941832982280831,0.0
2026-08-21T00:30:45.085063,0.0,0.0,0.0,1.0,0.8849598014824878,0.10767266176122704,0.0
2026-08-21T00:30:45.093396,0.0,0.0,0.0,1.0,0.8838353820362362,0.11591958550314106,0.0
2026-08-21T00:30:45.101729,0.0,0.0,0.0,1.0,0.8826291157864149,0.12415850165832888,0.0
2026-08-21T00:30:45.110062,0.0,0.0,0.0,1.0,0.8813412943259443,0.13238880510633605,0.0
2026-08-21T00:30:45.118395,0.0,0.0,0.0,1.0,0.8799722238011849,0.14060988484595993,0.0
2026-08-21T00:30:45.126728,0.0,0.0,0.0,1.0,0.8785222240335713,0.1488211238822571,0.0
2026-08-21T00:30:45.135061,0.0,0.0,0.0,1.0,0.876991627645247,0.15702189914954912,0.0
2026-08-21T00:30:45.143394,0.0,0.0,0.0,1.0,0.8753807791949466,0.1652115814685803,0.0
2026-08-21T00:30:45.151727,0.0,0.0,0.0,1.0,0.873690034329728,0.17338953553572178,0.0
2026-08-21T00:30:45.160060,0.0,0.0,0.0,1.0,0.8719197589574811,0.1815551199419186,0.0
2026-08-21T00:30:45.168393,0.0,0.0,0.0,1.0,0.8700703284444519,0.18970768721893957,0.0
2026-08-21T00:30:45.176726,0.0,0.0,0.0,1.0,0.8681421268413385,0.1978465839104051,0.0
2026-08-21T00:30:45.185059,0.0,0.0,0.0,1.0,0.866135546140848,0.20597115066503727,0.0
2026-08-21T00:30:45.193392,0.0,0.0,0.0,1.0,0.864050985568965,0.2140807223495865,0.0
