time,rocket.v_rel_accel_filtered_x,rocket.v_rel_accel_filtered_y,rocket.v_rel_accel_filtered_z
2026-05-06T20:26:45.387137,0.0,0.0,0.0
2026-05-06T20:26:45.395012,0.0,0.0,0.0
2026-05-06T20:26:45.403345,-0.06490278380763653,0.0,-1.4085353645691125e-17
2026-05-06T20:26:45.411678,-0.3191903139105321,0.0,-8.871378060749612e-6
2026-05-06T20:26:45.420011,-0.8118869922922994,0.0,-0.000055521101459917114
2026-05-06T20:26:45.428344,-1.5222052893648748,0.0,-0.0001810893143593074
2026-05-06T20:26:45.436677,-2.4301357172089526,0.0,-0.00042562610672339696
2026-05-06T20:26:45.445010,-3.516574125595334,0.0,-0.0008252754768120068
2026-05-06T20:26:45.453343,-4.763307596314892,0.0,-0.0014128855584668717
2026-05-06T20:26:45.461676,-6.152998988570301,0.0,-0.002218338445861931
2026-05-06T20:26:45.470009,-7.669170272583063,0.0,-0.0032687861355739705
2026-05-06T20:26:45.478342,-9.296184781956796,0.0,-0.004588846082351579
2026-05-06T20:26:45.486675,-11.019228508872484,0.0,-0.0062007760261659235
2026-05-06T20:26:45.495008,-12.824290559863934,0.0,-0.008124636469446464
2026-05-06T20:26:45.503341,-14.69814288373591,0.0,-0.010378444726406564
2026-05-06T20:26:45.511674,-16.628319377148635,0.0,-0.012978322485275109
2026-05-06T20:26:45.520007,-18.603094467505933,0.0,-0.01593863786603826
2026-05-06T20:26:45.528340,-20.61146126705451,0.0,-0.019272142463891515
2026-05-06T20:26:45.536673,-22.64310938653308,0.0,-0.022990103605055805
2026-05-06T20:26:45.545006,-24.688402491305034,0.0,-0.02710243189751421
2026-05-06T20:26:45.553339,-26.73835567766989,0.0,-0.0316178040805743
2026-05-06T20:26:45.561672,-28.78461274197897,0.0,-0.03654378113578401
2026-05-06T20:26:45.570005,-30.819423410280553,0.0,-0.04188692160222943
2026-05-06T20:26:45.578338,-32.835620591490404,0.0,-0.047652890032867115
2026-05-06T20:26:45.586671,-34.82659771252533,0.0,-0.053846560530141904
2026-05-06T20:26:45.595004,-36.7862861894497,0.0,-0.06047211530559734
2026-05-06T20:26:45.603337,-38.70913308446781,0.0,-0.0675331382175674
2026-05-06T20:26:45.611670,-40.59007899454672,0.0,-0.07503270325211955
2026-05-06T20:26:45.620003,-42.42453621357442,0.0,-0.08297345792441391
2026-05-06T20:26:45.628336,-44.20836720624364,0.0,-0.09135770159004063
2026-05-06T20:26:45.636669,-45.9378634283025,0.0,-0.10018745866835883
2026-05-06T20:26:45.645002,-47.609724524424216,0.0,-0.10946454679216679
2026-05-06T20:26:45.653335,-49.22103793172013,0.0,-0.11919063991004035
2026-05-06T20:26:45.661668,-50.769258913847075,0.0,-0.12936732637929227
2026-05-06T20:26:45.670001,-52.25219104774126,0.0,-0.13999616209867227
2026-05-06T20:26:45.678334,-53.66796718224185,0.0,-0.1510787187406143
2026-05-06T20:26:45.686667,-55.015030885244926,0.0,-0.16261662715302494
2026-05-06T20:26:45.695,-56.292118393549494,0.0,-0.17461161601029293
2026-05-06T20:26:45.703333,-57.49824107721753,0.0,-0.18706554580238619
2026-05-06T20:26:45.711666,-58.6326684280663,0.0,-0.1999804382595973
2026-05-06T20:26:45.719999,-59.69491157983907,0.0,-0.21335850131871661
2026-05-06T20:26:45.728332,-60.684707365656585,0.0,-0.22720214974416195
2026-05-06T20:26:45.736665,-61.60200291653143,0.0,-0.24151402152489815
2026-05-06T20:26:45.744998,-62.4469408030276,0.0,-0.2562969901748493
2026-05-06T20:26:45.753331,-63.21984472056309,0.0,-0.27155417307096025
2026-05-06T20:26:45.761664,-63.92120571738121,0.0,-0.28728893596911736
2026-05-06T20:26:45.769997,-64.55166896285158,0.0,-0.30350489384380597
2026-05-06T20:26:45.778330,-65.11202105250061,0.0,-0.3202059082026807
2026-05-06T20:26:45.786663,-65.60317784501005,0.0,-0.337396081032164
2026-05-06T20:26:45.794996,-66.02617282535596,0.0,-0.35507974553478594
2026-05-06T20:26:45.803329,-66.38214598728644,0.0,-0.37326145382324016
2026-05-06T20:26:45.811662,-66.67233322744946,0.0,-0.39194596174007257
2026-05-06T20:26:45.819995,-66.89805624267905,0.0,-0.4111382109755428
2026-05-06T20:26:45.828328,-67.06071292122488,0.0,-0.4308433086595207
2026-05-06T20:26:45.836661,-67.16176821806305,0.0,-0.4510665046062947
2026-05-06T20:26:45.844994,-67.20274550385105,0.0,-0.47181316639389576
2026-05-06T20:26:45.853327,-67.18521837658355,0.0,-0.4930887524619674
2026-05-06T20:26:45.861660,-67.11080292456461,0.0,-0.5148987834143557
2026-05-06T20:26:45.869993,-66.98115042893255,0.0,-0.5372488117144447
2026-05-06T20:26:45.878326,-66.79794049365255,0.0,-0.5601443899628262
2026-05-06T20:26:45.886659,-66.56287459062534,0.0,-0.583591037948168
