time,rocket.angle_of_attack
2026-08-21T00:30:43.226598,0.0
2026-08-21T00:30:43.244053,-0.0
2026-08-21T00:30:43.252386,1.9575857474080323
2026-08-21T00:30:43.260719,1.9654171167394427
2026-08-21T00:30:43.269052,1.9745858222620791
2026-08-21T00:30:43.277385,1.9841212226663532
2026-08-21T00:30:43.285718,1.9938287245387567
2026-08-21T00:30:43.294051,2.0036423177123286
2026-08-21T00:30:43.302384,2.0135322475022597
2026-08-21T00:30:43.310717,2.023481958674911
2026-08-21T00:30:43.319050,2.0334804215727114
2026-08-21T00:30:43.327383,2.0435190710830473
2026-08-21T00:30:43.335716,2.053590422808669
2026-08-21T00:30:43.344049,2.063687388238193
2026-08-21T00:30:43.352382,2.0738029128093824
2026-08-21T00:30:43.360715,2.0839297757187025
2026-08-21T00:30:43.369048,2.0940604763183135
2026-08-21T00:30:43.377381,2.1041871695315866
2026-08-21T00:30:43.385714,2.114301630424585
2026-08-21T00:30:43.394047,2.1243952369051944
2026-08-21T00:30:43.402380,2.134458964188409
2026-08-21T00:30:43.410713,2.1444833872058866
2026-08-21T00:30:43.419046,2.15445868861568
2026-08-21T00:30:43.427379,2.1643746709197145
2026-08-21T00:30:43.435712,2.174220771721855
2026-08-21T00:30:43.444045,2.1839860814846874
2026-08-21T00:30:43.452378,2.193659363356333
2026-08-21T00:30:43.460711,2.2032290747595926
2026-08-21T00:30:43.469044,2.212683390539524
2026-08-21T00:30:43.477377,2.2220102275117224
2026-08-21T00:30:43.485710,2.231197270304166
2026-08-21T00:30:43.494043,2.240231998397445
2026-08-21T00:30:43.502376,2.2491017143028267
2026-08-21T00:30:43.510709,2.2577935728153573
2026-08-21T00:30:43.519042,2.266294611294088
2026-08-21T00:30:43.527375,2.274591780923066
2026-08-21T00:30:43.535708,2.2826719789095717
2026-08-21T00:30:43.544041,2.2905220815788683
2026-08-21T00:30:43.552374,2.298128978318162
2026-08-21T00:30:43.560707,2.3054796063297553
2026-08-21T00:30:43.569040,2.312560986146763
2026-08-21T00:30:43.577373,2.319360257859043
2026-08-21T00:30:43.585706,2.325864718005013
2026-08-21T00:30:43.594039,2.3320618570696734
2026-08-21T00:30:43.602372,2.337939397536913
2026-08-21T00:30:43.610705,2.343485332433947
2026-08-21T00:30:43.619038,2.348687964306944
2026-08-21T00:30:43.627371,2.353535944562838
2026-08-21T00:30:43.635704,2.358018313105989
2026-08-21T00:30:43.644037,2.3621245382045957
2026-08-21T00:30:43.652370,2.3658445565064365
2026-08-21T00:30:43.660703,2.369168813132697
2026-08-21T00:30:43.669036,2.37208830176849
2026-08-21T00:30:43.677369,2.374594604669949
2026-08-21T00:30:43.685702,2.376679932505882
2026-08-21T00:30:43.694035,2.3783371639466826
2026-08-21T00:30:43.702368,2.3795598849186446
2026-08-21T00:30:43.710701,2.3803424274313367
2026-08-21T00:30:43.719034,2.380679907895534
2026-08-21T00:30:43.727367,2.3805682648360205
2026-08-21T00:30:43.735700,2.380004295917884
2026-08-21T00:30:43.744033,2.378984636279411
2026-08-21T00:30:43.752366,2.3775076295961854
2026-08-21T00:30:43.760699,2.3755726804989035
2026-08-21T00:30:43.769032,2.3731802015639314
2026-08-21T00:30:43.777365,2.3703316464566484
2026-08-21T00:30:43.785698,2.3670295418562213
2026-08-21T00:30:43.794031,2.363277518068187
2026-08-21T00:30:43.802364,2.359080338250796
2026-08-21T00:30:43.810697,2.354443926164996
2026-08-21T00:30:43.819030,2.3493753923805647
2026-08-21T00:30:43.827363,2.343883058862843
2026-08-21T00:30:43.835696,2.3379764818727953
2026-08-21T00:30:43.844029,2.3316664731222074
2026-08-21T00:30:43.852362,2.324965119125629
2026-08-21T00:30:43.860695,2.317885798701145
2026-08-21T00:30:43.869028,2.3104431985803333
2026-08-21T00:30:43.877361,2.3026533270843332
2026-08-21T00:30:43.885694,2.2945335258483617
2026-08-21T00:30:43.894027,2.2861024795646943
2026-08-21T00:30:43.902360,2.277380223743627
2026-08-21T00:30:43.910693,2.268388150476647
2026-08-21T00:30:43.919026,2.2588676893123427
2026-08-21T00:30:43.927359,2.248658750352393
2026-08-21T00:30:43.935692,2.237789687748408
2026-08-21T00:30:43.944025,2.2262900136812154
2026-08-21T00:30:43.952358,2.214190400528578
2026-08-21T00:30:43.960691,2.2015226822539584
2026-08-21T00:30:43.969024,2.1883198542711004
2026-08-21T00:30:43.977357,2.1746160718179524
2026-08-21T00:30:43.985690,2.160446646882864
2026-08-21T00:30:43.994023,2.1458480437157026
2026-08-21T00:30:44.002356,2.130857872970818
2026-08-21T00:30:44.010689,2.1155148845174647
2026-08-21T00:30:44.019022,2.099858958959646
2026-08-21T00:30:44.027355,2.0839310979080508
2026-08-21T00:30:44.035688,2.0677734130485073
2026-08-21T00:30:44.044021,2.051429114044889
2026-08-21T00:30:44.052354,2.0349424953259465
2026-08-21T00:30:44.060687,2.018358921795351
2026-08-21T00:30:44.069020,2.001724813513622
