time,rocket.aero_coefs_cl,rocket.aero_coefs_cnr,rocket.aero_coefs_cmr,rocket.aero_coefs_ca,rocket.aero_coefs_czr,rocket.aero_coefs_cyr
2026-05-06T20:26:45.387137,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06T20:26:45.395012,0.0,0.0,0.0,0.2942,0.0,0.0
2026-05-06T20:26:45.403345,0.0,0.0,0.5140620172693492,0.2914985316685769,0.41539969559998435,0.0
2026-05-06T20:26:45.411678,0.0,0.0,0.516117477037628,0.29148778109975576,0.4170612921518794,0.0
2026-05-06T20:26:45.420011,0.0,0.0,0.5185194979579126,0.2914754325972895,0.41900570999930903,0.0
2026-05-06T20:26:45.428344,0.0,0.0,0.5210076848234222,0.2914631196108942,0.4210258347876708,0.0
2026-05-06T20:26:45.436677,0.0,0.0,0.523524811077873,0.29145143677335283,0.4230791009453966,0.0
2026-05-06T20:26:45.445010,0.0,0.0,0.526047158585344,0.2914408137862379,0.42515017544947287,0.0
2026-05-06T20:26:45.453343,0.0,0.0,0.5285603016713672,0.29143164119387477,0.42723137200916134,0.0
2026-05-06T20:26:45.461676,0.0,0.0,0.5310530946952814,0.2914242998929166,0.429317767359473,0.0
2026-05-06T20:26:45.470009,0.0,0.0,0.5335156976408647,0.29141916950141933,0.43140558136140883,0.0
2026-05-06T20:26:45.478342,0.0,0.0,0.5359388086432642,0.29141663061223566,0.4334915350251374,0.0
2026-05-06T20:26:45.486675,0.0,0.0,0.538313332032154,0.29141706500875986,0.43557256340453404,0.0
2026-05-06T20:26:45.495008,0.0,0.0,0.5406302252159851,0.2914208551813663,0.43764567583196706,0.0
2026-05-06T20:26:45.503341,0.0,0.0,0.5428804260466386,0.2914283836410071,0.43970788376706654,0.0
2026-05-06T20:26:45.511674,0.0,0.0,0.5450548187973997,0.29144003222762294,0.441756162158694,0.0
2026-05-06T20:26:45.520007,0.0,0.0,0.5471442194518245,0.2914561814932784,0.44378742846223473,0.0
2026-05-06T20:26:45.528340,0.0,0.0,0.5491393708358386,0.2914772101899901,0.4457985314220163,0.0
2026-05-06T20:26:45.536673,0.0,0.0,0.5510309427409055,0.29150349486990573,0.4477862454816385,0.0
2026-05-06T20:26:45.545006,0.0,0.0,0.552809534462753,0.2915354095954211,0.4497472685474836,0.0
2026-05-06T20:26:45.553339,0.0,0.0,0.5544656783736799,0.29157332575227884,0.4516782218160783,0.0
2026-05-06T20:26:45.561672,0.0,0.0,0.5559898437811389,0.29161761195690955,0.4535756509077703,0.0
2026-05-06T20:26:45.570005,0.0,0.0,0.5573724406863573,0.2916686340487435,0.4554360278575759,0.0
2026-05-06T20:26:45.578338,0.0,0.0,0.5586038232536843,0.2917267551583941,0.4572557536880224,0.0
2026-05-06T20:26:45.586671,0.0,0.0,0.559674292919843,0.2917923358430433,0.4590311613975194,0.0
2026-05-06T20:26:45.595004,0.0,0.0,0.5605741011374112,0.29186573428094625,0.4607585192618749,0.0
2026-05-06T20:26:45.603337,0.0,0.0,0.5612934517862708,0.29194730651757517,0.4624340343885751,0.0
2026-05-06T20:26:45.611670,0.0,0.0,0.5618225033037425,0.2920374067565513,0.4640538564860234,0.0
2026-05-06T20:26:45.620003,0.0,0.0,0.5621513705979746,0.29213638768906924,0.4656140818291206,0.0
2026-05-06T20:26:45.628336,0.0,0.0,0.5622701268103074,0.29224460085607107,0.4671107574105106,0.0
2026-05-06T20:26:45.636669,0.0,0.0,0.5621688049926957,0.2923623970379171,0.46853988527341045,0.0
2026-05-06T20:26:45.645002,0.0,0.0,0.5618373997648999,0.2924901266667467,0.4698974270264636,0.0
2026-05-06T20:26:45.653335,0.0,0.0,0.5612658690106787,0.2926281402571408,0.47117930854174933,0.0
2026-05-06T20:26:45.661668,0.0,0.0,0.5604441356689341,0.2927767888510626,0.47238142483896317,0.0
2026-05-06T20:26:45.670001,0.0,0.0,0.5593620896702651,0.292936424473392,0.47349964515857085,0.0
2026-05-06T20:26:45.678334,0.0,0.0,0.5580095900638854,0.2931074005946781,0.4745298182260706,0.0
2026-05-06T20:26:45.686667,0.0,0.0,0.5563764673758552,0.29329007259800427,0.47546777770978504,0.0
2026-05-06T20:26:45.695,0.0,0.0,0.5544525262326127,0.29348479824712054,0.47630934787219786,0.0
2026-05-06T20:26:45.703333,0.0,0.0,0.5522275482800614,0.2936919381532229,0.4770503494148343,0.0
2026-05-06T20:26:45.711666,0.0,0.0,0.5496912954233574,0.29391185623796456,0.4776866055153728,0.0
2026-05-06T20:26:45.719999,0.0,0.0,0.5468335134076492,0.2941449201904781,0.478213948054355,0.0
2026-05-06T20:26:45.728332,0.0,0.0,0.5436439357540299,0.2943915019163673,0.47862822402651245,0.0
2026-05-06T20:26:45.736665,0.0,0.0,0.5401122880635659,0.29465197797676634,0.4789253021329553,0.0
2026-05-06T20:26:45.744998,0.0,0.0,0.5362282926932413,0.29492673001573977,0.4791010795454943,0.0
2026-05-06T20:26:45.753331,0.0,0.0,0.5319816738087813,0.29521614517439376,0.4791514888374097,0.0
2026-05-06T20:26:45.761664,0.0,0.0,0.5273621628093921,0.29552061649022876,0.47907250506909954,0.0
2026-05-06T20:26:45.769997,0.0,0.0,0.5223595041201853,0.29584054328034626,0.47886015301969537,0.0
2026-05-06T20:26:45.778330,0.0,0.0,0.5169634613408701,0.29617633150724343,0.4785105145519134,0.0
2026-05-06T20:26:45.786663,0.0,0.0,0.5111638237364715,0.2965283941260216,0.4780197360971029,0.0
2026-05-06T20:26:45.794996,0.0,0.0,0.504950413052534,0.2968971514119181,0.47738403624674214,0.0
2026-05-06T20:26:45.803329,0.0,0.0,0.49831309063169865,0.29728303126716193,0.4765997134339926,0.0
2026-05-06T20:26:45.811662,0.0,0.0,0.4912417648069419,0.29768646950622357,0.4756631536895733,0.0
2026-05-06T20:26:45.819995,0.0,0.0,0.4837263985414606,0.29810791011860205,0.4745708384537408,0.0
2026-05-06T20:26:45.828328,0.0,0.0,0.47575701728240327,0.29854780550836346,0.4733193524258119,0.0
2026-05-06T20:26:45.836661,0.0,0.0,0.4673237169922869,0.2990066167096993,0.47190539143172866,0.0
2026-05-06T20:26:45.844994,0.0,0.0,0.4584166723175336,0.29948481357784573,0.4703257702884693,0.0
2026-05-06T20:26:45.853327,0.0,0.0,0.44902614485215997,0.2999828749547422,0.4685774306447389,0.0
2026-05-06T20:26:45.861660,0.0,0.0,0.43914249144899575,0.3005012888088854,0.46665744877459864,0.0
2026-05-06T20:26:45.869993,0.0,0.0,0.42875617253056303,0.30104055234885985,0.4645630433022552,0.0
2026-05-06T20:26:45.878326,0.0,0.0,0.4178577603455534,0.3016011721101053,0.462291582832918,0.0
2026-05-06T20:26:45.886659,0.0,0.0,0.40653054338539224,0.30218348810156975,0.45995655306660843,0.0
2026-05-06T20:26:45.894992,0.0,0.0,0.3946686038796806,0.30278861705080184,0.4574467644030992,0.0
2026-05-06T20:26:45.903325,0.0,0.0,0.3822526339225324,0.3034171399928332,0.45474809091203017,0.0
2026-05-06T20:26:45.911658,0.0,0.0,0.3692734229481496,0.3040696085867915,0.4518584463177454,0.0
2026-05-06T20:26:45.919991,0.0,0.0,0.3557219350235506,0.30474658331852766,0.4487759382656987,0.0
2026-05-06T20:26:45.928324,0.0,0.0,0.34158931647162066,0.3054486334133198,0.44549887533559196,0.0
2026-05-06T20:26:45.936657,0.0,0.0,0.3268669032430456,0.306176336705299,0.44202577382505803,0.0
2026-05-06T20:26:45.944990,0.0,0.0,0.31154622771769175,0.3069302794760112,0.4383553642234946,0.0
2026-05-06T20:26:45.953323,0.0,0.0,0.29561902486275254,0.3077110562619884,0.4344865973500794,0.0
2026-05-06T20:26:45.961656,0.0,0.0,0.27907723766885567,0.3085192696313143,0.4304186501261874,0.0
2026-05-06T20:26:45.969989,0.0,0.0,0.26191302178911,0.3093555299291957,0.42615093095684975,0.0
2026-05-06T20:26:45.978322,0.0,0.0,0.24411874930235086,0.3102204549926451,0.4216830846938753,0.0
2026-05-06T20:26:45.986655,0.0,0.0,0.22568701152237197,0.31111466983445074,0.4170149971547315,0.0
2026-05-06T20:26:45.994988,0.0,0.0,0.20661062077553,0.3120388062966735,0.4121467991726777,0.0
2026-05-06T20:26:46.003321,0.0,0.0,0.18688261106893236,0.31299350267399717,0.40707887015427796,0.0
2026-05-06T20:26:46.011654,0.0,0.0,0.1664962375708625,0.31397940330734675,0.40181184112060575,0.0
2026-05-06T20:26:46.019987,0.0,0.0,0.14544497482895796,0.31499715814824564,0.39634659721229715,0.0
2026-05-06T20:26:46.028320,0.0,0.0,0.12372251364816067,0.31604742229451066,0.39068427963595476,0.0
2026-05-06T20:26:46.036653,0.0,0.0,0.10132275655695261,0.31713085549792963,0.38482628703542693,0.0
2026-05-06T20:26:46.044986,0.0,0.0,0.07823981178775906,0.3182481216446867,0.3787742762691742,0.0
2026-05-06T20:26:46.053319,0.0,0.0,0.05446798570197138,0.319399888209382,0.37253016257916277,0.0
2026-05-06T20:26:46.061652,0.0,0.0,0.03000177359089748,0.3205868256835877,0.36609611913727474,0.0
2026-05-06T20:26:46.069985,0.0,0.0,0.004773492352016091,0.32181022759679734,0.35941825399709226,0.0
2026-05-06T20:26:46.078318,0.0,0.0,-0.021257415945215567,0.32307100157424407,0.3524634519825917,0.0
2026-05-06T20:26:46.086651,0.0,0.0,-0.048085155706370244,0.32436944142419927,0.34523725552300694,0.0
2026-05-06T20:26:46.094984,0.0,0.0,-0.07570230737195893,0.3257057677701088,0.3377457302463554,0.0
2026-05-06T20:26:46.103317,0.0,0.0,-0.10410043259721213,0.32708015779133187,0.32999534147120696,0.0
2026-05-06T20:26:46.111650,0.0,0.0,-0.13327016991494028,0.32849274837409037,0.3219929358219399,0.0
2026-05-06T20:26:46.119983,0.0,0.0,-0.1632013277595859,0.3299436390357728,0.3137457231989231,0.0
2026-05-06T20:26:46.128316,0.0,0.0,-0.19388297482621755,0.3314328946286273,0.30526125910969903,0.0
2026-05-06T20:26:46.136649,0.0,0.0,-0.2253035277452472,0.3329605478288271,0.2965474273675973,0.0
2026-05-06T20:26:46.144982,0.0,0.0,-0.2574508360672885,0.3345266014170266,0.2876124231600213,0.0
2026-05-06T20:26:46.153315,0.0,0.0,-0.29031226455990844,0.33613103035655634,0.2784647364897214,0.0
2026-05-06T20:26:46.161648,0.0,0.0,-0.3238747728302782,0.33777378367548927,0.2691131359882866,0.0
2026-05-06T20:26:46.169981,0.0,0.0,-0.3581249922953932,0.3394547861588252,0.25956665310079724,0.0
2026-05-06T20:26:46.178314,0.0,0.0,-0.39304930052961623,0.341173939857048,0.24983456663927614,0.0
2026-05-06T20:26:46.186647,0.0,0.0,-0.42863389302660093,0.3429311254173036,0.23992638770160457,0.0
2026-05-06T20:26:46.194980,0.0,0.0,-0.4648648524206688,0.3447262032434464,0.2298518449500869,0.0
2026-05-06T20:26:46.203313,0.0,0.0,-0.5017282152165436,0.34655901449113574,0.21962087024515112,0.0
2026-05-06T20:26:46.211646,0.0,0.0,-0.5392100360837244,0.3484293819041576,0.20924358462672396,0.0
2026-05-06T20:26:46.219979,0.0,0.0,-0.5772964497747567,0.35033711049805966,0.19873028463669026,0.0
