time,rocket.thrust
2026-08-21T00:30:43.226598,0.0
2026-08-21T00:30:43.244053,322.148
2026-08-21T00:30:43.252386,319.7871719532546
2026-08-21T00:30:43.260719,316.8361367177606
2026-08-21T00:30:43.269052,313.8851014822667
2026-08-21T00:30:43.277385,310.9340662467728
2026-08-21T00:30:43.285718,307.9830310112788
2026-08-21T00:30:43.294051,305.0319957757849
2026-08-21T00:30:43.302384,302.0809605402909
2026-08-21T00:30:43.310717,299.129925304797
2026-08-21T00:30:43.319050,296.17889006930307
2026-08-21T00:30:43.327383,293.2278548338091
2026-08-21T00:30:43.335716,290.27681959831517
2026-08-21T00:30:43.344049,287.32578436282125
2026-08-21T00:30:43.352382,284.3747491273273
2026-08-21T00:30:43.360715,281.42371389183336
2026-08-21T00:30:43.369048,278.47267865633944
2026-08-21T00:30:43.377381,275.52164342084546
2026-08-21T00:30:43.385714,272.57060818535155
2026-08-21T00:30:43.394047,269.61957294985757
2026-08-21T00:30:43.402380,266.66853771436365
2026-08-21T00:30:43.410713,263.71750247886973
2026-08-21T00:30:43.419046,260.7664672433758
2026-08-21T00:30:43.427379,257.81543200788184
2026-08-21T00:30:43.435712,254.8643967723879
2026-08-21T00:30:43.444045,251.91336153689394
2026-08-21T00:30:43.452378,248.96232630140003
2026-08-21T00:30:43.460711,246.01129106590608
2026-08-21T00:30:43.469044,243.06025583041213
2026-08-21T00:30:43.477377,240.1092205949182
2026-08-21T00:30:43.485710,237.15818535942427
2026-08-21T00:30:43.494043,234.20715012393032
2026-08-21T00:30:43.502376,231.2561148884364
2026-08-21T00:30:43.510709,228.30507965294242
2026-08-21T00:30:43.519042,225.3540444174485
2026-08-21T00:30:43.527375,222.40300918195456
2026-08-21T00:30:43.535708,219.4519739464606
2026-08-21T00:30:43.544041,216.5009387109667
2026-08-21T00:30:43.552374,213.54990347547275
2026-08-21T00:30:43.560707,210.5988682399788
2026-08-21T00:30:43.569040,207.64783300448488
2026-08-21T00:30:43.577373,204.69679776899093
2026-08-21T00:30:43.585706,201.745762533497
2026-08-21T00:30:43.594039,198.79472729800307
2026-08-21T00:30:43.602372,195.8436920625091
2026-08-21T00:30:43.610705,192.89265682701517
2026-08-21T00:30:43.619038,189.94162159152123
2026-08-21T00:30:43.627371,186.9905863560273
2026-08-21T00:30:43.635704,184.03955112053333
2026-08-21T00:30:43.644037,181.0885158850394
2026-08-21T00:30:43.652370,178.13748064954544
2026-08-21T00:30:43.660703,175.18644541405152
2026-08-21T00:30:43.669036,172.23541017855757
2026-08-21T00:30:43.677369,169.28437494306365
2026-08-21T00:30:43.685702,166.3333397075697
2026-08-21T00:30:43.694035,163.38230447207576
2026-08-21T00:30:43.702368,160.4312692365818
2026-08-21T00:30:43.710701,157.4802340010879
2026-08-21T00:30:43.719034,154.52919876559395
2026-08-21T00:30:43.727367,151.57816353010003
2026-08-21T00:30:43.735700,148.62712829460605
2026-08-21T00:30:43.744033,145.67609305911216
2026-08-21T00:30:43.752366,142.7250578236182
2026-08-21T00:30:43.760699,139.77402258812427
2026-08-21T00:30:43.769032,136.8229873526303
2026-08-21T00:30:43.777365,133.87195211713637
2026-08-21T00:30:43.785698,130.92091688164243
2026-08-21T00:30:43.794031,127.96988164614848
2026-08-21T00:30:43.802364,125.01884641065456
2026-08-21T00:30:43.810697,122.06781117516061
2026-08-21T00:30:43.819030,119.11677593966667
2026-08-21T00:30:43.827363,116.16574070417272
2026-08-21T00:30:43.835696,113.2147054686788
2026-08-21T00:30:43.844029,110.26367023318485
2026-08-21T00:30:43.852362,107.3126349976909
2026-08-21T00:30:43.860695,104.36159976219696
2026-08-21T00:30:43.869028,101.41056452670304
2026-08-21T00:30:43.877361,98.45952929120907
2026-08-21T00:30:43.885694,95.50849405571518
2026-08-21T00:30:43.894027,92.5574588202212
2026-08-21T00:30:43.902360,89.60642358472728
2026-08-21T00:30:43.910693,88.426
2026-08-21T00:30:43.919026,88.426
2026-08-21T00:30:43.927359,88.426
2026-08-21T00:30:43.935692,88.426
2026-08-21T00:30:43.944025,88.426
2026-08-21T00:30:43.952358,88.426
2026-08-21T00:30:43.960691,88.426
2026-08-21T00:30:43.969024,88.426
2026-08-21T00:30:43.977357,88.426
2026-08-21T00:30:43.985690,88.426
2026-08-21T00:30:43.994023,88.426
2026-08-21T00:30:44.002356,88.426
2026-08-21T00:30:44.010689,88.426
2026-08-21T00:30:44.019022,88.426
2026-08-21T00:30:44.027355,88.426
2026-08-21T00:30:44.035688,88.426
2026-08-21T00:30:44.044021,88.426
2026-08-21T00:30:44.052354,88.426
2026-08-21T00:30:44.060687,88.426
2026-08-21T00:30:44.069020,88.426
