time,rocket.fin_control_trim
2026-03-20T06:13:50.177785,0.0
2026-03-20T06:13:50.181222,0.0
2026-03-20T06:13:50.189555,0.0
2026-03-20T06:13:50.197888,0.0
2026-03-20T06:13:50.206221,0.0
2026-03-20T06:13:50.214554,0.0
2026-03-20T06:13:50.222887,0.0
2026-03-20T06:13:50.231220,0.0
2026-03-20T06:13:50.239553,0.0
2026-03-20T06:13:50.247886,0.0
2026-03-20T06:13:50.256219,0.0
2026-03-20T06:13:50.264552,0.0
2026-03-20T06:13:50.272885,0.0
2026-03-20T06:13:50.281218,0.0
2026-03-20T06:13:50.289551,0.0
2026-03-20T06:13:50.297884,0.0
2026-03-20T06:13:50.306217,0.0
2026-03-20T06:13:50.314550,0.0
2026-03-20T06:13:50.322883,0.0
2026-03-20T06:13:50.331216,0.0
2026-03-20T06:13:50.339549,0.0
2026-03-20T06:13:50.347882,0.0
2026-03-20T06:13:50.356215,0.0
2026-03-20T06:13:50.364548,0.0
2026-03-20T06:13:50.372881,0.0
2026-03-20T06:13:50.381214,0.0
2026-03-20T06:13:50.389547,0.0
2026-03-20T06:13:50.397880,0.0
2026-03-20T06:13:50.406213,0.0
2026-03-20T06:13:50.414546,0.0
2026-03-20T06:13:50.422879,0.0
2026-03-20T06:13:50.431212,0.0
2026-03-20T06:13:50.439545,0.0
2026-03-20T06:13:50.447878,0.0
2026-03-20T06:13:50.456211,0.0
2026-03-20T06:13:50.464544,0.0
2026-03-20T06:13:50.472877,0.0
2026-03-20T06:13:50.481210,0.0
2026-03-20T06:13:50.489543,0.0
2026-03-20T06:13:50.497876,0.0
2026-03-20T06:13:50.506209,0.0
2026-03-20T06:13:50.514542,0.0
2026-03-20T06:13:50.522875,0.0
2026-03-20T06:13:50.531208,0.0
2026-03-20T06:13:50.539541,0.0
2026-03-20T06:13:50.547874,0.0
2026-03-20T06:13:50.556207,0.0
2026-03-20T06:13:50.564540,0.0
2026-03-20T06:13:50.572873,0.0
2026-03-20T06:13:50.581206,0.0
2026-03-20T06:13:50.589539,0.0
2026-03-20T06:13:50.597872,0.0
2026-03-20T06:13:50.606205,0.0
2026-03-20T06:13:50.614538,0.0
2026-03-20T06:13:50.622871,0.0
2026-03-20T06:13:50.631204,0.0
2026-03-20T06:13:50.639537,0.0
2026-03-20T06:13:50.647870,0.0
2026-03-20T06:13:50.656203,0.0
2026-03-20T06:13:50.664536,0.0
2026-03-20T06:13:50.672869,0.0
2026-03-20T06:13:50.681202,0.0
2026-03-20T06:13:50.689535,0.0
2026-03-20T06:13:50.697868,0.0
2026-03-20T06:13:50.706201,0.0
2026-03-20T06:13:50.714534,0.0
2026-03-20T06:13:50.722867,0.0
2026-03-20T06:13:50.731200,0.0
2026-03-20T06:13:50.739533,0.0
2026-03-20T06:13:50.747866,0.0
2026-03-20T06:13:50.756199,0.0
2026-03-20T06:13:50.764532,0.0
2026-03-20T06:13:50.772865,0.0
2026-03-20T06:13:50.781198,0.0
2026-03-20T06:13:50.789531,0.0
2026-03-20T06:13:50.797864,0.0
2026-03-20T06:13:50.806197,0.0
2026-03-20T06:13:50.814530,0.0
2026-03-20T06:13:50.822863,0.0
2026-03-20T06:13:50.831196,0.0
2026-03-20T06:13:50.839529,0.0
2026-03-20T06:13:50.847862,0.0
2026-03-20T06:13:50.856195,0.0
2026-03-20T06:13:50.864528,0.0
2026-03-20T06:13:50.872861,0.0
2026-03-20T06:13:50.881194,0.0
2026-03-20T06:13:50.889527,0.0
2026-03-20T06:13:50.897860,0.0
2026-03-20T06:13:50.906193,0.0
2026-03-20T06:13:50.914526,0.0
2026-03-20T06:13:50.922859,0.0
2026-03-20T06:13:50.931192,0.0
2026-03-20T06:13:50.939525,0.0
2026-03-20T06:13:50.947858,0.0
2026-03-20T06:13:50.956191,0.0
2026-03-20T06:13:50.964524,0.0
2026-03-20T06:13:50.972857,0.0
2026-03-20T06:13:50.981190,0.0
2026-03-20T06:13:50.989523,0.0
2026-03-20T06:13:50.997856,0.0
2026-03-20T06:13:51.006189,0.0
