time,rocket.fin_deflect
2026-03-20T03:20:48.436829,0.0
2026-03-20T03:20:48.439932,0.0
2026-03-20T03:20:48.448265,-5.631707431836862e-18
2026-03-20T03:20:48.456598,-3.466252992687976e-6
2026-03-20T03:20:48.464931,-0.000022068914986634642
2026-03-20T03:20:48.473264,-0.00007379525497207611
2026-03-20T03:20:48.481597,-0.00017861868848309523
2026-03-20T03:20:48.489930,-0.00035730192463002877
2026-03-20T03:20:48.498263,-0.0006312981086983052
2026-03-20T03:20:48.506596,-0.001022610762425177
2026-03-20T03:20:48.514929,-0.0015536587440983197
2026-03-20T03:20:48.523262,-0.0022471562182309647
2026-03-20T03:20:48.531595,-0.0031260092940061184
2026-03-20T03:20:48.539928,-0.004213228642978316
2026-03-20T03:20:48.548261,-0.005531856730893113
2026-03-20T03:20:48.556594,-0.007104908165113119
2026-03-20T03:20:48.564927,-0.008955321712940431
2026-03-20T03:20:48.573260,-0.011105922661845222
2026-03-20T03:20:48.581593,-0.013579394322919193
2026-03-20T03:20:48.589926,-0.016398257605528453
2026-03-20T03:20:48.598259,-0.019584857707499456
2026-03-20T03:20:48.606592,-0.023161357069392582
2026-03-20T03:20:48.614925,-0.027149733833653537
2026-03-20T03:20:48.623258,-0.031571785130619
2026-03-20T03:20:48.631591,-0.036449134584675455
2026-03-20T03:20:48.639924,-0.04180324349653053
2026-03-20T03:20:48.648257,-0.047655425212673436
2026-03-20T03:20:48.656590,-0.05402686224167666
2026-03-20T03:20:48.664923,-0.06093862571990334
2026-03-20T03:20:48.673256,-0.06841169686719566
2026-03-20T03:20:48.681589,-0.07646699010688505
2026-03-20T03:20:48.689922,-0.08512537755454957
2026-03-20T03:20:48.698255,-0.09440771460683173
2026-03-20T03:20:48.706588,-0.1043348663857379
2026-03-20T03:20:48.714921,-0.11492773481552515
2026-03-20T03:20:48.723254,-0.12620728612885132
2026-03-20T03:20:48.731587,-0.1381945786165855
2026-03-20T03:20:48.739920,-0.15091079045177674
2026-03-20T03:20:48.748253,-0.16437724743295995
2026-03-20T03:20:48.756586,-0.17861545050540903
2026-03-20T03:20:48.764919,-0.1936471029312828
2026-03-20T03:20:48.773252,-0.20949413699097494
2026-03-20T03:20:48.781585,-0.2261787401084946
2026-03-20T03:20:48.789918,-0.24372338030346555
2026-03-20T03:20:48.798251,-0.262150830881431
2026-03-20T03:20:48.806584,-0.2814841942826616
2026-03-20T03:20:48.814917,-0.30174692501765826
2026-03-20T03:20:48.823250,-0.32296285162507726
2026-03-20T03:20:48.831583,-0.34515619759493665
2026-03-20T03:20:48.839916,-0.36835160120673843
2026-03-20T03:20:48.848249,-0.39257413423860205
2026-03-20T03:20:48.856582,-0.4178493195096889
2026-03-20T03:20:48.864915,-0.44420314722413845
2026-03-20T03:20:48.873248,-0.47166209009046445
2026-03-20T03:20:48.881581,-0.5002531171958999
2026-03-20T03:20:48.889914,-0.5300037066205571
2026-03-20T03:20:48.898247,-0.5609418567815039
2026-03-20T03:20:48.906580,-0.5930960965019709
2026-03-20T03:20:48.914913,-0.6264954938059075
2026-03-20T03:20:48.923246,-0.6611696634430201
2026-03-20T03:20:48.931579,-0.6971487731542606
2026-03-20T03:20:48.939912,-0.734463539497654
2026-03-20T03:20:48.948245,-0.7731452204086374
2026-03-20T03:20:48.956578,-0.8132256237876644
2026-03-20T03:20:48.964911,-0.8547371181140067
2026-03-20T03:20:48.973244,-0.8977126342919887
2026-03-20T03:20:48.981577,-0.9421856655935021
2026-03-20T03:20:48.989910,-0.9881902665137119
2026-03-20T03:20:48.998243,-1.0357610505847468
2026-03-20T03:20:49.006576,-1.0849331871968615
2026-03-20T03:20:49.014909,-1.1357423974812308
2026-03-20T03:20:49.023242,-1.1882249493132124
2026-03-20T03:20:49.031575,-1.2424176514995673
2026-03-20T03:20:49.039908,-1.298357847217784
2026-03-20T03:20:49.048241,-1.3560834067802934
2026-03-20T03:20:49.056574,-1.4156327198009988
2026-03-20T03:20:49.064907,-1.4770446868461744
2026-03-20T03:20:49.073240,-1.5403587106564094
2026-03-20T03:20:49.081573,-1.6056146870308878
2026-03-20T03:20:49.089906,-1.6728529954699016
2026-03-20T03:20:49.098239,-1.7421144896760934
2026-03-20T03:20:49.106572,-1.8134404880195145
2026-03-20T03:20:49.114905,-1.8868649893946179
2026-03-20T03:20:49.123238,-1.9624106288641874
2026-03-20T03:20:49.131571,-2.040091712687466
2026-03-20T03:20:49.139904,-2.119918216621639
2026-03-20T03:20:49.148237,-2.201897645641915
2026-03-20T03:20:49.156570,-2.2860352652874565
2026-03-20T03:20:49.164903,-2.3723343200880285
2026-03-20T03:20:49.173236,-2.4607962393250697
2026-03-20T03:20:49.181569,-2.551420830389177
2026-03-20T03:20:49.189902,-2.6442064600110724
2026-03-20T03:20:49.198235,-2.739150223656407
2026-03-20T03:20:49.206568,-2.8362481033863185
2026-03-20T03:20:49.214901,-2.93549511449556
2026-03-20T03:20:49.223234,-3.03688544124844
2026-03-20T03:20:49.231567,-3.140412562039743
2026-03-20T03:20:49.239900,-3.24606936431341
2026-03-20T03:20:49.248233,-3.3538482495760746
2026-03-20T03:20:49.256566,-3.463741228845703
2026-03-20T03:20:49.264899,-3.5757400088776046
