time,rocket.inertia_0,rocket.inertia_1,rocket.inertia_2,rocket.inertia_3,rocket.inertia_4,rocket.inertia_5,rocket.inertia_6
2026-05-06T20:26:45.387137,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.395012,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.403345,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.411678,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.420011,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.428344,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.436677,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.445010,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.453343,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.461676,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.470009,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.478342,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.486675,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.495008,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.503341,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.511674,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.520007,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.528340,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.536673,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.545006,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.553339,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.561672,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.570005,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.578338,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.586671,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.595004,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.603337,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.611670,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.620003,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.628336,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.636669,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.645002,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.653335,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.661668,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.670001,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.678334,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.686667,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.695,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.703333,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.711666,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.719999,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.728332,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.736665,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.744998,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.753331,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.761664,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.769997,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.778330,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.786663,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.794996,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.803329,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.811662,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.819995,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.828328,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.836661,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.844994,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.853327,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.861660,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.869993,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.878326,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.886659,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.894992,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.903325,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.911658,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.919991,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.928324,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.936657,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.944990,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.953323,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.961656,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.969989,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.978322,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.986655,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:45.994988,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.003321,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.011654,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.019987,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.028320,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.036653,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.044986,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.053319,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.061652,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.069985,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.078318,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.086651,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.094984,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.103317,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.111650,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.119983,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.128316,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.136649,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.144982,0.1,1.0,1.0,0.0,0.0,0.0,3.0
2026-05-06T20:26:46.153315,0.1,1.0,1.0,0.0,0.0,0.0,3.0
