time,rocket.world_vel_ωx,rocket.world_vel_ωy,rocket.world_vel_ωz,rocket.world_vel_x,rocket.world_vel_y,rocket.world_vel_z
2026-08-21T00:30:43.226598,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0,-0.3060586131238413,0.0,0.7591391318573522
2026-08-21T00:30:43.252386,0.0,-9.585572221733606e-7,0.0,-0.6098729172853944,0.0,1.5121155213127002
2026-08-21T00:30:43.260719,0.0,-4.7773525947669875e-6,0.0,-0.9108794355503966,0.0,2.257387843771404
2026-08-21T00:30:43.269052,0.0,-0.000013328878895393054,0.0,-1.2090754907946133,0.0,2.9949553943994145
2026-08-21T00:30:43.277385,0.0,-0.0000284559947409898,0.0,-1.5044584880893535,0.0,3.7248174905880007
2026-08-21T00:30:43.285718,0.0,-0.00005197137817188085,0.0,-1.7970259261822115,0.0,4.446973467216276
2026-08-21T00:30:43.294051,0.0,-0.00008565687311313131,0.0,-2.086775408258649,0.0,5.161422672158183
2026-08-21T00:30:43.302384,0.0,-0.00013126272220858717,0.0,-2.3737046519996934,0.0,5.868164462029038
2026-08-21T00:30:43.310717,0.0,-0.0001905066824569737,0.0,-2.6578114989483472,0.0,6.567198198168095
2026-08-21T00:30:43.319050,0.0,-0.0002650730222438336,0.0,-2.9390939231951227,0.0,7.2585232428545385
2026-08-21T00:30:43.327383,0.0,-0.00035661140015554363,0.0,-3.217550039391253,0.0,7.942138955755164
2026-08-21T00:30:43.335716,0.0,-0.0004667356274400555,0.0,-3.493178110096495,0.0,8.618044690602607
2026-08-21T00:30:43.344049,0.0,-0.0005970223171972062,0.0,-3.765976552467069,0.0,9.286239792103547
2026-08-21T00:30:43.352382,0.0,-0.0007490094243864361,0.0,-4.035943944288119,0.0,9.94672359307664
2026-08-21T00:30:43.360715,0.0,-0.0009241946815692086,0.0,-4.3030790293541115,0.0,10.599495411820287
2026-08-21T00:30:43.369048,0.0,-0.0011240339359910936,0.0,-4.56738072219981,0.0,11.24455454971048
2026-08-21T00:30:43.377381,0.0,-0.0013499393941791811,0.0,-4.828848112183859,0.0,11.881900289029126
2026-08-21T00:30:43.385714,0.0,-0.0016032777807081298,0.0,-5.087480466926532,0.0,12.511531891023253
2026-08-21T00:30:43.394047,0.0,-0.0018853684181891765,0.0,-5.3432772351029065,0.0,13.133448594195531
2026-08-21T00:30:43.402380,0.0,-0.002197481235878124,0.0,-5.596238048592526,0.0,13.747649612826432
2026-08-21T00:30:43.410713,0.0,-0.0025408347145893543,0.0,-5.8463627239865605,0.0,14.354134135728248
2026-08-21T00:30:43.419046,0.0,-0.00291659377585729,0.0,-6.093651263453533,0.0,14.952901325231048
2026-08-21T00:30:43.427379,0.0,-0.0033258676235093103,0.0,-6.338103854964835,0.0,15.54395031640042
2026-08-21T00:30:43.435712,0.0,-0.003769707546012434,0.0,-6.579720871881542,0.0,16.127280216486657
2026-08-21T00:30:43.444045,0.0,-0.004249104688134759,0.0,-6.818502871904382,0.0,16.70289010460479
2026-08-21T00:30:43.452378,0.0,-0.004764987800626736,0.0,-7.0544505953891825,0.0,17.27077903164456
2026-08-21T00:30:43.460711,0.0,-0.005318220976775513,0.0,-7.287564963030651,0.0,17.830946020409186
2026-08-21T00:30:43.469044,0.0,-0.0059096013848255,0.0,-7.517847072917989,0.0,18.3833900659814
2026-08-21T00:30:43.477377,0.0,-0.006539857005385036,0.0,-7.745298196966505,0.0,18.928110136314984
2026-08-21T00:30:43.485710,0.0,-0.007209644383058532,0.0,-7.969919776730223,0.0,19.465105173049647
2026-08-21T00:30:43.494043,0.0,-0.00791954640164886,0.0,-8.191713418601264,0.0,19.994374092546693
2026-08-21T00:30:43.502376,0.0,-0.008670070092373888,0.0,-8.410680888402752,0.0,20.51591578714271
2026-08-21T00:30:43.510709,0.0,-0.009461644484624708,0.0,-8.626824105382937,0.0,21.029729126618008
2026-08-21T00:30:43.519042,0.0,-0.01029461850886549,0.0,-8.840145135619274,0.0,21.535812959876253
2026-08-21T00:30:43.527375,0.0,-0.011169258961331974,0.0,-9.050646184842279,0.0,22.034166116831337
2026-08-21T00:30:43.535708,0.0,-0.01208574854022616,0.0,-9.258329590690163,0.0,22.52478741049718
2026-08-21T00:30:43.544041,0.0,-0.013044183963127858,0.0,-9.46319781440639,0.0,23.00767563927576
2026-08-21T00:30:43.552374,0.0,-0.014044574175343959,0.0,-9.665253431993573,0.0,23.48282958943834
2026-08-21T00:30:43.560707,0.0,-0.01508683865889723,0.0,-9.864499124838412,0.0,23.950248037794424
2026-08-21T00:30:43.569040,0.0,-0.016170805851811056,0.0,-10.060937669823666,0.0,24.4099297545427
2026-08-21T00:30:43.577373,0.0,-0.017296211687272512,0.0,-10.254571928944522,0.0,24.861873506297744
2026-08-21T00:30:43.585706,0.0,-0.018462698262158135,0.0,-10.445404838448097,0.0,25.30607805928606
2026-08-21T00:30:43.594039,0.0,-0.019669812644272044,0.0,-10.633439397516211,0.0,25.742542182704494
2026-08-21T00:30:43.602372,0.0,-0.02091700582748341,0.0,-10.818678656512992,0.0,26.171264652233845
2026-08-21T00:30:43.610705,0.0,-0.022203631843749613,0.0,-11.001125704820295,0.0,26.592244253700112
2026-08-21T00:30:43.619038,0.0,-0.02352894704077635,0.0,-11.18078365828538,0.0,27.00547978687544
2026-08-21T00:30:43.627371,0.0,-0.02489210953379271,0.0,-11.357655646306725,0.0,27.41097006941055
2026-08-21T00:30:43.635704,0.0,-0.026292178839604732,0.0,-11.531744798585274,0.0,27.80871394089005
2026-08-21T00:30:43.644037,0.0,-0.027728115700741483,0.0,-11.703054231569883,0.0,28.19871026700182
2026-08-21T00:30:43.652370,0.0,-0.029198782107109838,0.0,-11.871587034627114,0.0,28.580957943811153
2026-08-21T00:30:43.660703,0.0,-0.03070294152214128,0.0,-12.037346255966906,0.0,28.955455902130247
2026-08-21T00:30:43.669036,0.0,-0.032239259319934606,0.0,-12.200334888357055,0.0,29.322203111973206
2026-08-21T00:30:43.677369,0.0,-0.03380630343937874,0.0,-12.3605558546607,0.0,29.681198587086456
2026-08-21T00:30:43.685702,0.0,-0.03540254526067841,0.0,-12.51801199323231,0.0,30.032441389544218
2026-08-21T00:30:43.694035,0.0,-0.03702636070909989,0.0,-12.672706043208931,0.0,30.375930634398358
2026-08-21T00:30:43.702368,0.0,-0.038676031590112736,0.0,-12.824640629734523,0.0,30.71166549437175
2026-08-21T00:30:43.710701,0.0,-0.04034974715941584,0.0,-12.97381824915641,0.0,31.039645204583937
2026-08-21T00:30:43.719034,0.0,-0.0420456059306184,0.0,-13.120241254233841,0.0,31.359869067297712
2026-08-21T00:30:43.727367,0.0,-0.04376161772258264,0.0,-13.26391183939958,0.0,31.672336456674937
2026-08-21T00:30:43.735700,0.0,-0.04549613518783302,0.0,-13.404831483892583,0.0,31.97704702561826
2026-08-21T00:30:43.744033,0.0,-0.047247033296069406,0.0,-13.543001967436885,0.0,32.2740003247468
2026-08-21T00:30:43.752366,0.0,-0.04901205989333796,0.0,-13.678424926037899,0.0,32.56319596890804
2026-08-21T00:30:43.760699,0.0,-0.05078888210092326,0.0,-13.811101783435864,0.0,32.844633662222066
2026-08-21T00:30:43.769032,0.0,-0.052575089590365796,0.0,-13.941033737106176,0.0,33.11831320276099
2026-08-21T00:30:43.777365,0.0,-0.05436819810539186,0.0,-14.068221744557643,0.0,33.38423448716919
2026-08-21T00:30:43.785698,0.0,-0.05616565322702943,0.0,-14.192666509974204,0.0,33.64239751521115
2026-08-21T00:30:43.794031,0.0,-0.05796483437681436,0.0,-14.314368471245936,0.0,33.89280239423341
2026-08-21T00:30:43.802364,0.0,-0.0597630590519816,0.0,-14.433327787435166,0.0,34.13544934352687
2026-08-21T00:30:43.810697,0.0,-0.06155758728550488,0.0,-14.549544326723314,0.0,34.3703386985759
2026-08-21T00:30:43.819030,0.0,-0.06334562632283657,0.0,-14.663017654883744,0.0,34.59747091517999
2026-08-21T00:30:43.827363,0.0,-0.06512433550618398,0.0,-14.773747024325386,0.0,34.816846573434304
2026-08-21T00:30:43.835696,0.0,-0.06689083135615914,0.0,-14.881731363751253,0.0,35.02846638155483
2026-08-21T00:30:43.844029,0.0,-0.06864219283966216,0.0,-14.986969268475095,0.0,35.2323311795341
2026-08-21T00:30:43.852362,0.0,-0.07037546681190106,0.0,-15.08945899143847,0.0,35.42844194261338
2026-08-21T00:30:43.860695,0.0,-0.07208767361952788,0.0,-15.189198434969299,0.0,35.61679978455719
2026-08-21T00:30:43.869028,0.0,-0.07377581285098675,0.0,-15.286185143321646,0.0,35.79740596071601
2026-08-21T00:30:43.877361,0.0,-0.07543686921931643,0.0,-15.380416296034925,0.0,35.97026187086335
2026-08-21T00:30:43.885694,0.0,-0.07706781856186397,0.0,-15.471888702149071,0.0,36.13536906179302
2026-08-21T00:30:43.894027,0.0,-0.07866563394061278,0.0,-15.560598795310328,0.0,36.2927292296632
2026-08-21T00:30:43.902360,0.0,-0.08022729182615677,0.0,-15.646542629800319,0.0,36.44234422207341
2026-08-21T00:30:43.910693,0.0,-0.08174977834771982,0.0,-15.731477425049338,0.0,36.58880812746787
2026-08-21T00:30:43.919026,0.0,-0.08323016160422855,0.0,-15.816580794935069,0.0,36.7351809078456
2026-08-21T00:30:43.927359,0.0,-0.0846655350451987,0.0,-15.901857674852508,0.0,36.88146003745242
2026-08-21T00:30:43.935692,0.0,-0.08605296470226674,0.0,-15.987312918223893,0.0,37.02764299797225
2026-08-21T00:30:43.944025,0.0,-0.08738949378466704,0.0,-16.072951286843992,0.0,37.173727282587365
2026-08-21T00:30:43.952358,0.0,-0.08867214624442009,0.0,-16.158777441787954,0.0,37.319710399686066
2026-08-21T00:30:43.960691,0.0,-0.08989793028405603,0.0,-16.244795934304264,0.0,37.46558987663063
2026-08-21T00:30:43.969024,0.0,-0.09106384180359636,0.0,-16.331011196703265,0.0,37.61136326358473
2026-08-21T00:30:43.977357,0.0,-0.09216686778370345,0.0,-16.417427533251452,0.0,37.75702813739952
