time,rocket.pitch_pid_state_e,rocket.pitch_pid_state_i,rocket.pitch_pid_state_d
2026-08-21T00:30:43.226598,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0
2026-08-21T00:30:43.252386,-1.408535364569112e-17,-2.34755894094852e-19,-1.408535364569112e-17
2026-08-21T00:30:43.260719,-8.871378060749609e-6,-1.4785630101272824e-7,-8.871378060735523e-6
2026-08-21T00:30:43.269052,-0.00005552110145991709,-1.0732079920113464e-6,-0.000046649723399167486
2026-08-21T00:30:43.277385,-0.00018108931435930736,-4.091363231333136e-6,-0.00012556821289939026
2026-08-21T00:30:43.285718,-0.00042562610672339685,-0.000011185131676723082,-0.0002445367923640895
2026-08-21T00:30:43.294051,-0.0008252754768120066,-0.000024939722956923195,-0.0003996493700886098
2026-08-21T00:30:43.302384,-0.0014128855584668808,-0.000048487815598037876,-0.0005876100816548742
2026-08-21T00:30:43.310717,-0.0022183384458619535,-0.00008546012302907044,-0.0008054528873950727
2026-08-21T00:30:43.319050,-0.0032687861355740013,-0.00013993989195530378,-0.0010504476897120478
2026-08-21T00:30:43.327383,-0.004588846082351631,-0.00021642065999449763,-0.00132005994677763
2026-08-21T00:30:43.335716,-0.006200776026165998,-0.0003197669270972643,-0.0016119299438143667
2026-08-21T00:30:43.344049,-0.00812463646944649,-0.00045517753492137247,-0.0019238604432804916
2026-08-21T00:30:43.352382,-0.010378444726406384,-0.0006281516136948122,-0.002253808256959894
2026-08-21T00:30:43.360715,-0.012978322485274568,-0.0008444569884493883,-0.002599877758868184
2026-08-21T00:30:43.369048,-0.015938637866037268,-0.0011101009528833427,-0.0029603153807627007
2026-08-21T00:30:43.377381,-0.019272142463890016,-0.0014313033272815097,-0.0033335045978527475
2026-08-21T00:30:43.385714,-0.022990103605053727,-0.0018144717206990718,-0.0037179611411637115
2026-08-21T00:30:43.394047,-0.027102431897511464,-0.0022661789189909296,-0.004112328292457737
2026-08-21T00:30:43.402380,-0.03161780408057084,-0.002793142320333777,-0.004515372183059377
2026-08-21T00:30:43.410713,-0.03654378113577983,-0.003402205339263441,-0.004925977055208988
2026-08-21T00:30:43.419046,-0.041886921602224535,-0.004100320699300516,-0.0053431404664447055
2026-08-21T00:30:43.427379,-0.04765289003286152,-0.004894535533181542,-0.005765968430636988
2026-08-21T00:30:43.435712,-0.053846560530135555,-0.005791978208683801,-0.006193670497274033
2026-08-21T00:30:43.444045,-0.06047211530559015,-0.006799846797110303,-0.006625554775454595
2026-08-21T00:30:43.452378,-0.06753313821755935,-0.007925399100736292,-0.007061022911969202
2026-08-21T00:30:43.460711,-0.07503270325211062,-0.009175944154938135,-0.007499565034551264
2026-08-21T00:30:43.469044,-0.08297345792440405,-0.01055883512034487,-0.007940754672293437
2026-08-21T00:30:43.477377,-0.09135770159002986,-0.012081463480178701,-0.008384243665625804
2026-08-21T00:30:43.485710,-0.10018745866834718,-0.013751254457984488,-0.008829757078317318
2026-08-21T00:30:43.494043,-0.10946454679215434,-0.01557566357118706,-0.009277088123807162
2026-08-21T00:30:43.502376,-0.11919063991002717,-0.01756217423635418,-0.009726093117872828
2026-08-21T00:30:43.510709,-0.12936732637927836,-0.019718296342675485,-0.010176686469251198
2026-08-21T00:30:43.519042,-0.13999616209865764,-0.022051565710986445,-0.010628835719379282
2026-08-21T00:30:43.527375,-0.15107871874059897,-0.024569544356663094,-0.011082556641941327
2026-08-21T00:30:43.535708,-0.16261662715300892,-0.027279821475879908,-0.011537908412409953
2026-08-21T00:30:43.544041,-0.1746116160102763,-0.03019001507605118,-0.01199498885726738
2026-08-21T00:30:43.552374,-0.1870655458023689,-0.03330777417275733,-0.012453929792092588
2026-08-21T00:30:43.560707,-0.1999804382595793,-0.03664078147708365,-0.01291489245721042
2026-08-21T00:30:43.569040,-0.21335850131869794,-0.040196756499061945,-0.013378063059118622
2026-08-21T00:30:43.577373,-0.22720214974414257,-0.04398345899479766,-0.013843648425444638
2026-08-21T00:30:43.585706,-0.24151402152487808,-0.04800869268687896,-0.014311871780735508
2026-08-21T00:30:43.594039,-0.25629699017482854,-0.05228030918979277,-0.014782968649950462
2026-08-21T00:30:43.602372,-0.27155417307093876,-0.056806212074308415,-0.015257182896110222
2026-08-21T00:30:43.610705,-0.2872889359690951,-0.06159436100712667,-0.01573476289815634
2026-08-21T00:30:43.619038,-0.30350489384378293,-0.06665277590452305,-0.016215957874687825
2026-08-21T00:30:43.627371,-0.3202059082026568,-0.07198954104123399,-0.01670101435887389
2026-08-21T00:30:43.635704,-0.3373960810321392,-0.07761280905843632,-0.017190172829482375
2026-08-21T00:30:43.644037,-0.3550797455347602,-0.08353080481734898,-0.017683664502620988
2026-08-21T00:30:43.652370,-0.3732614538232136,-0.08975182904773588,-0.01818170828845339
2026-08-21T00:30:43.660703,-0.3919459617400452,-0.0962842617434033,-0.018684507916831627
2026-08-21T00:30:43.669036,-0.4111382109755148,-0.10313656525966187,-0.019192249235469583
2026-08-21T00:30:43.677369,-0.43084330865949205,-0.11031728707065341,-0.01970509768397727
2026-08-21T00:30:43.685702,-0.4510665046062656,-0.11783506214742451,-0.02022319594677352
2026-08-21T00:30:43.694035,-0.47181316639386617,-0.12569861492065562,-0.020746661787600595
2026-08-21T00:30:43.702368,-0.4930887524619374,-0.13391676079502124,-0.02127558606807123
2026-08-21T00:30:43.710701,-0.5148987834143255,-0.14249840718526,-0.021810030952388093
2026-08-21T00:30:43.719034,-0.5372488117144143,-0.1514525540471669,-0.02235002830008881
2026-08-21T00:30:43.727367,-0.5601443899627956,-0.16078829387988017,-0.022895578248381288
2026-08-21T00:30:43.735700,-0.5835910379481373,-0.1705148111790158,-0.023446647985341684
2026-08-21T00:30:43.744033,-0.607594163259537,-0.18064138056667473,-0.024003125311399698
2026-08-21T00:30:43.752366,-0.6321589803841768,-0.19117736357307769,-0.02456481712463987
2026-08-21T00:30:43.760699,-0.6572905243292829,-0.2021322056452324,-0.025131543945106083
2026-08-21T00:30:43.769032,-0.6829936695542719,-0.21351543347113694,-0.025703145224988955
2026-08-21T00:30:43.777365,-0.7092730989503209,-0.22533665178697562,-0.026279429396048992
2026-08-21T00:30:43.785698,-0.7361332676775727,-0.23760553958160183,-0.026860168727251832
2026-08-21T00:30:43.794031,-0.7635783670088505,-0.250331845698416,-0.02744509933127781
2026-08-21T00:30:43.802364,-0.7916122883748642,-0.26352538383799706,-0.02803392136601368
2026-08-21T00:30:43.810697,-0.8202385878046123,-0.27719602696807394,-0.028626299429748148
2026-08-21T00:30:43.819030,-0.8494604509530911,-0.2913537011506255,-0.029221863148478744
2026-08-21T00:30:43.827363,-0.8792806589064768,-0.3060083787990668,-0.02982020795338569
2026-08-21T00:30:43.835696,-0.9097015549526493,-0.3211700713816109,-0.030420896046172485
2026-08-21T00:30:43.844029,-0.9407250125022593,-0.3368488215899819,-0.03102345754961
2026-08-21T00:30:43.852362,-0.9723524043425099,-0.3530546949956904,-0.03162739184025065
2026-08-21T00:30:43.860695,-1.0045845734024152,-0.369797771219064,-0.032232169059905336
2026-08-21T00:30:43.869028,-1.0374218052045099,-0.38708813463913916,-0.032837231802094635
2026-08-21T00:30:43.877361,-1.070863802173811,-0.40493586467536935,-0.03344199696930117
2026-08-21T00:30:43.885694,-1.1049096599702832,-0.4233510256748741,-0.03404585779647218
2026-08-21T00:30:43.894027,-1.1395578460061113,-0.44234365644164264,-0.03464818603582809
2026-08-21T00:30:43.902360,-1.1748061803037662,-0.4619237594467054,-0.03524833429765484
2026-08-21T00:30:43.910693,-1.210651818845141,-0.4821012897607911,-0.03584563854137479
2026-08-21T00:30:43.919026,-1.2470759291990643,-0.5028858885807755,-0.036424110353923345
2026-08-21T00:30:43.927359,-1.2840195160002035,-0.5242862138474456,-0.03694358680113918
2026-08-21T00:30:43.935692,-1.321392003876444,-0.546309413912053,-0.03737248787624048
2026-08-21T00:30:43.944025,-1.3590995777174997,-0.568961073540678,-0.03770757384105572
2026-08-21T00:30:43.952358,-1.3970559107775173,-0.5922453387203034,-0.037956333060017666
2026-08-21T00:30:43.960691,-1.4351818229389637,-0.6161650357692862,-0.03812591216144634
2026-08-21T00:30:43.969024,-1.4734049415546793,-0.6407217847951975,-0.03822311861571559
2026-08-21T00:30:43.977357,-1.511659365633847,-0.6659161075557616,-0.03825442407916779
2026-08-21T00:30:43.985690,-1.5498853340211975,-0.6917475297894482,-0.038225968387350484
2026-08-21T00:30:43.994023,-1.588028898164722,-0.7182146780921935,-0.03814356414352438
2026-08-21T00:30:44.002356,-1.626041600015331,-0.7453153714257824,-0.03801270185060912
