time,rocket.force_τx,rocket.force_τy,rocket.force_τz,rocket.force_x,rocket.force_y,rocket.force_z
2026-08-21T00:30:43.226598,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0,-110.18110513182707,0.0,273.2900984002507
2026-08-21T00:30:43.252386,0.0,-0.00011502687126187811,0.0,-109.37315387308527,0.0,271.07151104678576
2026-08-21T00:30:43.260719,0.0,-0.0004582554630414537,0.0,-108.36235209901717,0.0,268.2980463842572
2026-08-21T00:30:43.269052,0.0,-0.001026183197122456,0.0,-107.35059005319451,0.0,265.5243267101753
2026-08-21T00:30:43.277385,0.0,-0.0018152539740817683,0.0,-106.33789950644066,0.0,262.75035923221895
2026-08-21T00:30:43.285718,0.0,-0.002821846124580772,0.0,-105.32431624031595,0.0,259.97614949727824
2026-08-21T00:30:43.294051,0.0,-0.004042259554640437,0.0,-104.3098797892633,0.0,257.2017014791311
2026-08-21T00:30:43.302384,0.0,-0.005472702110362788,0.0,-103.2946331881643,0.0,254.42701766438523
2026-08-21T00:30:43.310717,0.0,-0.007109275514177407,0.0,-102.27862272434123,0.0,251.65209913716126
2026-08-21T00:30:43.319050,0.0,-0.008947961132341635,0.0,-101.26189769322711,0.0,248.87694566287013
2026-08-21T00:30:43.327383,0.0,-0.010984605788789435,0.0,-100.24451015703703,0.0,246.10155577137326
2026-08-21T00:30:43.335716,0.0,-0.013214907802737737,0.0,-99.22651470586528,0.0,243.32592683975383
2026-08-21T00:30:43.344049,0.0,-0.015634403396234217,0.0,-98.20796822072457,0.0,240.5500551748796
2026-08-21T00:30:43.352382,0.0,-0.018238453592245723,0.0,-97.18892963812091,0.0,237.77393609589265
2026-08-21T00:30:43.360715,0.0,-0.021022231702821956,0.0,-96.16945971583364,0.0,234.9975640167244
2026-08-21T00:30:43.369048,0.0,-0.023980711489854676,0.0,-95.14962079963087,0.0,232.22093252870005
2026-08-21T00:30:43.377381,0.0,-0.027108656066916745,0.0,-94.12947659071567,0.0,229.44403448326935
2026-08-21T00:30:43.385714,0.0,-0.030400607599498128,0.0,-93.109091913753,0.0,226.6668620748738
2026-08-21T00:30:43.394047,0.0,-0.03385087785176072,0.0,-92.08853248537602,0.0,223.8894069239405
2026-08-21T00:30:43.402380,0.0,-0.037453539620815296,0.0,-91.06786468312295,0.0,221.11166015997216
2026-08-21T00:30:43.410713,0.0,-0.041202419093444353,0.0,-90.04715531479573,0.0,218.33361250468647
2026-08-21T00:30:43.419046,0.0,-0.04509108915579586,0.0,-89.02647138827504,0.0,215.55525435514485
2026-08-21T00:30:43.427379,0.0,-0.04911286368275697,0.0,-88.0058798818646,0.0,212.7765758667957
2026-08-21T00:30:43.435712,0.0,-0.05326079283080652,0.0,-86.98544751527525,0.0,209.99756703634918
2026-08-21T00:30:43.444045,0.0,-0.05752765935578548,0.0,-85.96524052139127,0.0,207.21821778438837
2026-08-21T00:30:43.452378,0.0,-0.06190597597527621,0.0,-84.94532441899464,0.0,204.43851803761623
2026-08-21T00:30:43.460711,0.0,-0.06638798379337263,0.0,-83.9257637866554,0.0,201.65845781062876
2026-08-21T00:30:43.469044,0.0,-0.07096565180462448,0.0,-82.90662203802212,0.0,198.87802728710068
2026-08-21T00:30:43.477377,0.0,-0.07563067749237139,0.0,-81.88796119877567,0.0,196.0972169002643
2026-08-21T00:30:43.485710,0.0,-0.08037448853579912,0.0,-80.86984168553485,0.0,193.31601741255756
