time,rocket.world_pos_q0,rocket.world_pos_q1,rocket.world_pos_q2,rocket.world_pos_q3,rocket.world_pos_x,rocket.world_pos_y,rocket.world_pos_z
2026-08-21T00:30:43.226598,0.0,0.573576436351046,0.0,0.8191520442889918,0.0,0.0,1.0
2026-08-21T00:30:43.244053,0.0,0.5735764363510462,0.0,0.8191520442889919,-0.0012752441703395702,0.0,1.0031630795895492
2026-08-21T00:30:43.252386,0.0,0.5735764347152044,0.0,0.8191520454344207,-0.0050916253943894645,0.0,1.012626640265882
2026-08-21T00:30:43.260719,0.0,0.5735764249264916,0.0,0.8191520522885508,-0.011428093273158873,0.0,1.028332903660485
2026-08-21T00:30:43.269052,0.0,0.5735763940269994,0.0,0.8191520739246068,-0.020261238423619155,0.0,1.050217666285717
2026-08-21T00:30:43.277385,0.0,0.5735763227183212,0.0,0.8191521238554708,-0.031567629487443225,0.0,1.0782167188759868
2026-08-21T00:30:43.285718,0.0,0.5735761854636242,0.0,0.8191522199621988,-0.04532381386427675,0.0,1.1122658465530515
2026-08-21T00:30:43.294051,0.0,0.5735759505917608,0.0,0.8191523844210904,-0.061506318537681695,0.0,1.1523008289528576
2026-08-21T00:30:43.302384,0.0,0.5735755804037926,0.0,0.8191526436290446,-0.08009165098782317,0.0,1.1982574403159372
2026-08-21T00:30:43.310717,0.0,0.5735750312823139,0.0,0.8191530281269139,-0.10105630018508668,0.0,1.2500714495433454
2026-08-21T00:30:43.319050,0.0,0.5735742538039729,0.0,0.8191535725205721,-0.12437673765890886,0.0,1.3076786202200914
2026-08-21T00:30:43.327383,0.0,0.573573192855585,0.0,0.8191543153993941,-0.1500294186361835,0.0,1.3710147106080028
2026-08-21T00:30:43.335716,0.0,0.5735717877542333,0.0,0.8191552992518653,-0.17799078324366938,0.0,1.4400154736099497
2026-08-21T00:30:43.344049,0.0,0.573569972371736,0.0,0.8191565703780236,-0.20823725776887797,0.0,1.5146166567073442
2026-08-21T00:30:43.352382,0.0,0.573567675263854,0.0,0.8191581787984652,-0.24074525597396085,0.0,1.5947540018728357
2026-08-21T00:30:43.360715,0.0,0.5735648198045914,0.0,0.819160178159636,-0.2754911804571485,0.0,1.680363245460112
