time,rocket.pitch_pid_kp,rocket.pitch_pid_ki,rocket.pitch_pid_kd
2026-05-06T20:26:45.387137,1.1,0.8,3.8
2026-05-06T20:26:45.395012,1.1,0.8,3.8
2026-05-06T20:26:45.403345,1.1,0.8,3.8
2026-05-06T20:26:45.411678,1.1,0.8,3.8
2026-05-06T20:26:45.420011,1.1,0.8,3.8
2026-05-06T20:26:45.428344,1.1,0.8,3.8
2026-05-06T20:26:45.436677,1.1,0.8,3.8
2026-05-06T20:26:45.445010,1.1,0.8,3.8
2026-05-06T20:26:45.453343,1.1,0.8,3.8
2026-05-06T20:26:45.461676,1.1,0.8,3.8
2026-05-06T20:26:45.470009,1.1,0.8,3.8
2026-05-06T20:26:45.478342,1.1,0.8,3.8
2026-05-06T20:26:45.486675,1.1,0.8,3.8
2026-05-06T20:26:45.495008,1.1,0.8,3.8
2026-05-06T20:26:45.503341,1.1,0.8,3.8
2026-05-06T20:26:45.511674,1.1,0.8,3.8
2026-05-06T20:26:45.520007,1.1,0.8,3.8
2026-05-06T20:26:45.528340,1.1,0.8,3.8
2026-05-06T20:26:45.536673,1.1,0.8,3.8
2026-05-06T20:26:45.545006,1.1,0.8,3.8
2026-05-06T20:26:45.553339,1.1,0.8,3.8
2026-05-06T20:26:45.561672,1.1,0.8,3.8
2026-05-06T20:26:45.570005,1.1,0.8,3.8
2026-05-06T20:26:45.578338,1.1,0.8,3.8
2026-05-06T20:26:45.586671,1.1,0.8,3.8
2026-05-06T20:26:45.595004,1.1,0.8,3.8
2026-05-06T20:26:45.603337,1.1,0.8,3.8
2026-05-06T20:26:45.611670,1.1,0.8,3.8
2026-05-06T20:26:45.620003,1.1,0.8,3.8
2026-05-06T20:26:45.628336,1.1,0.8,3.8
2026-05-06T20:26:45.636669,1.1,0.8,3.8
2026-05-06T20:26:45.645002,1.1,0.8,3.8
2026-05-06T20:26:45.653335,1.1,0.8,3.8
2026-05-06T20:26:45.661668,1.1,0.8,3.8
2026-05-06T20:26:45.670001,1.1,0.8,3.8
2026-05-06T20:26:45.678334,1.1,0.8,3.8
2026-05-06T20:26:45.686667,1.1,0.8,3.8
2026-05-06T20:26:45.695,1.1,0.8,3.8
2026-05-06T20:26:45.703333,1.1,0.8,3.8
2026-05-06T20:26:45.711666,1.1,0.8,3.8
2026-05-06T20:26:45.719999,1.1,0.8,3.8
2026-05-06T20:26:45.728332,1.1,0.8,3.8
2026-05-06T20:26:45.736665,1.1,0.8,3.8
2026-05-06T20:26:45.744998,1.1,0.8,3.8
2026-05-06T20:26:45.753331,1.1,0.8,3.8
2026-05-06T20:26:45.761664,1.1,0.8,3.8
2026-05-06T20:26:45.769997,1.1,0.8,3.8
2026-05-06T20:26:45.778330,1.1,0.8,3.8
2026-05-06T20:26:45.786663,1.1,0.8,3.8
2026-05-06T20:26:45.794996,1.1,0.8,3.8
2026-05-06T20:26:45.803329,1.1,0.8,3.8
2026-05-06T20:26:45.811662,1.1,0.8,3.8
2026-05-06T20:26:45.819995,1.1,0.8,3.8
2026-05-06T20:26:45.828328,1.1,0.8,3.8
2026-05-06T20:26:45.836661,1.1,0.8,3.8
2026-05-06T20:26:45.844994,1.1,0.8,3.8
2026-05-06T20:26:45.853327,1.1,0.8,3.8
