time,rocket.aero_force_τx,rocket.aero_force_τy,rocket.aero_force_τz,rocket.aero_force_x,rocket.aero_force_y,rocket.aero_force_z
2026-08-21T00:30:43.226598,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,-0.0,0.0,7.323020460000001e-10,0.0,0.0
2026-08-21T00:30:43.252386,0.0,-0.0001150268712618781,0.0,0.0002977239218523206,0.0,0.0004242711817529865
2026-08-21T00:30:43.260719,0.0,-0.00045825546304145373,0.0,0.0011813334772515888,0.0,0.0016902542694103803
2026-08-21T00:30:43.269052,0.0,-0.001026183197122456,0.0,0.0026330080059023516,0.0,0.0037850373155505494
2026-08-21T00:30:43.277385,0.0,-0.0018152539740817683,0.0,0.004635108965783246,0.0,0.006695531922721401
2026-08-21T00:30:43.285718,0.0,-0.0028218461245807717,0.0,0.007170187747228807,0.0,0.01040844615244188
2026-08-21T00:30:43.294051,0.0,-0.004042259554640437,0.0,0.01022099215306303,0.0,0.014910254163405126
2026-08-21T00:30:43.302384,0.0,-0.005472702110362788,0.0,0.013770472791206556,0.0,0.020187162792965986
2026-08-21T00:30:43.310717,0.0,-0.0071092755141774055,0.0,0.017801789238957564,0.0,0.026225075993599103
2026-08-21T00:30:43.319050,0.0,-0.008947961132341633,0.0,0.022298315888900955,0.0,0.03300955783344809
2026-08-21T00:30:43.327383,0.0,-0.010984605788789433,0.0,0.02724364741058453,0.0,0.0405257946702855
2026-08-21T00:30:43.335716,0.0,-0.013214907802737737,0.0,0.032621603782333586,0.0,0.04875855702345697
2026-08-21T00:30:43.344049,0.0,-0.015634403396234217,0.0,0.03841623486413015,0.0,0.05769216159759191
2026-08-21T00:30:43.352382,0.0,-0.01823845359224572,0.0,0.04461182449588738,0.0,0.06731043385341076
2026-08-21T00:30:43.360715,0.0,-0.021022231702821952,0.0,0.05119289411621336,0.0,0.07759667147207785
2026-08-21T00:30:43.369048,0.0,-0.023980711489854676,0.0,0.058144205905312635,0.0,0.08853360901968882
2026-08-21T00:30:43.377381,0.0,-0.027108656066916745,0.0,0.06545076546239405,0.0,0.10010338408468027
2026-08-21T00:30:43.385714,0.0,-0.03040060759949813,0.0,0.0730978240331327,0.0,0.11228750513362432
2026-08-21T00:30:43.394047,0.0,-0.03385087785176072,0.0,0.08107088030663578,0.0,0.1250668213074076
2026-08-21T00:30:43.402380,0.0,-0.037453539620815296,0.0,0.08935568180418595,0.0,0.13842149436114037
2026-08-21T00:30:43.410713,0.0,-0.04120241909344436,0.0,0.09793822588397424,0.0,0.15233097293396622
2026-08-21T00:30:43.419046,0.0,-0.04509108915579587,0.0,0.1068047603872126,0.0,0.16677396932199137
2026-08-21T00:30:43.427379,0.0,-0.04911286368275696,0.0,0.11594178395158418,0.0,0.1817284389151443
2026-08-21T00:30:43.435712,0.0,-0.05326079283080652,0.0,0.12533604601803305,0.0,0.19717156244836445
2026-08-21T00:30:43.444045,0.0,-0.05752765935578548,0.0,0.13497454655651822,0.0,0.21307973120805096
2026-08-21T00:30:43.452378,0.0,-0.06190597597527621,0.0,0.14484453553562354,0.0,0.22942853532661567
2026-08-21T00:30:43.460711,0.0,-0.06638798379337263,0.0,0.1549335121599113,0.0,0.2461927552885938
2026-08-21T00:30:43.469044,0.0,-0.07096565180462448,0.0,0.16522922389766428,0.0,0.2633463567651949
2026-08-21T00:30:43.477377,0.0,-0.07563067749237139,0.0,0.17571966532024957,0.0,0.28086248888508164
2026-08-21T00:30:43.485710,0.0,-0.08037448853579912,0.0,0.18639307677278746,0.0,0.2987134860423025
2026-08-21T00:30:43.494043,0.0,-0.08518824563836917,0.0,0.19723794289416724,0.0,0.31687087333228237
2026-08-21T00:30:43.502376,0.0,-0.09006284648951739,0.0,0.20824299100273055,0.0,0.33530537570006663
2026-08-21T00:30:43.510709,0.0,-0.09498893086965557,0.0,0.2193971893621993,0.0,0.35398693087415994
2026-08-21T00:30:43.519042,0.0,-0.09995688690716932,0.0,0.23068974534065426,0.0,0.37288470615041236
2026-08-21T00:30:43.527375,0.0,-0.10495685849425242,0.0,0.2421101034736128,0.0,0.3919671190796775
2026-08-21T00:30:43.535708,0.0,-0.10997875386645248,0.0,0.25364794344051395,0.0,0.4112018621019614
2026-08-21T00:30:43.544041,0.0,-0.11501225534869393,0.0,0.26529317796222307,0.0,0.430555931158419
2026-08-21T00:30:43.552374,0.0,-0.12004683026780527,0.0,0.2770359506255238,0.0,0.44999565829902893
2026-08-21T00:30:43.560707,0.0,-0.1250717430292623,0.0,0.28886663363897946,0.0,0.4694867482921012
2026-08-21T00:30:43.569040,0.0,-0.13007606835270194,0.0,0.30077582552303755,0.0,0.4889943192271935
2026-08-21T00:30:43.577373,0.0,-0.13504870565732285,0.0,0.3127543487358235,0.0,0.5084829470876937
2026-08-21T00:30:43.585706,0.0,-0.1399783945854106,0.0,0.32479324723473085,0.0,0.5279167142563802
2026-08-21T00:30:43.594039,0.0,-0.14485373164781812,0.0,0.3368837839726653,0.0,0.5472592618989579
2026-08-21T00:30:43.602372,0.0,-0.14966318797189138,0.0,0.3490174383266512,0.0,0.5664738461565393
2026-08-21T00:30:43.610705,0.0,-0.15439512812774958,0.0,0.36118590345546564,0.0,0.5855233980597426
2026-08-21T00:30:43.619038,0.0,-0.15903783000472133,0.0,0.3733810835820191,0.0,0.6043705870608587
2026-08-21T00:30:43.627371,0.0,-0.16357950570514365,0.0,0.38559509119536023,0.0,0.6229778880628497
2026-08-21T00:30:43.635704,0.0,-0.16800832341777555,0.0,0.3978202441664711,0.0,0.6413076518052574
2026-08-21T00:30:43.644037,0.0,-0.17231243022890738,0.0,0.41004906277136494,0.0,0.6593221784516298
2026-08-21T00:30:43.652370,0.0,-0.1764799758234017,0.0,0.42227426661452855,0.0,0.6769837942017306
2026-08-21T00:30:43.660703,0.0,-0.18049913702373835,0.0,0.43448877144530645,0.0,0.6942549307369958
2026-08-21T00:30:43.669036,0.0,-0.18435814310952464,0.0,0.44668568585955476,0.0,0.7110982072878138
2026-08-21T00:30:43.677369,0.0,-0.18804530185510765,0.0,0.45885830787869125,0.0,0.7274765150945421
2026-08-21T00:30:43.685702,0.0,-0.1915490262179214,0.0,0.47100012139817904,0.0,0.743353104017082
2026-08-21T00:30:43.694035,0.0,-0.1948578616048924,0.0,0.48310479249751664,0.0,0.758691671029879
2026-08-21T00:30:43.702368,0.0,-0.19796051363996203,0.0,0.49516616560389715,0.0,0.7734564503253337
2026-08-21T00:30:43.710701,0.0,-0.20084587635020723,0.0,0.5071782595019565,0.0,0.7876123047300831
2026-08-21T00:30:43.719034,0.0,-0.20350306068442936,0.0,0.5191352631823114,0.0,0.801124818127537
2026-08-21T00:30:43.727367,0.0,-0.20592142327256568,0.0,0.5310315315220309,0.0,0.8139603885620484
2026-08-21T00:30:43.735700,0.0,-0.20814210415572917,0.0,0.5428612647697013,0.0,0.8262946387490627
2026-08-21T00:30:43.744033,0.0,-0.21010778139267766,0.0,0.554620199817365,0.0,0.8379086979894866
2026-08-21T00:30:43.752366,0.0,-0.21180320014435502,0.0,0.5663032912447962,0.0,0.8487501417252044
2026-08-21T00:30:43.760699,0.0,-0.21321867343898343,0.0,0.5779055717586652,0.0,0.8587886010275382
2026-08-21T00:30:43.769032,0.0,-0.2143449073069,0.0,0.5894222139939489,0.0,0.8679949886207671
2026-08-21T00:30:43.777365,0.0,-0.21517303041004937,0.0,0.6008485248253633,0.0,0.8763415932345746
2026-08-21T00:30:43.785698,0.0,-0.2156946232242934,0.0,0.6121799394567282,0.0,0.8838021722070505
2026-08-21T00:30:43.794031,0.0,-0.21590174661026104,0.0,0.6234120153104943,0.0,0.8903520418359258
2026-08-21T00:30:43.802364,0.0,-0.21578696965154825,0.0,0.6345404257181969,0.0,0.8959681650718477
