time,rocket.dynamic_pressure
2026-05-06T20:26:45.387137,0.0
2026-05-06T20:26:45.395012,1e-6
2026-05-06T20:26:45.403345,0.4103267029637285
2026-05-06T20:26:45.411678,1.6281881065413466
2026-05-06T20:26:45.420011,3.6291309985397424
2026-05-06T20:26:45.428344,6.388939273916273
2026-05-06T20:26:45.436677,9.883636119121933
2026-05-06T20:26:45.445010,14.089484539007616
2026-05-06T20:26:45.453343,18.982987872328877
2026-05-06T20:26:45.461676,24.540890295698407
2026-05-06T20:26:45.470009,30.740177315850932
2026-05-06T20:26:45.478342,37.55807625010027
2026-05-06T20:26:45.486675,44.97205669488495
2026-05-06T20:26:45.495008,52.95983098231344
2026-05-06T20:26:45.503341,61.49935462463493
2026-05-06T20:26:45.511674,70.56882674657619
2026-05-06T20:26:45.520007,80.14669050549597
2026-05-06T20:26:45.528340,90.21163349932122
2026-05-06T20:26:45.536673,100.74258816223872
2026-05-06T20:26:45.545006,111.71873214812412
2026-05-06T20:26:45.553339,123.11948870169901
2026-05-06T20:26:45.561672,134.9245270174114
2026-05-06T20:26:45.570005,147.11376258604116
2026-05-06T20:26:45.578338,159.6673575290362
2026-05-06T20:26:45.586671,172.56572092058747
2026-05-06T20:26:45.595004,185.78950909745453
2026-05-06T20:26:45.603337,199.31962595655546
2026-05-06T20:26:45.611670,213.1372232403353
2026-05-06T20:26:45.620003,227.22370080992917
2026-05-06T20:26:45.628336,241.56070690613782
2026-05-06T20:26:45.636669,256.1301383982341
2026-05-06T20:26:45.645002,270.91414102061947
2026-05-06T20:26:45.653335,285.89510959735236
2026-05-06T20:26:45.661668,301.055688254571
2026-05-06T20:26:45.670001,316.3787706208375
2026-05-06T20:26:45.678334,331.8475000154318
2026-05-06T20:26:45.686667,347.44526962462834
2026-05-06T20:26:45.695,363.1557226659944
2026-05-06T20:26:45.703333,378.9627525407528
2026-05-06T20:26:45.711666,394.8505029742613
2026-05-06T20:26:45.719999,410.80336814466716
2026-05-06T20:26:45.728332,426.80599279980447
2026-05-06T20:26:45.736665,442.8432723624127
2026-05-06T20:26:45.744998,458.9003530237697
2026-05-06T20:26:45.753331,474.96263182583766
2026-05-06T20:26:45.761664,491.0157567320425
2026-05-06T20:26:45.769997,507.0456266868179
2026-05-06T20:26:45.778330,523.0383916640616
2026-05-06T20:26:45.786663,538.9804527046732
2026-05-06T20:26:45.794996,554.8584619433528
2026-05-06T20:26:45.803329,570.6593226248683
2026-05-06T20:26:45.811662,586.3701891100133
2026-05-06T20:26:45.819995,601.9784668714972
2026-05-06T20:26:45.828328,617.4718124800384
2026-05-06T20:26:45.836661,632.8381335809398
2026-05-06T20:26:45.844994,648.0655888614621
2026-05-06T20:26:45.853327,663.1425880093155
2026-05-06T20:26:45.861660,678.0577916626306
2026-05-06T20:26:45.869993,692.8001113517734
2026-05-06T20:26:45.878326,707.3587094333985
2026-05-06T20:26:45.886659,721.722999017152
2026-05-06T20:26:45.894992,735.8826428984319
2026-05-06T20:26:45.903325,749.8275552188649
2026-05-06T20:26:45.911658,763.5479007036248
2026-05-06T20:26:45.919991,777.0340944713579
2026-05-06T20:26:45.928324,790.2768019310531
2026-05-06T20:26:45.936657,803.2669386743477
2026-05-06T20:26:45.944990,815.9956703637753
2026-05-06T20:26:45.953323,828.4544126174821
2026-05-06T20:26:45.961656,840.6348308909232
2026-05-06T20:26:45.969989,852.5288403560668
2026-05-06T20:26:45.978322,864.1286057786245
2026-05-06T20:26:45.986655,875.4265413938239
2026-05-06T20:26:45.994988,886.4153107812318
2026-05-06T20:26:46.003321,897.0878267391233
2026-05-06T20:26:46.011654,907.4372511588825
2026-05-06T20:26:46.019987,917.4569948999039
2026-05-06T20:26:46.028320,927.1407176654371
2026-05-06T20:26:46.036653,936.4823278798029
2026-05-06T20:26:46.044986,945.4759825673802
2026-05-06T20:26:46.053319,954.1160872337359
2026-05-06T20:26:46.061652,962.3972957492373
2026-05-06T20:26:46.069985,970.5540161809876
2026-05-06T20:26:46.078318,978.7445866127856
2026-05-06T20:26:46.086651,986.9689889102483
2026-05-06T20:26:46.094984,995.2272040521362
2026-05-06T20:26:46.103317,1003.5192121025841
2026-05-06T20:26:46.111650,1011.8449921767025
2026-05-06T20:26:46.119983,1020.2045224069007
2026-05-06T20:26:46.128316,1028.5977799100883
2026-05-06T20:26:46.136649,1037.0247407559211
2026-05-06T20:26:46.144982,1045.4853799362256
2026-05-06T20:26:46.153315,1053.9796713357744
2026-05-06T20:26:46.161648,1062.5075877045265
2026-05-06T20:26:46.169981,1071.0691006314785
2026-05-06T20:26:46.178314,1079.6641805202414
2026-05-06T20:26:46.186647,1088.2927965664558
2026-05-06T20:26:46.194980,1096.9549167371442
2026-05-06T20:26:46.203313,1105.6505077520944
2026-05-06T20:26:46.211646,1114.3795350673324
2026-05-06T20:26:46.219979,1123.1419628607696
