time,rocket.mach
2026-03-20T06:13:50.177785,0.0
2026-03-20T06:13:50.181222,0.0
2026-03-20T06:13:50.189555,0.0024053516285466505
2026-03-20T06:13:50.197888,0.00479144105188193
2026-03-20T06:13:50.206221,0.0071534488783517045
2026-03-20T06:13:50.214554,0.009491370932306393
2026-03-20T06:13:50.222887,0.011805203173138433
2026-03-20T06:13:50.231220,0.014094941694462128
2026-03-20T06:13:50.239553,0.016360582724001035
2026-03-20T06:13:50.247886,0.01860212262349162
2026-03-20T06:13:50.256219,0.020819557888528847
2026-03-20T06:13:50.264552,0.023012885148341072
2026-03-20T06:13:50.272885,0.025182101165493322
2026-03-20T06:13:50.281218,0.02732720283552049
2026-03-20T06:13:50.289551,0.029448187186492995
2026-03-20T06:13:50.297884,0.031545051378517756
2026-03-20T06:13:50.306217,0.033617792703176774
2026-03-20T06:13:50.314550,0.03566640858290581
2026-03-20T06:13:50.322883,0.03769089657031518
2026-03-20T06:13:50.331216,0.039691254347454234
2026-03-20T06:13:50.339549,0.041667479725020974
2026-03-20T06:13:50.347882,0.043619570641517585
2026-03-20T06:13:50.356215,0.045547525162352616
2026-03-20T06:13:50.364548,0.04745134147888983
2026-03-20T06:13:50.372881,0.049331017907443646
2026-03-20T06:13:50.381214,0.05118655288822065
2026-03-20T06:13:50.389547,0.05301794498420639
2026-03-20T06:13:50.397880,0.05482519287999627
2026-03-20T06:13:50.406213,0.056608295380569384
2026-03-20T06:13:50.414546,0.05836725141000335
2026-03-20T06:13:50.422879,0.060102060010129
2026-03-20T06:13:50.431212,0.061812720339122385
2026-03-20T06:13:50.439545,0.06349923167003266
2026-03-20T06:13:50.447878,0.0651615933892435
2026-03-20T06:13:50.456211,0.06679980499486622
2026-03-20T06:13:50.464544,0.06841386609506254
2026-03-20T06:13:50.472877,0.07000377640629493
2026-03-20T06:13:50.481210,0.07156953575150324
2026-03-20T06:13:50.489543,0.07311114405820542
2026-03-20T06:13:50.497876,0.07462860135652151
2026-03-20T06:13:50.506209,0.07612190777711957
2026-03-20T06:13:50.514542,0.07759106354908273
2026-03-20T06:13:50.522875,0.079036068997697
2026-03-20T06:13:50.531208,0.08045692454216019
2026-03-20T06:13:50.539541,0.08185363069321167
2026-03-20T06:13:50.547874,0.08322618805068446
2026-03-20T06:13:50.556207,0.08457459730098109
2026-03-20T06:13:50.564540,0.08589885921447453
2026-03-20T06:13:50.572873,0.08719897464283763
2026-03-20T06:13:50.581206,0.08847494451630349
2026-03-20T06:13:50.589539,0.08972676984086099
2026-03-20T06:13:50.597872,0.0909544516953893
2026-03-20T06:13:50.606205,0.09215799122873691
2026-03-20T06:13:50.614538,0.0933373896567506
2026-03-20T06:13:50.622871,0.09449264825926039
2026-03-20T06:13:50.631204,0.09562376837702789
2026-03-20T06:13:50.639537,0.09673075140866513
2026-03-20T06:13:50.647870,0.09781359880753236
2026-03-20T06:13:50.656203,0.09887231207862335
2026-03-20T06:13:50.664536,0.09990689277544762
2026-03-20T06:13:50.672869,0.10091734249691955
2026-03-20T06:13:50.681202,0.10190366281592753
2026-03-20T06:13:50.689535,0.10286585539930049
2026-03-20T06:13:50.697868,0.10380392195661124
2026-03-20T06:13:50.706201,0.10471786423069593
2026-03-20T06:13:50.714534,0.10560768399473275
2026-03-20T06:13:50.722867,0.10647338304939452
2026-03-20T06:13:50.731200,0.10731496322008709
2026-03-20T06:13:50.739533,0.1081324263542868
2026-03-20T06:13:50.747866,0.10892577431898894
2026-03-20T06:13:50.756199,0.10969500899828057
2026-03-20T06:13:50.764532,0.11044013229104951
2026-03-20T06:13:50.772865,0.11116114610884253
2026-03-20T06:13:50.781198,0.11185805237388412
2026-03-20T06:13:50.789531,0.1125308530172679
2026-03-20T06:13:50.797864,0.11317954997733219
2026-03-20T06:13:50.806197,0.11380414519823001
2026-03-20T06:13:50.814530,0.1144046406287042
2026-03-20T06:13:50.822863,0.11498103822107682
2026-03-20T06:13:50.831196,0.11553333993046205
2026-03-20T06:13:50.839529,0.11606154771421062
2026-03-20T06:13:50.847862,0.11656566353159277
2026-03-20T06:13:50.856195,0.1170601339370065
2026-03-20T06:13:50.864528,0.11755458933723789
2026-03-20T06:13:50.872861,0.11804902915055818
2026-03-20T06:13:50.881194,0.11854345275308642
2026-03-20T06:13:50.889527,0.1190378594780039
2026-03-20T06:13:50.897860,0.11953224861439601
2026-03-20T06:13:50.906193,0.12002661940616499
2026-03-20T06:13:50.914526,0.12052097105102023
2026-03-20T06:13:50.922859,0.12101530269955404
2026-03-20T06:13:50.931192,0.12150961345440801
2026-03-20T06:13:50.939525,0.12200390236953752
2026-03-20T06:13:50.947858,0.12249816844957799
2026-03-20T06:13:50.956191,0.12299241064931866
2026-03-20T06:13:50.964524,0.12348662787328739
2026-03-20T06:13:50.972857,0.12398081897544948
2026-03-20T06:13:50.981190,0.12447498275902373
2026-03-20T06:13:50.989523,0.12496911797641673
2026-03-20T06:13:50.997856,0.1254632233292767
2026-03-20T06:13:51.006189,0.1259572974686671
