time,rocket.v_rel_accel_x,rocket.v_rel_accel_y,rocket.v_rel_accel_z
2026-08-21T00:30:43.226598,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0
2026-08-21T00:30:43.252386,-98.2216053465549,0.0,-2.1316282072803006e-14
2026-08-21T00:30:43.260719,-97.43502066454599,0.0,-0.013425633595936404
2026-08-21T00:30:43.269052,-96.4516183957584,0.0,-0.03131487279108569
2026-08-21T00:30:43.277385,-95.46802604291935,0.0,-0.04863797922983082
2026-08-21T00:30:43.285718,-94.48424986503358,0.0,-0.0657394512728473
2026-08-21T00:30:43.294051,-93.50029606879129,0.0,-0.0827407978186585
2026-08-21T00:30:43.302384,-92.5161708408056,0.0,-0.0997006656030166
2026-08-21T00:30:43.310717,-91.53188035263653,0.0,-0.11665479293753833
2026-08-21T00:30:43.319050,-90.54743076020574,0.0,-0.1336292796702594
2026-08-21T00:30:43.327383,-89.56282820167621,0.0,-0.1506458562678148
2026-08-21T00:30:43.335716,-88.57807879487146,0.0,-0.1677242447568119
2026-08-21T00:30:43.344049,-87.59318863458054,0.0,-0.1848833084297823
2026-08-21T00:30:43.352382,-86.60816378987666,0.0,-0.20214164273090773
2026-08-21T00:30:43.360715,-85.62301030149781,0.0,-0.21951788681299433
2026-08-21T00:30:43.369048,-84.63773417930547,0.0,-0.23703088613298462
2026-08-21T00:30:43.377381,-83.65234139982206,0.0,-0.2546997712288217
2026-08-21T00:30:43.385714,-82.66683790383973,0.0,-0.2725439871442177
2026-08-21T00:30:43.394047,-81.68122959409132,0.0,-0.2905832926355032
2026-08-21T00:30:43.402380,-80.69552233296866,0.0,-0.3088377402347575
2026-08-21T00:30:43.410713,-79.70972194027594,0.0,-0.3273276438164743
2026-08-21T00:30:43.419046,-78.72383419100208,0.0,-0.346073537789529
2026-08-21T00:30:43.427379,-77.73786481309953,0.0,-0.3650961305495102
2026-08-21T00:30:43.435712,-76.75181948525383,0.0,-0.3844162539257354
2026-08-21T00:30:43.444045,-75.76570383463218,0.0,-0.4040548097969463
2026-08-21T00:30:43.452378,-74.77952343459823,0.0,-0.4240327146954712
2026-08-21T00:30:43.460711,-73.79328380238202,0.0,-0.4443708429895423
2026-08-21T00:30:43.469044,-72.80699039669544,0.0,-0.4650899690847936
2026-08-21T00:30:43.477377,-71.82064861528522,0.0,-0.48621070898517615
2026-08-21T00:30:43.485710,-70.83426379241632,0.0,-0.5077534614872405
2026-08-21T00:30:43.494043,-69.84784119628088,0.0,-0.5297383492386167
2026-08-21T00:30:43.502376,-68.86138602632926,0.0,-0.5521851598593166
2026-08-21T00:30:43.510709,-67.87490341052212,0.0,-0.5751132873075306
2026-08-21T00:30:43.519042,-66.88839840250296,0.0,-0.5985416736556708
2026-08-21T00:30:43.527375,-65.90187597869419,0.0,-0.622488751437718
2026-08-21T00:30:43.535708,-64.91534103532055,0.0,-0.6469723867204458
2026-08-21T00:30:43.544041,-63.928798385365155,0.0,-0.6720098230518872
2026-08-21T00:30:43.552374,-62.9422527554673,0.0,-0.697617626437026
2026-08-21T00:30:43.560707,-61.95570878277084,0.0,-0.723811631492211
2026-08-21T00:30:43.569040,-60.96917101173496,0.0,-0.7506068889300259
2026-08-21T00:30:43.577373,-59.98264389092068,0.0,-0.7780176145270197
2026-08-21T00:30:43.585706,-58.996131769768155,0.0,-0.8060571397294787
2026-08-21T00:30:43.594039,-58.00963889538179,0.0,-0.8347378640523608
2026-08-21T00:30:43.602372,-57.02316940934076,0.0,-0.8640712094282037
2026-08-21T00:30:43.610705,-56.03672734455566,0.0,-0.8940675766645967
2026-08-21T00:30:43.619038,-55.05031662219103,0.0,-0.9247363041685723
2026-08-21T00:30:43.627371,-54.06394104867728,0.0,-0.9560856290975259
2026-08-21T00:30:43.635704,-53.077604312834524,0.0,-0.9881226510956687
2026-08-21T00:30:43.644037,-52.09130998313282,0.0,-1.0208532987754353
2026-08-21T00:30:43.652370,-51.105061505113596,0.0,-1.0542822991012564
2026-08-21T00:30:43.660703,-50.118862198998,0.0,-1.0884131498328138
2026-08-21T00:30:43.669036,-49.13271525750758,0.0,-1.1232480951818289
2026-08-21T00:30:43.677369,-48.14662374392378,0.0,-1.1587881048347093
2026-08-21T00:30:43.685702,-47.16059059041199,0.0,-1.195032856489263
2026-08-21T00:30:43.694035,-46.1746185966356,0.0,-1.231980722050718
2026-08-21T00:30:43.702368,-45.188710428685724,0.0,-1.2696287576271068
2026-08-21T00:30:43.710701,-44.20286861835096,0.0,-1.3079726974584602
2026-08-21T00:30:43.719034,-43.21709556275054,0.0,-1.3470069519102168
2026-08-21T00:30:43.727367,-42.23139352435338,0.0,-1.3867246096518713
2026-08-21T00:30:43.735700,-41.24576463140473,0.0,-1.4271174441372807
2026-08-21T00:30:43.744033,-40.26020807668711,0.0,-1.4681072123303167
2026-08-21T00:30:43.752366,-39.27472797115186,0.0,-1.5097457033803217
2026-08-21T00:30:43.760699,-38.28932631511062,0.0,-1.5520281974000874
2026-08-21T00:30:43.769032,-37.30400471355363,0.0,-1.5949417500758152
2026-08-21T00:30:43.777365,-36.31876464576656,0.0,-1.6384721812303358
2026-08-21T00:30:43.785698,-35.33360746849701,0.0,-1.6826041076731073
2026-08-21T00:30:43.794031,-34.348534419635136,0.0,-1.7273209809700223
2026-08-21T00:30:43.802364,-33.36354662240647,0.0,-1.772605130208829
2026-08-21T00:30:43.810697,-32.378645090077704,0.0,-1.8184378097897138
2026-08-21T00:30:43.819030,-31.393830731173406,0.0,-1.8647992522599797
2026-08-21T00:30:43.827363,-30.409104355198597,0.0,-1.9116687261941472
2026-08-21T00:30:43.835696,-29.424466678858362,0.0,-1.9590245991086253
2026-08-21T00:30:43.844029,-28.43991833276317,0.0,-2.0068444053843546
2026-08-21T00:30:43.852362,-27.45545986860462,0.0,-2.0551049191555126
2026-08-21T00:30:43.860695,-26.471091766783807,0.0,-2.103782232107516
2026-08-21T00:30:43.869028,-25.48681444447109,0.0,-2.1528518361124735
2026-08-21T00:30:43.877361,-24.50262826407295,0.0,-2.2022887106138054
2026-08-21T00:30:43.885694,-23.518533542079588,0.0,-2.252067414659022
2026-08-21T00:30:43.894027,-22.534530558263434,0.0,-2.302162183461661
2026-08-21T00:30:43.902360,-21.550619565196776,0.0,-2.35254702936186
2026-08-21T00:30:43.910693,-20.566800798055226,0.0,-2.403195847037738
2026-08-21T00:30:43.919026,-20.17280755177041,0.0,-2.4309123636251133
2026-08-21T00:30:43.927359,-20.172000428561763,0.0,-2.443728064026023
2026-08-21T00:30:43.935692,-20.171168523393504,0.0,-2.4571912422338817
2026-08-21T00:30:43.944025,-20.170310092703474,0.0,-2.471289636263003
2026-08-21T00:30:43.952358,-20.169423362221007,0.0,-2.4860098165703652
2026-08-21T00:30:43.960691,-20.168506511873577,0.0,-2.501337268511408
2026-08-21T00:30:43.969024,-20.167557678736443,0.0,-2.5172563913861232
2026-08-21T00:30:43.977357,-20.166574960278332,0.0,-2.533750498593144
2026-08-21T00:30:43.985690,-20.165556417882424,0.0,-2.5508018188638806
2026-08-21T00:30:43.994023,-20.164500080620417,0.0,-2.5683914985465996
2026-08-21T00:30:44.002356,-20.16340394925616,0.0,-2.5864996049132793
2026-08-21T00:30:44.010689,-20.162266000453048,0.0,-2.6051051304603394
2026-08-21T00:30:44.019022,-20.161084191158977,0.0,-2.6241859981767703
2026-08-21T00:30:44.027355,-20.159856463140585,0.0,-2.6437190677529063
2026-08-21T00:30:44.035688,-20.158580747637657,0.0,-2.6636801427033
2026-08-21T00:30:44.044021,-20.15725497010728,0.0,-2.6840439783779084
2026-08-21T00:30:44.052354,-20.155877055026743,0.0,-2.704784290837112
2026-08-21T00:30:44.060687,-20.154444930722683,0.0,-2.725873766564524
2026-08-21T00:30:44.069020,-20.152956534193812,0.0,-2.7472840729939634
