time,rocket.rocket_motor
2026-04-15T20:03:21.106688,0.0
2026-04-15T20:03:21.118920,0.0
2026-04-15T20:03:21.127253,0.0
2026-04-15T20:03:21.135586,0.0
2026-04-15T20:03:21.143919,0.0
2026-04-15T20:03:21.152252,0.0
2026-04-15T20:03:21.160585,0.0
2026-04-15T20:03:21.168918,0.0
2026-04-15T20:03:21.177251,0.0
2026-04-15T20:03:21.185584,0.0
2026-04-15T20:03:21.193917,0.0
2026-04-15T20:03:21.202250,0.0
2026-04-15T20:03:21.210583,0.0
2026-04-15T20:03:21.218916,0.0
2026-04-15T20:03:21.227249,0.0
2026-04-15T20:03:21.235582,0.0
2026-04-15T20:03:21.243915,0.0
2026-04-15T20:03:21.252248,0.0
2026-04-15T20:03:21.260581,0.0
2026-04-15T20:03:21.268914,0.0
2026-04-15T20:03:21.277247,0.0
2026-04-15T20:03:21.285580,0.0
2026-04-15T20:03:21.293913,0.0
2026-04-15T20:03:21.302246,0.0
2026-04-15T20:03:21.310579,0.0
2026-04-15T20:03:21.318912,0.0
2026-04-15T20:03:21.327245,0.0
2026-04-15T20:03:21.335578,0.0
2026-04-15T20:03:21.343911,0.0
2026-04-15T20:03:21.352244,0.0
2026-04-15T20:03:21.360577,0.0
2026-04-15T20:03:21.368910,0.0
2026-04-15T20:03:21.377243,0.0
2026-04-15T20:03:21.385576,0.0
2026-04-15T20:03:21.393909,0.0
2026-04-15T20:03:21.402242,0.0
2026-04-15T20:03:21.410575,0.0
2026-04-15T20:03:21.418908,0.0
2026-04-15T20:03:21.427241,0.0
2026-04-15T20:03:21.435574,0.0
2026-04-15T20:03:21.443907,0.0
2026-04-15T20:03:21.452240,0.0
2026-04-15T20:03:21.460573,0.0
2026-04-15T20:03:21.468906,0.0
2026-04-15T20:03:21.477239,0.0
2026-04-15T20:03:21.485572,0.0
2026-04-15T20:03:21.493905,0.0
2026-04-15T20:03:21.502238,0.0
2026-04-15T20:03:21.510571,0.0
2026-04-15T20:03:21.518904,0.0
2026-04-15T20:03:21.527237,0.0
2026-04-15T20:03:21.535570,0.0
2026-04-15T20:03:21.543903,0.0
2026-04-15T20:03:21.552236,0.0
2026-04-15T20:03:21.560569,0.0
2026-04-15T20:03:21.568902,0.0
2026-04-15T20:03:21.577235,0.0
2026-04-15T20:03:21.585568,0.0
2026-04-15T20:03:21.593901,0.0
2026-04-15T20:03:21.602234,0.0
2026-04-15T20:03:21.610567,0.0
2026-04-15T20:03:21.618900,0.0
2026-04-15T20:03:21.627233,0.0
2026-04-15T20:03:21.635566,0.0
2026-04-15T20:03:21.643899,0.0
2026-04-15T20:03:21.652232,0.0
2026-04-15T20:03:21.660565,0.0
2026-04-15T20:03:21.668898,0.0
2026-04-15T20:03:21.677231,0.0
2026-04-15T20:03:21.685564,0.0
2026-04-15T20:03:21.693897,0.0
2026-04-15T20:03:21.702230,0.0
2026-04-15T20:03:21.710563,0.0
2026-04-15T20:03:21.718896,0.0
2026-04-15T20:03:21.727229,0.0
2026-04-15T20:03:21.735562,0.0
2026-04-15T20:03:21.743895,0.0
2026-04-15T20:03:21.752228,0.0
2026-04-15T20:03:21.760561,0.0
2026-04-15T20:03:21.768894,0.0
2026-04-15T20:03:21.777227,0.0
2026-04-15T20:03:21.785560,0.0
2026-04-15T20:03:21.793893,0.0
2026-04-15T20:03:21.802226,0.0
2026-04-15T20:03:21.810559,0.0
2026-04-15T20:03:21.818892,0.0
2026-04-15T20:03:21.827225,0.0
2026-04-15T20:03:21.835558,0.0
2026-04-15T20:03:21.843891,0.0
2026-04-15T20:03:21.852224,0.0
2026-04-15T20:03:21.860557,0.0
2026-04-15T20:03:21.868890,0.0
2026-04-15T20:03:21.877223,0.0
2026-04-15T20:03:21.885556,0.0
2026-04-15T20:03:21.893889,0.0
2026-04-15T20:03:21.902222,0.0
2026-04-15T20:03:21.910555,0.0
2026-04-15T20:03:21.918888,0.0
2026-04-15T20:03:21.927221,0.0
2026-04-15T20:03:21.935554,0.0
2026-04-15T20:03:21.943887,0.0
