time,rocket.world_accel_αx,rocket.world_accel_αy,rocket.world_accel_αz,rocket.world_accel_x,rocket.world_accel_y,rocket.world_accel_z
2026-08-21T00:30:43.226598,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0,-36.727035043942365,0.0,91.09669946675024
2026-08-21T00:30:43.252386,0.0,-0.00011502687126187811,0.0,-36.457717957695095,0.0,90.35717034892859
2026-08-21T00:30:43.260719,0.0,-0.0004582554630414536,0.0,-36.12078403300572,0.0,89.4326821280857
2026-08-21T00:30:43.269052,0.0,-0.001026183197122456,0.0,-35.7835300177315,0.0,88.50810890339176
2026-08-21T00:30:43.277385,0.0,-0.0018152539740817683,0.0,-35.44596650214689,0.0,87.58345307740632
2026-08-21T00:30:43.285718,0.0,-0.002821846124580772,0.0,-35.10810541343865,0.0,86.65871649909275
2026-08-21T00:30:43.294051,0.0,-0.004042259554640437,0.0,-34.769959929754435,0.0,85.7339004930437
2026-08-21T00:30:43.302384,0.0,-0.005472702110362788,0.0,-34.43154439605476,0.0,84.8090058881284
2026-08-21T00:30:43.310717,0.0,-0.007109275514177407,0.0,-34.09287424144708,0.0,83.8840330457204
2026-08-21T00:30:43.319050,0.0,-0.008947961132341635,0.0,-33.75396589774237,0.0,82.95898188762337
2026-08-21T00:30:43.327383,0.0,-0.010984605788789436,0.0,-33.41483671901234,0.0,82.03385192379109
2026-08-21T00:30:43.335716,0.0,-0.013214907802737737,0.0,-33.075504901955085,0.0,81.10864227991794
2026-08-21T00:30:43.344049,0.0,-0.015634403396234217,0.0,-32.73598940690819,0.0,80.18335172495985
2026-08-21T00:30:43.352382,0.0,-0.01823845359224572,0.0,-32.39630987937366,0.0,79.2579786986309
2026-08-21T00:30:43.360715,0.0,-0.021022231702821956,0.0,-32.056486571944546,0.0,78.3325213389081
2026-08-21T00:30:43.369048,0.0,-0.02398071148985468,0.0,-31.716540266543632,0.0,77.4069775095667
2026-08-21T00:30:43.377381,0.0,-0.027108656066916745,0.0,-31.376492196905218,0.0,76.48134482775646
2026-08-21T00:30:43.385714,0.0,-0.030400607599498128,0.0,-31.036363971251014,0.0,75.5556206916246
2026-08-21T00:30:43.394047,0.0,-0.033850877851760705,0.0,-30.696177495125333,0.0,74.62980230798016
2026-08-21T00:30:43.402380,0.0,-0.037453539620815296,0.0,-30.35595489437432,0.0,73.70388671999075
2026-08-21T00:30:43.410713,0.0,-0.041202419093444353,0.0,-30.015718438265246,0.0,72.77787083489548
2026-08-21T00:30:43.419046,0.0,-0.04509108915579586,0.0,-29.675490462758344,0.0,71.85175145171495
2026-08-21T00:30:43.427379,0.0,-0.04911286368275697,0.0,-29.335293293954873,0.0,70.92552528893191
2026-08-21T00:30:43.435712,0.0,-0.05326079283080652,0.0,-28.99514917175841,0.0,69.99918901211639
2026-08-21T00:30:43.444045,0.0,-0.05752765935578548,0.0,-28.655080173797067,0.0,69.07273926146277
2026-08-21T00:30:43.452378,0.0,-0.06190597597527621,0.0,-28.315108139664883,0.0,68.14617267920539
2026-08-21T00:30:43.460711,0.0,-0.06638798379337263,0.0,-27.97525459555179,0.0,67.21948593687624
2026-08-21T00:30:43.469044,0.0,-0.07096565180462448,0.0,-27.63554067934071,0.0,66.29267576236688
2026-08-21T00:30:43.477377,0.0,-0.07563067749237137,0.0,-27.295987066258558,0.0,65.36573896675475
2026-08-21T00:30:43.485710,0.0,-0.08037448853579912,0.0,-26.956613895178293,0.0,64.43867247085252
2026-08-21T00:30:43.494043,0.0,-0.08518824563836917,0.0,-26.617440695676027,0.0,63.511473331438886
2026-08-21T00:30:43.502376,0.0,-0.09006284648951737,0.0,-26.278486315955643,0.0,62.58413876712754
2026-08-21T00:30:43.510709,0.0,-0.09498893086965557,0.0,-25.93976885175981,0.0,61.656666183830716
2026-08-21T00:30:43.519042,0.0,-0.0999568869071693,0.0,-25.601305576395063,0.0,60.729053199773354
2026-08-21T00:30:43.527375,0.0,-0.10495685849425243,0.0,-25.263112872002328,0.0,59.801297670013994
2026-08-21T00:30:43.535708,0.0,-0.10997875386645253,0.0,-24.925206162213044,0.0,58.87339771042708
2026-08-21T00:30:43.544041,0.0,-0.11501225534869393,0.0,-24.58759984633457,0.0,57.945351721103336
2026-08-21T00:30:43.552374,0.0,-0.12004683026780527,0.0,-24.250307235215057,0.0,57.01715840912337
2026-08-21T00:30:43.560707,0.0,-0.1250717430292623,0.0,-23.913340488941696,0.0,56.08881681066052
2026-08-21T00:30:43.569040,0.0,-0.13007606835270188,0.0,-23.576710556530465,0.0,55.160326312369676
2026-08-21T00:30:43.577373,0.0,-0.13504870565732283,0.0,-23.240427117770114,0.0,54.23168667201834
2026-08-21T00:30:43.585706,0.0,-0.13997839458541061,0.0,-22.904498527384703,0.0,53.30289803831782
2026-08-21T00:30:43.594039,0.0,-0.14485373164781812,0.0,-22.5689317616825,0.0,52.37396096991192
2026-08-21T00:30:43.602372,0.0,-0.14966318797189138,0.0,-22.233732367860696,0.0,51.44487645348231
2026-08-21T00:30:43.610705,0.0,-0.15439512812774958,0.0,-21.898904416136148,0.0,50.515645920928904
2026-08-21T00:30:43.619038,0.0,-0.15903783000472133,0.0,-21.564450454873956,0.0,49.58627126558626
2026-08-21T00:30:43.627371,0.0,-0.16357950570514365,0.0,-21.23037146888405,0.0,48.65675485743611
2026-08-21T00:30:43.635704,0.0,-0.16800832341777555,0.0,-20.89666684105707,0.0,47.72709955727794
2026-08-21T00:30:43.644037,0.0,-0.17231243022890733,0.0,-20.56333431750688,0.0,46.79730872981998
2026-08-21T00:30:43.652370,0.0,-0.1764799758234017,0.0,-20.230369976387067,0.0,45.8673862556542
2026-08-21T00:30:43.660703,0.0,-0.18049913702373838,0.0,-19.89776820054351,0.0,44.93733654207921
2026-08-21T00:30:43.669036,0.0,-0.18435814310952464,0.0,-19.56552165416265,0.0,44.007164532736766
2026-08-21T00:30:43.677369,0.0,-0.18804530185510768,0.0,-19.23362126356927,0.0,43.076875716027985
2026-08-21T00:30:43.685702,0.0,-0.1915490262179214,0.0,-18.902056202322306,0.0,42.146476132276106
2026-08-21T00:30:43.694035,0.0,-0.19485786160489238,0.0,-18.570813880750734,0.0,41.21597237960448
2026-08-21T00:30:43.702368,0.0,-0.197960513639962,0.0,-18.239879940063254,0.0,40.28537161849908
2026-08-21T00:30:43.710701,0.0,-0.20084587635020723,0.0,-17.909238251159003,0.0,39.35468157502522
2026-08-21T00:30:43.719034,0.0,-0.20350306068442936,0.0,-17.578870918254488,0.0,38.42391054267066
2026-08-21T00:30:43.727367,0.0,-0.20592142327256568,0.0,-17.248758287435052,0.0,37.49306738278743
2026-08-21T00:30:43.735700,0.0,-0.2081421041557292,0.0,-16.918813897792866,0.0,36.562185786094474
2026-08-21T00:30:43.744033,0.0,-0.21010778139267766,0.0,-16.589073257941706,0.0,35.631253664998894
2026-08-21T00:30:43.752366,0.0,-0.21180320014435505,0.0,-16.25951851257303,0.0,34.7002789459947
2026-08-21T00:30:43.760699,0.0,-0.21321867343898343,0.0,-15.930123591498528,0.0,33.76927255974799
2026-08-21T00:30:43.769032,0.0,-0.21434490730690003,0.0,-15.600860765589836,0.0,32.83824599237798
2026-08-21T00:30:43.777365,0.0,-0.21517303041004937,0.0,-15.271700684693485,0.0,31.90721127767386
2026-08-21T00:30:43.785698,0.0,-0.2156946232242934,0.0,-14.94261242097098,0.0,30.976180987733184
2026-08-21T00:30:43.794031,0.0,-0.2159017466102611,0.0,-14.61356351769622,0.0,30.04516822198523
2026-08-21T00:30:43.802364,0.0,-0.21578696965154825,0.0,-14.284520043497032,0.0,29.114186594583355
2026-08-21T00:30:43.810697,0.0,-0.21534339663652985,0.0,-13.955446652011908,0.0,28.1832502201511
2026-08-21T00:30:43.819030,0.0,-0.2145646930623895,0.0,-13.626306646911715,0.0,27.252373697870727
2026-08-21T00:30:43.827363,0.0,-0.21344511053949405,0.0,-13.297062052218608,0.0,26.321572093904393
2026-08-21T00:30:43.835696,0.0,-0.2119795104761999,0.0,-12.967673687834152,0.0,25.390860922141158
2026-08-21T00:30:43.844029,0.0,-0.21016338642689775,0.0,-12.638101250168578,0.0,24.46025612326624
2026-08-21T00:30:43.852362,0.0,-0.2079928849883822,0.0,-12.308303397742993,0.0,23.529774042151978
2026-08-21T00:30:43.860695,0.0,-0.20546482513381098,0.0,-11.978237841616698,0.0,22.59943140357329
2026-08-21T00:30:43.869028,0.0,-0.2025767158781328,0.0,-11.647861440470027,0.0,21.66924528625432
2026-08-21T00:30:43.877361,0.0,-0.19932677217263206,0.0,-11.317130300155469,0.0,20.739233095256793
2026-08-21T00:30:43.885694,0.0,-0.1957139289342617,0.0,-10.985999877506936,0.0,19.80941253272512
2026-08-21T00:30:43.894027,0.0,-0.1917378531193711,0.0,-10.654425088180076,0.0,18.879801567007014
2026-08-21T00:30:43.902360,0.0,-0.18739895376123689,0.0,-10.322360418275004,0.0,17.950418400174797
2026-08-21T00:30:43.910693,0.0,-0.18269838989550055,0.0,-10.20132994908415,0.0,17.572261286195054
2026-08-21T00:30:43.919026,0.0,-0.17764599788688734,0.0,-10.221728892511479,0.0,17.561254698591455
2026-08-21T00:30:43.927359,0.0,-0.17224481980621076,0.0,-10.24271503913619,0.0,17.54994635396659
2026-08-21T00:30:43.935692,0.0,-0.16649156550782737,0.0,-10.264278221648734,0.0,17.538337272692186
2026-08-21T00:30:43.944025,0.0,-0.16038349630337506,0.0,-10.28640711214124,0.0,17.526428965875535
2026-08-21T00:30:43.952358,0.0,-0.15391830132709827,0.0,-10.309089290177045,0.0,17.5142233929309
2026-08-21T00:30:43.960691,0.0,-0.14709409064007645,0.0,-10.33231124146484,0.0,17.501722968743245
2026-08-21T00:30:43.969024,0.0,-0.1399093879412156,0.0,-10.356058357776938,0.0,17.488930570734293
2026-08-21T00:30:43.977357,0.0,-0.13236312290737542,0.0,-10.380314938081607,0.0,17.4758495458206
2026-08-21T00:30:43.985690,0.0,-0.1244546231850767,0.0,-10.405064190856844,0.0,17.462483717252134
2026-08-21T00:30:43.994023,0.0,-0.11618360605302125,0.0,-10.430288237554258,0.0,17.448837391317298
2026-08-21T00:30:44.002356,0.0,-0.10755016977479513,0.0,-10.455968117179212,0.0,17.434915363898604
2026-08-21T00:30:44.010689,0.0,-0.09855478465775708,0.0,-10.482083791954619,0.0,17.420722926861266
2026-08-21T00:30:44.019022,0.0,-0.08919828383320919,0.0,-10.508614154034717,0.0,17.40626587425496
2026-08-21T00:30:44.027355,0.0,-0.07948185377130373,0.0,-10.535537033234093,0.0,17.391550508307546
2026-08-21T00:30:44.035688,0.0,-0.06940702454267346,0.0,-10.562829205737277,0.0,17.37658364518771
2026-08-21T00:30:44.044021,0.0,-0.05897565983623663,0.0,-10.590466403754508,0.0,17.361372620511887
2026-08-21T00:30:44.052354,0.0,-0.04818994674264235,0.0,-10.618423326086846,0.0,17.34592529456969
2026-08-21T00:30:44.060687,0.0,-0.03705238530990024,0.0,-10.646673649565479,0.0,17.330250057240356
2026-08-21T00:30:44.069020,0.0,-0.02556577787764588,0.0,-10.675190041327697,0.0,17.31435583257184
