time,rocket.fin_control
2026-04-19T15:52:11.526382,0.0
2026-04-19T15:52:11.535383,0.0
2026-04-19T15:52:11.543716,-5.767169798263532e-19
2026-04-19T15:52:11.552049,-3.6323364615358126e-7
2026-04-19T15:52:11.560382,-1.99333939096962e-6
2026-04-19T15:52:11.568715,-5.663587878316564e-6
2026-04-19T15:52:11.577048,-0.000011719805281005462
2026-04-19T15:52:11.585381,-0.000020386853409962192
2026-04-19T15:52:11.593714,-0.0000318823556423373
2026-04-19T15:52:11.602047,-0.000046410511341438374
2026-04-19T15:52:11.610380,-0.00006416098236334468
2026-04-19T15:52:11.618713,-0.00008530912513614372
2026-04-19T15:52:11.627046,-0.00011001667464129027
2026-04-19T15:52:11.635379,-0.00013843259857328547
2026-04-19T15:52:11.643712,-0.0001706940155537621
2026-04-19T15:52:11.652045,-0.00020692713173552172
2026-04-19T15:52:11.660378,-0.00024724817384873965
2026-04-19T15:52:11.668711,-0.0002917643070329023
2026-04-19T15:52:11.677044,-0.0003405745306545418
2026-04-19T15:52:11.685377,-0.0003937705477816701
2026-04-19T15:52:11.693710,-0.00045143760533772695
2026-04-19T15:52:11.702043,-0.0005136553027547525
2026-04-19T15:52:11.710376,-0.0005804983674532136
2026-04-19T15:52:11.718709,-0.000652037395826022
2026-04-19T15:52:11.727042,-0.0007283395586645646
2026-04-19T15:52:11.735375,-0.0008094692701714708
2026-04-19T15:52:11.743708,-0.0008954888198783338
2026-04-19T15:52:11.752041,-0.0009864589669381744
2026-04-19T15:52:11.760374,-0.0010824394963987554
2026-04-19T15:52:11.768707,-0.0011834897371880851
2026-04-19T15:52:11.777040,-0.0012896690416599392
2026-04-19T15:52:11.785373,-0.0014010372266567057
2026-04-19T15:52:11.793706,-0.0015176549761504068
2026-04-19T15:52:11.802039,-0.0016395842056210073
2026-04-19T15:52:11.810372,-0.001766888388424788
2026-04-19T15:52:11.818705,-0.0018996328444948998
2026-04-19T15:52:11.827038,-0.002037884991801618
2026-04-19T15:52:11.835371,-0.0021817145610815345
2026-04-19T15:52:11.843704,-0.0023311937744232318
2026-04-19T15:52:11.852037,-0.0024863974883719098
2026-04-19T15:52:11.860370,-0.002647403302287454
2026-04-19T15:52:11.868703,-0.002814291632759267
2026-04-19T15:52:11.877036,-0.0029871457549474375
2026-04-19T15:52:11.885369,-0.003166051811783224
2026-04-19T15:52:11.893702,-0.0033510987920227415
2026-04-19T15:52:11.902035,-0.003542378478206101
2026-04-19T15:52:11.910368,-0.003739985365630222
2026-04-19T15:52:11.918701,-0.00394401655349721
2026-04-19T15:52:11.927034,-0.00415457160945143
2026-04-19T15:52:11.935367,-0.004371752408767609
2026-04-19T15:52:11.943700,-0.004595662949499044
2026-04-19T15:52:11.952033,-0.004826409144939769
2026-04-19T15:52:11.960366,-0.005064098594796838
2026-04-19T15:52:11.968699,-0.005308840336509324
2026-04-19T15:52:11.977032,-0.00556074457818844
2026-04-19T15:52:11.985365,-0.005819922414689182
2026-04-19T15:52:11.993698,-0.006086485528357183
2026-04-19T15:52:12.002031,-0.006360545876025699
2026-04-19T15:52:12.010364,-0.00664221536386642
2026-04-19T15:52:12.018697,-0.006931605511723938
2026-04-19T15:52:12.027030,-0.007228827108587554
2026-04-19T15:52:12.035363,-0.00753398800185162
2026-04-19T15:52:12.043696,-0.007847192286289445
2026-04-19T15:52:12.052029,-0.008168543402248714
2026-04-19T15:52:12.060362,-0.008498144459513439
2026-04-19T15:52:12.068695,-0.008836096349833041
2026-04-19T15:52:12.077028,-0.009182497227285114
2026-04-19T15:52:12.085361,-0.009537442147728066
2026-04-19T15:52:12.093694,-0.009901022712280366
2026-04-19T15:52:12.102027,-0.010273326716605158
2026-04-19T15:52:12.110360,-0.010654437807776362
2026-04-19T15:52:12.118693,-0.01104443515049407
2026-04-19T15:52:12.127026,-0.01144339310440586
2026-04-19T15:52:12.135359,-0.011851380914275272
2026-04-19T15:52:12.143692,-0.012268462414719246
2026-04-19T15:52:12.152025,-0.01269469575121327
2026-04-19T15:52:12.160358,-0.013130133119035646
2026-04-19T15:52:12.168691,-0.013574820521790642
2026-04-19T15:52:12.177024,-0.014028797551115427
2026-04-19T15:52:12.185357,-0.014492097189135222
2026-04-19T15:52:12.193690,-0.014964745635188641
2026-04-19T15:52:12.202023,-0.015446762158296275
2026-04-19T15:52:12.210356,-0.015937532102737836
2026-04-19T15:52:12.218689,-0.01643530057102124
2026-04-19T15:52:12.227022,-0.01693828491102902
2026-04-19T15:52:12.235355,-0.017445559790982015
2026-04-19T15:52:12.243688,-0.017956598653830147
2026-04-19T15:52:12.252021,-0.018470920833848534
2026-04-19T15:52:12.260354,-0.018988089285717196
2026-04-19T15:52:12.268687,-0.01950770833118931
2026-04-19T15:52:12.277020,-0.02002942142605705
2026-04-19T15:52:12.285353,-0.02055290895166982
2026-04-19T15:52:12.293686,-0.021077886034915342
2026-04-19T15:52:12.302019,-0.021604100400242684
2026-04-19T15:52:12.310352,-0.02213133025698946
2026-04-19T15:52:12.318685,-0.022659382224971887
2026-04-19T15:52:12.327018,-0.023188089301006378
2026-04-19T15:52:12.335351,-0.023717308868754977
2026-04-19T15:52:12.343684,-0.02424692075402313
2026-04-19T15:52:12.352017,-0.02477682532738783
2026-04-19T15:52:12.360350,-0.02530694165579619
