time,rocket.v_body_u,rocket.v_body_v,rocket.v_body_w
2026-08-21T00:30:43.226598,0.0,0.0,0.0
2026-08-21T00:30:43.244053,0.0,0.0,0.0
2026-08-21T00:30:43.252386,-0.8180356510828461,0.0,-0.027960145598467545
2026-08-21T00:30:43.260719,-1.629512619957116,0.0,-0.05591910615766771
2026-08-21T00:30:43.269052,-2.4327898164827158,0.0,-0.08387450228472937
2026-08-21T00:30:43.277385,-3.227865667908687,0.0,-0.11182390987082713
2026-08-21T00:30:43.285718,-4.014738656180155,0.0,-0.13976481369484772
2026-08-21T00:30:43.294051,-4.7934073195295035,0.0,-0.167694563351251
2026-08-21T00:30:43.302384,-5.563870254003966,0.0,-0.19561033150480256
2026-08-21T00:30:43.310717,-6.326126114927785,0.0,-0.2235090744784518
2026-08-21T00:30:43.319050,-7.080173618297106,0.0,-0.251387495182227
2026-08-21T00:30:43.327383,-7.826011542105636,0.0,-0.2792420083931275
2026-08-21T00:30:43.335716,-8.56363872759898,0.0,-0.30706870839814604
2026-08-21T00:30:43.344049,-9.293054080455205,0.0,-0.3348633390145448
2026-08-21T00:30:43.352382,-10.014256571888957,0.0,-0.3626212660034156
2026-08-21T00:30:43.360715,-10.727245239676039,0.0,-0.3903374518941085
2026-08-21T00:30:43.369048,-11.432019189095067,0.0,-0.41800643323834663
2026-08-21T00:30:43.377381,-12.128577593782389,0.0,-0.4456223003137856
2026-08-21T00:30:43.385714,-12.816919696496143,0.0,-0.47317867929702384
2026-08-21T00:30:43.394047,-13.497044809784928,0.0,-0.5006687169263655
2026-08-21T00:30:43.402380,-14.168952316556277,0.0,-0.5280850676739277
2026-08-21T00:30:43.410713,-14.832641670539823,0.0,-0.5554198834459161
2026-08-21T00:30:43.419046,-15.488112396639796,0.0,-0.5826648058285118
2026-08-21T00:30:43.427379,-16.13536409117122,0.0,-0.6098109608949249
2026-08-21T00:30:43.435712,-16.774396421974146,0.0,-0.6368489565869258
2026-08-21T00:30:43.444045,-17.405209128400024,0.0,-0.6637688826813939
2026-08-21T00:30:43.452378,-18.027802021164415,0.0,-0.690560313349323
2026-08-21T00:30:43.460711,-18.64217498206016,0.0,-0.717212312310977
2026-08-21T00:30:43.469044,-19.248327963525256,0.0,-0.7437134405870367
2026-08-21T00:30:43.477377,-19.846260988059942,0.0,-0.7700517668410765
2026-08-21T00:30:43.485710,-20.43597414748769,0.0,-0.7962148803039515
2026-08-21T00:30:43.494043,-21.017467602055074,0.0,-0.82218990626553
2026-08-21T00:30:43.502376,-21.59074157936607,0.0,-0.8479635241137427
2026-08-21T00:30:43.510709,-22.155796373146657,0.0,-0.8735219878950851
2026-08-21T00:30:43.519042,-22.712632341836287,0.0,-0.898851149364674
2026-08-21T00:30:43.527375,-23.261249907003446,0.0,-0.9239364834875321
2026-08-21T00:30:43.535708,-23.80164955158317,0.0,-0.9487631163462549
2026-08-21T00:30:43.544041,-24.333831817935334,0.0,-0.9733158554031807
2026-08-21T00:30:43.552374,-24.85779730572333,0.0,-0.9975792220585156
2026-08-21T00:30:43.560707,-25.373546669613724,0.0,-1.0215374864382483
2026-08-21T00:30:43.569040,-25.881080616798513,0.0,-1.0451747043387059
2026-08-21T00:30:43.577373,-26.38039990434278,0.0,-1.0684747562470704
2026-08-21T00:30:43.585706,-26.871505336361416,0.0,-1.0914213883494597
2026-08-21T00:30:43.594039,-27.354397761030143,0.0,-1.1139982554311256
2026-08-21T00:30:43.602372,-27.829078067436907,0.0,-1.1361889655652462
2026-08-21T00:30:43.610705,-28.29554718228125,0.0,-1.1579771264796257
2026-08-21T00:30:43.619038,-28.753806066430283,0.0,-1.1793463934830797
2026-08-21T00:30:43.627371,-29.203855711341376,0.0,-1.2002805188259913
2026-08-21T00:30:43.635704,-29.645697135362774,0.0,-1.2207634023622091
2026-08-21T00:30:43.644037,-30.079331379924696,0.0,-1.2407791433726523
2026-08-21T00:30:43.652370,-30.50475950563451,0.0,-1.2603120934041208
2026-08-21T00:30:43.660703,-30.9219825882911,0.0,-1.279346909970286
2026-08-21T00:30:43.669036,-31.331001714834233,0.0,-1.297868610955737
2026-08-21T00:30:43.677369,-31.731817979246102,0.0,-1.3158626295580085
2026-08-21T00:30:43.685702,-32.124432478423046,0.0,-1.3333148695971389
2026-08-21T00:30:43.694035,-32.508846308036325,0.0,-1.350211761017249
2026-08-21T00:30:43.702368,-32.885060558401754,0.0,-1.3665403154001812
2026-08-21T00:30:43.710701,-33.25307631037828,0.0,-1.38228818130691
2026-08-21T00:30:43.719034,-33.61289463131664,0.0,-1.3974436992593002
2026-08-21T00:30:43.727367,-33.96451657107915,0.0,-1.4119959561716513
2026-08-21T00:30:43.735700,-34.30794315815215,0.0,-1.4259348390391473
2026-08-21T00:30:43.744033,-34.643175399214854,0.0,-1.4392504470708865
2026-08-21T00:30:43.752366,-34.970214271980666,0.0,-1.4519342352583529
2026-08-21T00:30:43.760699,-35.28906072183117,0.0,-1.4639786670837012
2026-08-21T00:30:43.769032,-35.59971565839803,0.0,-1.4753772125140703
2026-08-21T00:30:43.777365,-35.902179952400786,0.0,-1.486124396117912
2026-08-21T00:30:43.785698,-36.19645443270218,0.0,-1.496215843271175
2026-08-21T00:30:43.794031,-36.48253988360037,0.0,-1.5056483242566507
2026-08-21T00:30:43.802364,-36.760437042375386,0.0,-1.5144197960635069
2026-08-21T00:30:43.810697,-37.03014659710651,0.0,-1.5225294416985946
2026-08-21T00:30:43.819030,-37.29166918477539,0.0,-1.5299777068260525
2026-08-21T00:30:43.827363,-37.54500538966802,0.0,-1.5367663335578392
2026-08-21T00:30:43.835696,-37.79015574208688,0.0,-1.5428983912250978
2026-08-21T00:30:43.844029,-38.027120717382445,0.0,-1.548378303967386
2026-08-21T00:30:43.852362,-38.25590073531128,0.0,-1.5532118749860935
2026-08-21T00:30:43.860695,-38.47649615972534,0.0,-1.5574063073172297
2026-08-21T00:30:43.869028,-38.68890729859518,0.0,-1.5609702209894145
2026-08-21T00:30:43.877361,-38.893134404366606,0.0,-1.5639136664432947
2026-08-21T00:30:43.885694,-39.0891776746486,0.0,-1.5662481341010768
2026-08-21T00:30:43.894027,-39.277037253226965,0.0,-1.5679865599863483
2026-08-21T00:30:43.902360,-39.456713231396094,0.0,-1.5691433273080229
2026-08-21T00:30:43.910693,-39.62820564959853,0.0,-1.5697342639354694
2026-08-21T00:30:43.919026,-39.79643286448197,0.0,-1.5697749603926177
2026-08-21T00:30:43.927359,-39.96467323580919,0.0,-1.5692793026896972
2026-08-21T00:30:43.935692,-40.132925749118755,0.0,-1.5682610819588305
2026-08-21T00:30:43.944025,-40.30118932525219,0.0,-1.5667352363022076
2026-08-21T00:30:43.952358,-40.46946282246114,0.0,-1.5647178694179757
2026-08-21T00:30:43.960691,-40.6377450385111,0.0,-1.5622262687069934
2026-08-21T00:30:43.969024,-40.8060347129379,0.0,-1.5592789223172545
2026-08-21T00:30:43.977357,-40.97433052944213,0.0,-1.5558955351196602
2026-08-21T00:30:43.985690,-41.14263111840512,0.0,-1.5520970436107717
2026-08-21T00:30:43.994023,-41.310935059508516,0.0,-1.5479056297393328
2026-08-21T00:30:44.002356,-41.47924088443787,0.0,-1.5433447336550792
2026-08-21T00:30:44.010689,-41.647547079648966,0.0,-1.5384390653793432
2026-08-21T00:30:44.019022,-41.815852089174484,0.0,-1.5332146153989932
2026-08-21T00:30:44.027355,-41.98415431744671,0.0,-1.5276986641862358
2026-08-21T00:30:44.035688,-42.1524521321108,0.0,-1.5219197906482513
2026-08-21T00:30:44.044021,-42.32074386680175,0.0,-1.515907879512472
2026-08-21T00:30:44.052354,-42.48902782385691,0.0,-1.5096941276542495
2026-08-21T00:30:44.060687,-42.65730227693441,0.0,-1.5033110493754407
2026-08-21T00:30:44.069020,-42.82556547350722,0.0,-1.49679248064378
