time,drone.torque_0,drone.torque_1,drone.torque_2,drone.torque_3
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-0.00030078161957320103,-0.00030359598226923186,0.00029801932743789365,0.00030490417305732893
2026-08-21T00:30:40.736147,-0.0010823183763186163,-0.00112465061060903,0.0010894397832116698,0.0011095446873486603
2026-08-21T00:30:40.746146,-0.002205742101352568,-0.002290121154640877,0.002249166527151263,0.0022527536871538145
2026-08-21T00:30:40.756145,-0.0036464553522132363,-0.0036202907343708857,0.0036481619397448445,0.003657096454604636
2026-08-21T00:30:40.766144,-0.0051366194300922425,-0.0052276219647331545,0.005170786721655772,0.005216470004176527
2026-08-21T00:30:40.776143,-0.0067101313033628,-0.006921258511143995,0.006760709816727061,0.006886481067174699
2026-08-21T00:30:40.786142,-0.008361889847445767,-0.008637455981666212,0.008437793784440059,0.008523199750714075
2026-08-21T00:30:40.796141,-0.010118144340067454,-0.010253746544454318,0.010041214120831997,0.010276465517746572
2026-08-21T00:30:40.806140,-0.011856098327459711,-0.011810674331651973,0.011633226622077672,0.011946294042103952
2026-08-21T00:30:40.816139,-0.013386191561052035,-0.013461806158140296,0.01333654406543616,0.01336639869516687
2026-08-21T00:30:40.826138,-0.015004208299826882,-0.014895598342786358,0.015000947826681526,0.014760522889366197
2026-08-21T00:30:40.836137,-0.016407436529779062,-0.016442084625331192,0.016497341678891126,0.0161766739144075
2026-08-21T00:30:40.846136,-0.017966927844315816,-0.017623088500085572,0.017802344682985017,0.017624101172504136
2026-08-21T00:30:40.856135,-0.019263415644904337,-0.018932150079894017,0.01910726309006839,0.018949806316016168
2026-08-21T00:30:40.866134,-0.020446184317005903,-0.020185253125444228,0.020222200446131985,0.020274171268879308
2026-08-21T00:30:40.876133,-0.02138327113880621,-0.021484278464861815,0.02132706792884617,0.021434039057226708
2026-08-21T00:30:40.886132,-0.022157647076035056,-0.022721347601561085,0.022381415633610523,0.02249710614318529
2026-08-21T00:30:40.896131,-0.023141013978001893,-0.023653203712404376,0.023161792730405025,0.023645935202356742
2026-08-21T00:30:40.906130,-0.024234309490854183,-0.02433010314964353,0.024109974130290587,0.024540208648547245
2026-08-21T00:30:40.916129,-0.025101434219877063,-0.02509145384464831,0.024904521556423302,0.02543814074371363
2026-08-21T00:30:40.926128,-0.025742084494834252,-0.025947668582608555,0.025740692166881744,0.0261229096918122
2026-08-21T00:30:40.936127,-0.02625085245459481,-0.026827846809599116,0.026612274156162182,0.026623324060855765
2026-08-21T00:30:40.946126,-0.02704570344908219,-0.02733379501664898,0.02726335084009304,0.0272507712787099
2026-08-21T00:30:40.956125,-0.027856159049603722,-0.02771225875656732,0.027638487852306527,0.028023483164079835
2026-08-21T00:30:40.966124,-0.02829181532160734,-0.028345213649837383,0.02815177721749925,0.028604558990398155
2026-08-21T00:30:40.976123,-0.028751255157787186,-0.02880531840059775,0.028625531494858355,0.029132834452992376
2026-08-21T00:30:40.986122,-0.02907419265468031,-0.029372425795039514,0.02915116777911947,0.029513351920625368
2026-08-21T00:30:40.996121,-0.029499398141936976,-0.029733515705336003,0.02967808393651112,0.029819146704392844
2026-08-21T00:30:41.006120,-0.029983215914130973,-0.0300257949560161,0.03001682405426837,0.03022663964906728
2026-08-21T00:30:41.016119,-0.0301371811733743,-0.030521715115129504,0.030490674986555454,0.030412888049357698
2026-08-21T00:30:41.026118,-0.03049986270631709,-0.0308328667276783,0.030879463535963513,0.030619137970651723
2026-08-21T00:30:41.036117,-0.03071862642115281,-0.031194692414510797,0.03095654578254501,0.03110999944552751
2026-08-21T00:30:41.046116,-0.03099363101310211,-0.031467622716217065,0.031169316307038418,0.031353643808166944
2026-08-21T00:30:41.049449,-0.03115357528740417,-0.03148012007123135,0.0312838500660946,0.03138036768434278
