time,drone.inertia_0,drone.inertia_1,drone.inertia_2,drone.inertia_3,drone.inertia_4,drone.inertia_5,drone.inertia_6
2026-08-21T00:30:40.695630,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.726148,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.736147,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.746146,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.756145,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.766144,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.776143,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.786142,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.796141,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.806140,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.816139,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.826138,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.836137,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.846136,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.856135,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.866134,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.876133,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.886132,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.896131,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.906130,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.916129,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.926128,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.936127,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.946126,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.956125,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.966124,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.976123,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.986122,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:40.996121,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.006120,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.016119,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.026118,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.036117,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.046116,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
2026-08-21T00:30:41.049449,0.0854,0.1149,0.1604,0.0,0.0,0.0,2.586
