time,drone.world_pos_q0,drone.world_pos_q1,drone.world_pos_q2,drone.world_pos_q3,drone.world_pos_x,drone.world_pos_y,drone.world_pos_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2026-08-21T00:30:40.726148,-1.0288448933462457e-8,-1.7304557095851352e-9,-1.866597695433532e-10,1.0,-4.0051341706888804e-8,-2.9036830289848127e-10,1.9994562178128594
2026-08-21T00:30:40.736147,-8.163845865928161e-8,2.2141162876987065e-7,-3.4364540564663563e-9,0.9999999999999722,-5.014473927971935e-7,-2.279868455957841e-9,1.9979441748636388
2026-08-21T00:30:40.746146,7.049320164000107e-7,1.5239322085089904e-6,5.74786777664927e-9,0.9999999999985905,-2.247229859598164e-6,1.997989745338657e-8,1.9954898523153797
2026-08-21T00:30:40.756145,2.924534059564354e-6,3.3232000202780033e-6,5.473998764633536e-8,0.9999999999902003,-6.47161265310571e-6,8.236652587296679e-8,1.9921298379917958
2026-08-21T00:30:40.766144,4.802449492275443e-6,4.114278716237629e-6,1.3841121718829572e-7,0.9999999999799951,-0.000014596846114857893,1.338980327091102e-7,1.987908021325174
2026-08-21T00:30:40.776143,7.843423836535708e-6,6.471973143124657e-6,2.717047407955918e-7,0.9999999999482604,-0.000028239851055031703,2.1622557455644991e-7,1.9828728590457263
2026-08-21T00:30:40.786142,0.00001338058445021972,0.00001373249760630358,4.537551432204749e-7,0.9999999998160863,-0.000049110161211793395,3.6536773734904035e-7,1.9770754374101651
2026-08-21T00:30:40.796141,0.000022064435823302785,0.000026305835869376694,6.462657231955145e-7,0.9999999994103731,-0.0000789190383486755,5.963118322903372e-7,1.9705680366327691
2026-08-21T00:30:40.806140,0.000028304157692785556,0.00004320241968507525,7.169814093360451e-7,0.9999999986659558,-0.00011935640260882932,7.449451818757458e-7,1.9634029569727272
2026-08-21T00:30:40.816139,0.00002815904782603604,0.00006188543517904526,5.524795081497066e-7,0.9999999976884779,-0.00017204662587092247,6.941281961013182e-7,1.955631244202223
2026-08-21T00:30:40.826138,0.00002749381768217512,0.00007615271102417381,1.9811813973914398e-7,0.9999999967224078,-0.0002385059464357612,6.070822023269567e-7,1.9473020819440927
