time,drone.accel_x,drone.accel_y,drone.accel_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0
2026-08-21T00:30:40.726148,0.007895543594338528,-0.00711084973353006,0.0038480351662961623
2026-08-21T00:30:40.736147,0.016687529484934526,-0.019166833052154185,0.011262079887499991
2026-08-21T00:30:40.746146,0.002930478083286116,-0.015056409760087422,0.029504872429366526
2026-08-21T00:30:40.756145,-0.010096105362018177,0.000674447309195293,0.05892920274996088
2026-08-21T00:30:40.766144,-0.016355766696765046,0.00882263237299412,0.10387745077992454
2026-08-21T00:30:40.776143,-0.011276660563054288,0.008563062350161459,0.15688584981623488
2026-08-21T00:30:40.786142,-0.013356017147798153,0.011021884455741043,0.21522150428998596
2026-08-21T00:30:40.796141,-0.01541754167605181,0.008556844514906549,0.273935921218297
2026-08-21T00:30:40.806140,-0.022934079157790454,-0.0054778382334747695,0.3307017130395252
2026-08-21T00:30:40.816139,-0.014199633756722972,-0.006535983397061387,0.3794215846698898
2026-08-21T00:30:40.826138,-0.010328648613920143,-0.004861599353662972,0.4207285306208422
2026-08-21T00:30:40.836137,-0.01545911019858483,-0.004074954673588286,0.4639463322497368
2026-08-21T00:30:40.846136,-0.008583427696472938,-0.007912732657681342,0.5123252126946503
2026-08-21T00:30:40.856135,-0.010643144841911579,-0.0028079036011455748,0.5599972237662447
2026-08-21T00:30:40.866134,-0.012990790019089203,0.010962959212203988,0.5983871063314108
2026-08-21T00:30:40.876133,-0.029181831937238407,0.017324868820863464,0.6248398004414362
2026-08-21T00:30:40.886132,-0.019580229297558784,0.010655090329389494,0.6680015841240976
2026-08-21T00:30:40.896131,-0.019372488233486102,0.003736734618593448,0.7026310806403518
2026-08-21T00:30:40.906130,-0.029537072729368338,-0.0009072377848410334,0.7427814375711442
2026-08-21T00:30:40.916129,-0.02803909625921105,0.009981435690722648,0.7730838407134548
2026-08-21T00:30:40.926128,-0.022176012223037462,0.011435433944185048,0.7915058756165929
2026-08-21T00:30:40.936127,-0.02093425150787745,0.004667043213424906,0.8205124404868158
2026-08-21T00:30:40.946126,-0.025048454351097288,-0.007582016779134747,0.8487858233023836
2026-08-21T00:30:40.956125,-0.026096875650077418,-0.011940206566128084,0.8688282812571607
2026-08-21T00:30:40.966124,-0.028763062484884794,-0.0015999555443540828,0.8904277049342243
2026-08-21T00:30:40.976123,-0.038868093268717895,0.0023309388130941236,0.906082274000963
2026-08-21T00:30:40.986122,-0.03777746848917122,-0.003186381039982777,0.9207750086590709
2026-08-21T00:30:40.996121,-0.03635243765418571,0.0019491717648417982,0.9325754442897205
2026-08-21T00:30:41.006120,-0.035114690277778166,0.0016139034364452951,0.9424235205965925
2026-08-21T00:30:41.016119,-0.02455379235222348,-0.002077656825728573,0.9541797148823641
2026-08-21T00:30:41.026118,-0.023712406199421533,0.0006470834132737915,0.9658448117680785
2026-08-21T00:30:41.036117,-0.0250846501831822,0.000961564045768218,0.9830452227181703
2026-08-21T00:30:41.046116,-0.023304553576472403,0.007242052262604253,0.9820428997670003
2026-08-21T00:30:41.049449,-0.024260381884920666,0.008679070278711766,0.9839361541208206
