time,drone.force_τx,drone.force_τy,drone.force_τz,drone.force_x,drone.force_y,drone.force_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-0.00016872834458333877,0.0002654400779872014,-0.000011591891783660689,-0.008030479809360587,-0.00007153311871205315,-25.1254793901868
2026-08-21T00:30:40.736147,0.0009055720312461056,0.0023742548815603374,-4.113577269096956e-6,-0.029483703338665658,0.0003904818454360423,-24.480602395564954
2026-08-21T00:30:40.746146,0.003326351198622823,0.0027933023176770658,0.00013353885871313502,-0.05994236809335329,0.0014174434686815294,-23.554286237149306
2026-08-21T00:30:40.756145,-0.0014043042626222496,-0.0037769079759844095,0.00011613825251936511,-0.09600383663211415,-0.0006317668382803511,-22.429231596113006
2026-08-21T00:30:40.766144,0.0018853268292143607,0.0030016678917284484,0.00015796715127499837,-0.1377566133517459,0.0007580652294445652,-21.181516388517373
2026-08-21T00:30:40.776143,0.003523579026389475,0.012117985698005929,0.0001810252740271127,-0.1820752570467258,0.0014181446144444245,-19.86310993607004
2026-08-21T00:30:40.786142,0.007777078863972763,0.012048147980462106,0.00009173209630895585,-0.22615910492904004,0.0031670604048991253,-18.512961819556683
2026-08-21T00:30:40.796141,-0.00414911186065855,0.01123122680695846,-0.0003618948673904663,-0.2703174215512421,-0.0020983560440711855,-17.15287408666454
2026-08-21T00:30:40.806140,-0.014819685090916973,0.004570002651503592,-0.0008466696902178035,-0.3124195753718104,-0.006830784794818415,-15.827208503916454
2026-08-21T00:30:40.816139,0.0017367508239155684,-0.0051062944655934795,-0.0005534162240438968,-0.35231844898489323,0.00019320999858927525,-14.552127645038642
2026-08-21T00:30:40.826138,0.005280072455642735,-0.02993928287761793,-0.0004119824394451373,-0.38897416732586043,0.0016548724187416758,-13.316135695092456
2026-08-21T00:30:40.836137,0.014428544292906699,-0.027822947881194063,-0.0002723213396086374,-0.4276389539138546,0.00544200369492931,-12.13033959879217
2026-08-21T00:30:40.846136,-0.006967936242905843,-0.04117937499083148,-0.0009158250665490977,-0.4622448309508243,-0.0040169289158192255,-11.019008947042831
2026-08-21T00:30:40.856135,-0.0072806210778451255,-0.04048064472370244,-0.0008214054716024537,-0.4974821617680274,-0.004411236395522175,-9.95973714206153
2026-08-21T00:30:40.866134,-0.012993546735144893,-0.026902716961596598,-0.0009921481810642634,-0.5326237579213253,-0.006939791350679619,-8.973510974251063
2026-08-21T00:30:40.876133,-0.00035062369617245545,-0.006120610532351346,-0.00045905238817248677,-0.5667463854685533,-0.0013882521500814394,-8.063005773941146
2026-08-21T00:30:40.886132,0.018411691975302458,0.01756638900435564,0.0006018222300132525,-0.5990137490176667,0.006751757286419517,-7.227731638913291
2026-08-21T00:30:40.896131,0.0011665192772844736,0.033280836765426654,0.00009728483978063113,-0.6282257076258561,-0.0007608721692955917,-6.450056858649145
2026-08-21T00:30:40.906130,-0.013659477263250515,0.008120719466273739,-0.0000886252386593044,-0.6503349628382469,-0.007306464809720103,-5.719266360660811
2026-08-21T00:30:40.916129,-0.02219190710393444,0.007340085956265536,-0.00010211450732948407,-0.6734740489026823,-0.010851651773868425,-5.047657192828485
2026-08-21T00:30:40.926128,-0.007086873234138693,0.010078209189926364,0.000496530905812516,-0.6949854686708989,-0.003732342267394114,-4.437432500891781
2026-08-21T00:30:40.936127,0.02341386785523823,0.009544168568868831,0.0014337229687514412,-0.7142256092405086,0.010171952634948241,-3.8792392517034706
2026-08-21T00:30:40.946126,0.012489489251212684,-0.007210763636805302,0.0009795403443179067,-0.7300630484769203,0.005911936361606285,-3.3578973505088037
2026-08-21T00:30:40.956125,-0.021643599823105913,-0.009460851830914632,-0.000324751122337875,-0.7462460980539907,-0.008466378583881265,-2.885751530407724
2026-08-21T00:30:40.966124,-0.016295241219105437,0.0038902720850220165,-0.00004059176166360718,-0.7634131361082684,-0.005543512203101141,-2.448980916629374
2026-08-21T00:30:40.976123,-0.01842695513389885,0.0063789723878683105,0.00023366498799089894,-0.7775378494459535,-0.005355892497284965,-2.0610122326021845
2026-08-21T00:30:40.986122,-0.002412528737127457,0.011172039772302874,0.0008329869540375241,-0.7909975450728437,0.003122725459909836,-1.6985700742992016
2026-08-21T00:30:40.996121,0.004085152126258547,-0.003974543019551894,0.0012477254777258399,-0.800565026496559,0.007664157357254781,-1.371938135636352
2026-08-21T00:30:41.006120,-0.00664161825247884,-0.010657570598514422,0.0007665125958856462,-0.8105992962865517,0.004915333959392262,-1.0650521917549405
2026-08-21T00:30:41.016119,0.019240946328223867,-0.00809182618278025,0.0016748504483905405,-0.8206021501550423,0.017912417452921412,-0.8011365405029807
2026-08-21T00:30:41.026118,0.02454664311194446,-0.02050954359767275,0.0015289086813265016,-0.8286946072138185,0.021691941326520216,-0.5456697413771252
2026-08-21T00:30:41.036117,0.013409531217722122,0.008207775164620582,0.0010901102395846297,-0.8415348806553562,0.017757816774467885,-0.31478249709481076
2026-08-21T00:30:41.046116,0.011965145266093095,0.009506042666767613,0.0006571738497237788,-0.8498141319670459,0.01754628694051053,-0.1129389683589217
2026-08-21T00:30:41.049449,0.009483217130377919,-0.0027844913804589647,0.0004489420983717355,-0.8507587089647887,0.01654359793836138,-0.049877216174930794
