time,drone.gyro_bias_estimate.x,drone.gyro_bias_estimate.y,drone.gyro_bias_estimate.z
2026-03-19T22:50:45.258700,0.0,0.0,0.0
2026-03-19T22:50:45.270542,0.0,0.0,0.0
2026-03-19T22:50:45.280541,0.0,0.0,0.0
2026-03-19T22:50:45.290540,0.0,0.0,0.0
2026-03-19T22:50:45.300539,0.0,0.0,0.0
2026-03-19T22:50:45.310538,0.0,0.0,0.0
2026-03-19T22:50:45.320537,0.0,0.0,0.0
2026-03-19T22:50:45.330536,0.0,0.0,0.0
2026-03-19T22:50:45.340535,0.0,0.0,0.0
2026-03-19T22:50:45.350534,0.0,0.0,0.0
2026-03-19T22:50:45.360533,0.0,0.0,0.0
2026-03-19T22:50:45.370532,0.0,0.0,0.0
2026-03-19T22:50:45.380531,0.0,0.0,0.0
2026-03-19T22:50:45.390530,0.0,0.0,0.0
2026-03-19T22:50:45.400529,0.0,0.0,0.0
2026-03-19T22:50:45.410528,0.0,0.0,0.0
2026-03-19T22:50:45.420527,0.0,0.0,0.0
2026-03-19T22:50:45.430526,0.0,0.0,0.0
2026-03-19T22:50:45.440525,0.0,0.0,0.0
2026-03-19T22:50:45.450524,0.0,0.0,0.0
2026-03-19T22:50:45.460523,0.0,0.0,0.0
2026-03-19T22:50:45.470522,0.0,0.0,0.0
2026-03-19T22:50:45.480521,0.0,0.0,0.0
2026-03-19T22:50:45.490520,0.0,0.0,0.0
2026-03-19T22:50:45.500519,0.0,0.0,0.0
2026-03-19T22:50:45.510518,0.0,0.0,0.0
2026-03-19T22:50:45.520517,0.0,0.0,0.0
2026-03-19T22:50:45.530516,0.0,0.0,0.0
2026-03-19T22:50:45.540515,0.0,0.0,0.0
2026-03-19T22:50:45.550514,0.0,0.0,0.0
2026-03-19T22:50:45.560513,0.0,0.0,0.0
2026-03-19T22:50:45.570512,0.0,0.0,0.0
2026-03-19T22:50:45.580511,0.0,0.0,0.0
2026-03-19T22:50:45.590510,0.0,0.0,0.0
2026-03-19T22:50:45.593843,0.0,0.0,0.0
