time,drone.body_thrust_τx,drone.body_thrust_τy,drone.body_thrust_τz,drone.body_thrust_x,drone.body_thrust_y,drone.body_thrust_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-0.0001687283447035859,0.00026544007810222757,-0.000011591887399416893,-0.008030555486084888,-0.00007153677648043602,0.2424249261809736
2026-08-21T00:30:40.736147,0.0009055720187904696,0.0023742548874915196,-4.1128958927231975e-6,-0.029485332337130528,0.00039033480111016,0.8847054925386364
2026-08-21T00:30:40.746146,0.003326350864802697,0.0027933024393191094,0.00013354462934249715,-0.05995365517005146,0.001419449262538175,1.8067430864077099
2026-08-21T00:30:40.756145,-0.001404305359608505,-0.0037769072229929318,0.00011614947546400092,-0.09604181872957414,-0.0006158892076820605,2.926073698828916
2026-08-21T00:30:40.766144,0.0018853263246914847,0.0030016688634437482,0.00015795470783908257,-0.13783375291513553,0.0007965925364251669,4.166887772736109
2026-08-21T00:30:40.776143,0.0035235830128059974,0.012117986582766055,0.00018088840176051866,-0.18222479953450654,0.001499813247125975,5.477488016663494
2026-08-21T00:30:40.786142,0.007777086942481689,0.012048143575536399,0.00009162568089823332,-0.22647421998195383,0.003339972332138841,6.819185245346729
2026-08-21T00:30:40.796141,-0.004149079890262144,0.011231216731976613,-0.00036257344115934315,-0.2709432457221216,-0.0017516369932114029,8.170418042138136
2026-08-21T00:30:40.806140,-0.014819608699297441,0.004569976638938932,-0.0008481459262947178,-0.3135276976293046,-0.006299545558809322,9.487035361277881
2026-08-21T00:30:40.816139,0.0017368110865828238,-0.005106327773769902,-0.0005529195484933625,-0.35405970858119684,0.0008011706455254008,10.753048381163754
2026-08-21T00:30:40.826138,0.0052801194702410586,-0.029939308056061213,-0.0004095429129207951,-0.3913805526130913,0.0023130937672881102,11.980106652103869
2026-08-21T00:30:40.836137,0.014428599263113365,-0.02782295765821931,-0.00026838140292822013,-0.4304793483577653,0.006238811076748507,13.157239399855264
2026-08-21T00:30:40.846136,-0.0069677433282324865,-0.041179457444418574,-0.000913582600769014,-0.46516752693741614,-0.002912232833736761,14.260273961828885
2026-08-21T00:30:40.856135,-0.007280416517348898,-0.04048074219368569,-0.0008184095898924743,-0.4999393181675434,-0.003056044287642057,15.311694436496618
2026-08-21T00:30:40.866134,-0.012993400957606325,-0.026902879058731646,-0.0009896588268158216,-0.5339549212757437,-0.005499540603167652,16.290573022039496
2026-08-21T00:30:40.876133,-0.00035062633623723157,-0.006120648017535714,-0.0004585503003027118,-0.5664056569477378,-0.00010677485380200524,17.19425701244234
2026-08-21T00:30:40.886132,0.01841162870268368,0.017566641763486785,0.0005963553555878229,-0.596761231058799,0.007870538152118078,18.023233883424737
2026-08-21T00:30:40.896131,0.001166067006330606,0.033280860212002474,0.0000946501833058444,-0.6242206450961054,0.0004929828498968503,18.795130087903814
2026-08-21T00:30:40.906130,-0.013659653767178365,0.00812047586370523,-0.00008359961658466197,-0.6449558756595923,-0.005873772858062176,19.52065422307356
2026-08-21T00:30:40.916129,-0.022192101654155465,0.007339631329710778,-0.00009201219043144387,-0.6668539185720452,-0.009547024564780904,20.187505109120504
2026-08-21T00:30:40.926128,-0.007086838588728743,0.010078061329886012,0.0005000143012514856,-0.68719073342036,-0.0030997865177921358,20.793468839324014
2026-08-21T00:30:40.936127,0.02341446161550832,0.00954475721312388,0.001420042310311273,-0.7054108198888343,0.009945348702367685,21.347868227388076
2026-08-21T00:30:40.946126,0.012490303705615425,-0.007210447111866742,0.0009714520351717798,-0.720368572598826,0.005284662622521641,21.865865596022992
2026-08-21T00:30:40.956125,-0.02164354397023874,-0.009461462479742375,-0.0003103644849205972,-0.735560975841755,-0.009289766966692425,22.335097907326176
2026-08-21T00:30:40.966124,-0.016295383311187787,0.003889785198821991,-0.000028369419051002542,-0.751582896247402,-0.007014039319582666,22.769368220381978
2026-08-21T00:30:40.976123,-0.018426965022411076,0.006378368671762064,0.0002488708670037934,-0.7646268405672401,-0.007958622153690253,23.15520998475031
2026-08-21T00:30:40.986122,-0.002412196374504565,0.011171812247201178,0.0008369914044316987,-0.7771329245316736,-0.0011193754666595224,23.515866773430897
2026-08-21T00:30:40.996121,0.004086368528953046,-0.003974720221192749,0.0012431694918767777,-0.7859339979440992,0.0016397436829950207,23.841025904622054
2026-08-21T00:30:41.006120,-0.00664056620071095,-0.010658039079528543,0.000769109320479338,-0.795169097381992,-0.0029335630024078796,24.146737409141057
2026-08-21T00:30:41.016119,0.019242804900990937,-0.008091863762104752,0.0016531760342832665,-0.8041718764596985,0.008126563706945089,24.409771683783475
2026-08-21T00:30:41.026118,0.02454881871124536,-0.020509468381711707,0.0014946019496248145,-0.8110001766494992,0.010426614037354787,24.664612475382004
2026-08-21T00:30:41.036117,0.013410475570268528,0.00820763404340822,0.0010795042173105153,-0.8222533398647096,0.005670471335765925,24.89511900259453
2026-08-21T00:30:41.046116,0.011965655049631324,0.009506025100659395,0.0006480832575703477,-0.8290707276146068,0.00508992238772199,25.096787033060863
2026-08-21T00:30:41.049449,0.009483804854676751,-0.002784479385286326,0.0004364268882173887,-0.8295883417360621,0.004041644193388927,25.15982871892397
