time,drone.motor_input_roll,drone.motor_input_pitch,drone.motor_input_yaw,drone.motor_input_throttle
2026-05-06T20:26:42.783427,0.0,0.0,0.0,0.0
2026-05-06T20:26:42.794510,-0.0060787661032805545,0.032763167199001686,0.00042046808767699415,0.739
2026-05-06T20:26:42.804509,0.046080212795155916,0.04411571508045048,0.0004996663293007892,0.739
2026-05-06T20:26:42.814508,-0.021141668158790303,-0.028118010116159668,-0.0016283097743349756,0.739
2026-05-06T20:26:42.824507,-0.06895576919555832,0.004122773938760175,0.00038275741293069404,0.739
2026-05-06T20:26:42.834506,0.06615922329172222,0.06477723886773187,-0.003375226702305145,0.739
2026-05-06T20:26:42.844505,-0.010818981353622213,0.07085236361703659,-0.0001294297817838561,0.739
2026-05-06T20:26:42.854504,0.03996548348856782,-0.007206677188655482,-0.005094009947004346,0.739
2026-05-06T20:26:42.864503,-0.0819276845548212,-0.0025709201566041047,-0.004142330955995272,0.739
2026-05-06T20:26:42.874502,-0.07385905717972582,-0.022150558143678615,-0.0035240964773275473,0.739
2026-05-06T20:26:42.884501,0.09069935181385154,-0.07638197952098409,-0.007100842872085417,0.739
2026-05-06T20:26:42.894500,0.05135759067697665,-0.04194982485199447,-0.00442144303184705,0.739
2026-05-06T20:26:42.904499,-0.023757644712364443,0.039804171787174436,-0.004363414717133291,0.739
2026-05-06T20:26:42.914498,-0.04590077832116414,-0.07187293928098237,-0.0033109056324048497,0.739
2026-05-06T20:26:42.924497,0.010205655136652982,0.035058817825786084,-0.005142431231358446,0.739
2026-05-06T20:26:42.934496,0.006985425083285337,0.0475283872303245,-0.0018992880061240798,0.739
2026-05-06T20:26:42.944495,0.09704824206903673,0.07733689552637228,-0.007058644642391104,0.739
2026-05-06T20:26:42.954494,0.012759818364951207,0.037459954056799236,0.0010150033495857874,0.739
2026-05-06T20:26:42.964493,-0.06248541334350284,0.014437009706960715,0.0031896332489914593,0.739
2026-05-06T20:26:42.974492,-0.05080982277089939,-0.0891648564341742,0.004504360056386585,0.739
2026-05-06T20:26:42.984491,-0.02969260319727043,0.04404071614276105,0.0010494851829050932,0.739
2026-05-06T20:26:42.994490,0.11662277301681394,0.030396301222783896,0.0034119054171005527,0.739
2026-05-06T20:26:43.004489,0.05168969549150996,-0.015312682367019373,0.006416345044373381,0.739
2026-05-06T20:26:43.014488,-0.0710156931778146,-0.055783896800459386,0.002783328467049561,0.739
2026-05-06T20:26:43.024487,-0.04750076882223143,0.014508290709002638,0.0016343751914800336,0.739
2026-05-06T20:26:43.034486,-0.015060342051387095,0.025477001275876415,0.004891108887575088,0.739
2026-05-06T20:26:43.044485,-0.0006729919796529618,0.0014041218301663206,0.009247378614478184,0.739
2026-05-06T20:26:43.054484,0.08606771587565598,0.03293964968857383,0.007198481805648171,0.739
2026-05-06T20:26:43.064483,-0.036057756278206565,-0.04573049369985482,0.0033248163069661335,0.739
2026-05-06T20:26:43.074482,0.05600783858717742,-0.02109545854892473,0.004312979760018768,0.739
2026-05-06T20:26:43.084481,0.06941794061719611,0.026144673411523052,0.0008115068784502303,0.739
2026-05-06T20:26:43.094480,0.026118838105749637,-0.025782063990085386,0.0009680267469676801,0.739
2026-05-06T20:26:43.104479,-0.034494353133670344,0.10217736045146424,-0.0006144119710331768,0.739
2026-05-06T20:26:43.114478,0.007454967738467128,-0.04784387476969107,0.001506082644517216,0.739
2026-05-06T20:26:43.117811,-0.016608510099310476,-0.07440088219714723,-0.0003020213593448118,0.739
