time,drone.world_vel_ωx,drone.world_vel_ωy,drone.world_vel_ωz,drone.world_vel_x,drone.world_vel_y,drone.world_vel_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-7.243621646699043e-6,2.532285879223287e-6,-1.7488997892228288e-7,-0.000012330862068560538,-1.0195651978349896e-7,-0.09772558236361027
2026-08-21T00:30:40.736147,-7.497475247232067e-7,0.00010466710999633449,-9.549973434545714e-7,-0.00008586350169150194,-4.70897280660745e-9,-0.19360590080636597
2026-08-21T00:30:40.746146,0.0003245523780862,0.0003887406413924028,5.34676894906115e-6,-0.0002632628007088192,4.581564943141226e-6,-0.2863543027332169
2026-08-21T00:30:40.756145,0.0004583398879396884,0.0002490349605913636,0.000013417427284030486,-0.000570590018758085,6.402667989299989e-6,-0.3750694167553582
2026-08-21T00:30:40.766144,0.0003768799972708596,0.0001829272745889073,0.000020318250510809915,-0.001030168237615425,5.094783419253032e-6,-0.45915291478109027
2026-08-21T00:30:40.776143,0.0008038193753177055,0.0008202305557296618,0.00003128622656183181,-0.0016570928580670998,0.000010870437248585855,-0.5382486201629911
2026-08-21T00:30:40.786142,0.001432644673357461,0.0019405938099653958,0.00003997292640367023,-0.002456148452700916,0.00001926931438002304,-0.6121633017260751
2026-08-21T00:30:40.796141,0.0017355142296347171,0.0029675057013918344,0.00003284955761692958,-0.003425934533535564,0.00002260089254492929,-0.6808241518254886
2026-08-21T00:30:40.806140,0.0006540181219454751,0.003621438169339956,-5.460610316691424e-6,-0.004562125924605249,5.697052432620992e-6,-0.7442942787891847
2026-08-21T00:30:40.816139,-0.0002227311530268396,0.003694112050189222,-0.00005110542774193328,-0.005857250845505868,-8.748930079294243e-6,-0.8027449976766814
2026-08-21T00:30:40.826138,2.1567276504091222e-7,0.001865489011629664,-0.00008509108782397307,-0.0072978502288666884,-7.831866410448931e-6,-0.8563467545494033
2026-08-21T00:30:40.836137,0.001441663543487781,-0.0008733968049332566,-0.00010516749923544394,-0.008884505964828327,0.000010001237084995107,-0.9052659403043348
2026-08-21T00:30:40.846136,0.001551879725238496,-0.0037432150608121984,-0.00014919094968293022,-0.010614100395979754,8.105981722182093e-6,-0.9497680103401868
2026-08-21T00:30:40.856135,0.0006064165166381332,-0.007511133861846779,-0.0002040649005367486,-0.012476551114550379,-9.861693166043855e-6,-0.990081196791456
2026-08-21T00:30:40.866134,-0.0008269194351645844,-0.010455803569625792,-0.0002656767085686676,-0.014475928751875608,-0.000035375269231152786,-1.0264529393736879
2026-08-21T00:30:40.876133,-0.001774666456832803,-0.01191425660503532,-0.00031277918809373125,-0.016608830708903698,-0.000053867575839138875,-1.0591733772713834
2026-08-21T00:30:40.886132,-0.000206458577028137,-0.011030737699811341,-0.00029690179667593293,-0.018871583331372406,-0.00003618564108694101,-1.0885487112899523
2026-08-21T00:30:40.896131,0.0008919594342492986,-0.008504506976925797,-0.00028193493300994764,-0.021252785728401672,-0.000025197803512942447,-1.1148084308462587
2026-08-21T00:30:40.906130,0.00010954296193512052,-0.006627328296235708,-0.0002802792874000315,-0.02373183954989304,-0.00004160908305790342,-1.1381501240304657
2026-08-21T00:30:40.916129,-0.0021739123442185023,-0.006267649122757826,-0.0002868299723281965,-0.02629463754799185,-0.00007945905240454271,-1.1588231063218273
2026-08-21T00:30:40.926128,-0.004475771161616809,-0.00559316459622248,-0.0002878996235433276,-0.028944941300349893,-0.0001159739013752382,-1.177022031979256
2026-08-21T00:30:40.936127,-0.0030075311466978417,-0.004566473864675971,-0.000217235329753501,-0.03167499988272405,-0.00009603464172103677,-1.1929766511173108
2026-08-21T00:30:40.946126,-0.0006243901769912789,-0.004430841064431302,-0.00013701330320139987,-0.034472145156251556,-0.00006071058679445555,-1.206840372468686
2026-08-21T00:30:40.956125,-0.0017698276117270025,-0.005358992481329884,-0.00012557429313483765,-0.0373289668321841,-0.00007430076959752011,-1.2188083985547402
2026-08-21T00:30:40.966124,-0.003842601457037961,-0.0053954080631680446,-0.0001298537816136796,-0.04025280539171186,-0.00009934031627971125,-1.2290153931219459
2026-08-21T00:30:40.976123,-0.005964002638272268,-0.004882183843055531,-0.00012956465983672162,-0.04323629877080748,-0.00012156525619721296,-1.2376307554015258
2026-08-21T00:30:40.986122,-0.007406162368841064,-0.004142371755652558,-0.00010035407064874196,-0.04627216190547017,-0.0001288018255931405,-1.2448085820531067
2026-08-21T00:30:40.996121,-0.006906293130363337,-0.0036877245467873796,-0.000024056009119784363,-0.049352846359584715,-0.0001018858127481828,-1.2506717654341621
2026-08-21T00:30:41.006120,-0.007841276195554905,-0.004333729480457191,0.00002142679900074744,-0.052470072050461586,-0.00008833646475045203,-1.255322761630116
2026-08-21T00:30:41.016119,-0.006766033298968027,-0.00534573337302015,0.00010139028096236209,-0.05562534221678926,-0.000038933931909740295,-1.2588600597517388
2026-08-21T00:30:41.026118,-0.0041222259197822835,-0.006647332599841612,0.00019795139151698252,-0.05881650229380429,0.000039329127139226924,-1.261391030782228
2026-08-21T00:30:41.036117,-0.0017521242307773385,-0.007224265246479347,0.00028808397540426,-0.062047643361335635,0.00011803369521098147,-1.2630020170020426
2026-08-21T00:30:41.046116,-0.00035673653785357653,-0.005929043169951614,0.00033843020147663157,-0.06532276507720101,0.00018522580056265544,-1.2637823683176783
2026-08-21T00:30:41.049449,0.00004550203351421961,-0.005891782789731011,0.00034940766976064515,-0.06641898274397733,0.00020698163823776886,-1.2638735657472229
