time,drone.gyro_x,drone.gyro_y,drone.gyro_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0
2026-08-21T00:30:40.726148,0.00028058864034622875,-0.007662552217737347,0.0012364441708906544
2026-08-21T00:30:40.736147,-0.010212198131117657,-0.01200712179412082,0.004181503001229365
2026-08-21T00:30:40.746146,0.004531636035793766,0.011530800456134473,-0.0018326392626553704
2026-08-21T00:30:40.756145,0.003345003855949329,-0.006993136758184908,0.007402681531339637
2026-08-21T00:30:40.766144,-0.008638072182264568,-0.016559738599062464,0.0022565188453358524
2026-08-21T00:30:40.776143,-0.003946825411531268,-0.016510095510082427,-0.0021909111545692674
2026-08-21T00:30:40.786142,-0.0005411801377301273,-0.011088256898787317,0.009981482331601356
2026-08-21T00:30:40.796141,0.00551687851865752,-0.005141520453362795,0.010841069643762196
2026-08-21T00:30:40.806140,0.004364447107466621,-0.007150599112181804,0.0003872374491630617
2026-08-21T00:30:40.816139,0.0010065094002877136,0.01891045144895728,0.0230376697841047
2026-08-21T00:30:40.826138,-0.010646510427057786,0.012232860988062245,0.0017185147843885033
2026-08-21T00:30:40.836137,0.013533242306567543,0.0031222761808723685,0.0025046533037039313
2026-08-21T00:30:40.846136,0.005495380424659349,0.01652941821040601,-0.0018132470614655595
2026-08-21T00:30:40.856135,0.009630013466546964,-0.0004263296917448808,0.00569351258244197
2026-08-21T00:30:40.866134,0.0012318302154155506,-0.007195431199297756,0.0004544684185414402
2026-08-21T00:30:40.876133,-0.017485528274856017,-0.026558416952889137,0.008096829636050512
2026-08-21T00:30:40.886132,0.0011595294674956857,-0.027568625692872856,-0.02496236772622227
2026-08-21T00:30:40.896131,0.007758860809253983,-0.01017026106168382,-0.006521598384337289
2026-08-21T00:30:40.906130,0.012357033798757452,0.0027273252238768945,-0.007328887289797555
2026-08-21T00:30:40.916129,0.013446155650267745,-0.010296162865662607,-0.004062848904260669
2026-08-21T00:30:40.926128,-0.018731320158500694,-0.017137339991365887,-0.011134162105757059
2026-08-21T00:30:40.936127,-0.00696007528520463,-0.0035597681466621373,-0.014319040666364462
2026-08-21T00:30:40.946126,0.019824198763700604,0.003712472822633315,0.006638647233579973
2026-08-21T00:30:40.956125,0.004037894060958154,-0.01320613731016759,0.0022035244756708956
2026-08-21T00:30:40.966124,0.005634697159271873,-0.011148412211505958,-0.017882301154986957
2026-08-21T00:30:40.976123,0.006878197214401251,-0.008291149671341931,-0.016126394481805778
2026-08-21T00:30:40.986122,-0.006112967800681808,-0.010105239818714308,-0.004333292346136901
2026-08-21T00:30:40.996121,0.01839228553678455,-0.0032719488031176334,0.006226794989982465
2026-08-21T00:30:41.006120,-0.010034407241488052,0.0006844973374296024,0.0037353500674196832
2026-08-21T00:30:41.016119,-0.007679053121207256,-0.00022898803105187316,0.019326709283617766
2026-08-21T00:30:41.026118,-0.0050825169718156215,-0.011497819373782761,-0.01011576304268575
2026-08-21T00:30:41.036117,0.0010848480888477558,-0.026639584228851855,0.009674352154953634
2026-08-21T00:30:41.046116,0.0014318437372601196,0.007607301833450868,0.004169830212817809
2026-08-21T00:30:41.049449,0.0041088638141472626,-0.015285343570721492,0.004360616519174965
