time,drone.accel_bias.x,drone.accel_bias.y,drone.accel_bias.z
2026-03-20T03:15:00.939622,0.0,0.0,0.0
2026-03-20T03:15:00.951350,0.0,0.0,0.0
2026-03-20T03:15:00.961349,0.0,0.0,0.0
2026-03-20T03:15:00.971348,0.0,0.0,0.0
2026-03-20T03:15:00.981347,0.0,0.0,0.0
2026-03-20T03:15:00.991346,0.0,0.0,0.0
2026-03-20T03:15:01.001345,0.0,0.0,0.0
2026-03-20T03:15:01.011344,0.0,0.0,0.0
2026-03-20T03:15:01.021343,0.0,0.0,0.0
2026-03-20T03:15:01.031342,0.0,0.0,0.0
2026-03-20T03:15:01.041341,0.0,0.0,0.0
2026-03-20T03:15:01.051340,0.0,0.0,0.0
2026-03-20T03:15:01.061339,0.0,0.0,0.0
2026-03-20T03:15:01.071338,0.0,0.0,0.0
2026-03-20T03:15:01.081337,0.0,0.0,0.0
2026-03-20T03:15:01.091336,0.0,0.0,0.0
2026-03-20T03:15:01.101335,0.0,0.0,0.0
2026-03-20T03:15:01.111334,0.0,0.0,0.0
2026-03-20T03:15:01.121333,0.0,0.0,0.0
2026-03-20T03:15:01.131332,0.0,0.0,0.0
2026-03-20T03:15:01.141331,0.0,0.0,0.0
2026-03-20T03:15:01.151330,0.0,0.0,0.0
2026-03-20T03:15:01.161329,0.0,0.0,0.0
2026-03-20T03:15:01.171328,0.0,0.0,0.0
2026-03-20T03:15:01.181327,0.0,0.0,0.0
2026-03-20T03:15:01.191326,0.0,0.0,0.0
2026-03-20T03:15:01.201325,0.0,0.0,0.0
2026-03-20T03:15:01.211324,0.0,0.0,0.0
2026-03-20T03:15:01.221323,0.0,0.0,0.0
2026-03-20T03:15:01.231322,0.0,0.0,0.0
2026-03-20T03:15:01.241321,0.0,0.0,0.0
2026-03-20T03:15:01.251320,0.0,0.0,0.0
2026-03-20T03:15:01.261319,0.0,0.0,0.0
2026-03-20T03:15:01.271318,0.0,0.0,0.0
2026-03-20T03:15:01.274651,0.0,0.0,0.0
