time,drone.motor_ang_vel_m1,drone.motor_ang_vel_m2,drone.motor_ang_vel_m3,drone.motor_ang_vel_m4
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,259.1972927374043,260.4071019263652,258.0043507090056,260.9675440981616
2026-08-21T00:30:40.736147,491.67975950767504,501.20295869750714,493.2946774878336,497.8255858648003
2026-08-21T00:30:40.746146,701.9112136779773,715.2107666288114,708.7867987305025,709.351789955213
2026-08-21T00:30:40.756145,902.4855656806695,899.2419086812972,902.6967283444609,903.8014251094851
2026-08-21T00:30:40.766144,1071.1332712995581,1080.5799410023667,1074.6897996265297,1079.426738013337
2026-08-21T00:30:40.776143,1224.2505945747132,1243.3613113323177,1228.8559089814619,1240.2336009855342
2026-08-21T00:30:40.786142,1366.6491496646456,1388.9855827923398,1372.8379244071007,1379.7682519259047
2026-08-21T00:30:40.796141,1503.3332034254788,1513.373425082035,1497.6072313785403,1515.0490695085898
2026-08-21T00:30:40.806140,1627.3302990246225,1624.209930905107,1611.962404462623,1633.5085592265991
2026-08-21T00:30:40.816139,1729.1526403958437,1734.0294964644252,1725.9430700965981,1727.8738021703236
2026-08-21T00:30:40.826138,1830.6754465904755,1824.0376187417269,1830.476529316334,1815.7484648494826
2026-08-21T00:30:40.836137,1914.3669186828788,1916.3871668606384,1919.6046751717672,1900.8569277595861
2026-08-21T00:30:40.846136,2003.2803274365212,1984.0189935402284,1994.0838541827802,1984.0759963876712
2026-08-21T00:30:40.856135,2074.299497299039,2056.386687273585,2065.875076162976,2057.3453630559206
2026-08-21T00:30:40.866134,2137.03162982865,2123.351602673579,2125.29401788621,2128.0232560844443
2026-08-21T00:30:40.876133,2185.455086930716,2190.610680373801,2182.581101770871,2188.04789016115
2026-08-21T00:30:40.886132,2224.6753089205813,2252.795952855781,2235.88051149867,2241.6517449134876
2026-08-21T00:30:40.896131,2273.5054870311533,2298.5280099084507,2274.525969708523,2298.174819748258
2026-08-21T00:30:40.906130,2326.5915117516765,2331.185265583641,2320.6154886294144,2341.229241992183
2026-08-21T00:30:40.916129,2367.8494309163807,2367.378653527731,2358.5436368272667,2383.6775010022234
2026-08-21T00:30:40.926128,2397.875719449347,2407.4317591135573,2397.81087088323,2415.5475383402545
2026-08-21T00:30:40.936127,2421.4556538729744,2447.9228332229027,2438.067968864854,2438.574081618986
2026-08-21T00:30:40.946126,2457.8419660573827,2470.897790088864,2467.71175881987,2467.1423806571297
2026-08-21T00:30:40.956125,2494.3961704762196,2487.945010031256,2484.6313093409885,2501.8765223972537
2026-08-21T00:30:40.966124,2513.8260455896466,2516.197240715993,2507.596891857777,2527.6820396107196
2026-08-21T00:30:40.976123,2534.1552573377026,2536.536723913276,2528.6085022338075,2550.916158827842
2026-08-21T00:30:40.986122,2548.347482151573,2561.3841751076807,2551.7186798227617,2567.521462097313
2026-08-21T00:30:40.996121,2566.914434098188,2577.080270384248,2574.6769427617724,2580.7885318537233
2026-08-21T00:30:41.006120,2587.8787262126784,2589.715592292477,2589.3286946315297,2598.362552900582
2026-08-21T00:30:41.016119,2594.514659173895,2611.0144875168457,2609.686468411755,2606.3554638575893
2026-08-21T00:30:41.026118,2610.0796256963126,2624.2896476503165,2626.271905036211,2615.178241509922
2026-08-21T00:30:41.036117,2619.423446389849,2639.6428407879844,2629.547751493652,2636.057116455593
2026-08-21T00:30:41.046116,2631.1223489454196,2651.1651462267414,2638.5689804098065,2646.359396573253
2026-08-21T00:30:41.049449,2637.9026358090487,2651.6915486076978,2643.412335191754,2647.4869516056424
