time,drone.gyro_bias.x,drone.gyro_bias.y,drone.gyro_bias.z
2026-04-15T20:03:18.483347,0.0025,0.0001,0.0005
2026-04-15T20:03:18.507742,0.0024966920900955933,0.000037162552332279896,0.0004458668217461768
2026-04-15T20:03:18.517741,0.002501412285010067,0.000059950081834415865,0.00043472987074705136
2026-04-15T20:03:18.527740,0.0025951601148038925,0.0001854719077985363,0.000541512277532046
2026-04-15T20:03:18.537739,0.0025026521649296305,0.00018540056801365316,0.0004183176774454459
2026-04-15T20:03:18.547738,0.0025155008072658223,0.00023979687635337514,0.0004503986523761708
2026-04-15T20:03:18.557737,0.0026022941984680348,0.00014637192300817693,0.0004468826746821035
2026-04-15T20:03:18.567736,0.0026578977679698936,0.00006934320306119189,0.0004099850479069804
2026-04-15T20:03:18.577735,0.002676802221654368,-0.00006230245461017896,0.00034344959355918326
2026-04-15T20:03:18.587734,0.002734064469289436,-0.00016583427888966368,0.0003572770635451601
2026-04-15T20:03:18.597733,0.002768598413218539,-0.0003619529274416825,0.0005530739349849259
2026-04-15T20:03:18.607732,0.0027140797795413814,-0.00035525822749255106,0.00037571267612109325
2026-04-15T20:03:18.617731,0.002735654112989943,-0.00039466757139394287,0.00047106477446433434
2026-04-15T20:03:18.627730,0.0027924528634014983,-0.0005816638088497201,0.0004674068039851801
2026-04-15T20:03:18.637729,0.0027893188072055887,-0.0006608511364550933,0.0002701319861919302
2026-04-15T20:03:18.647728,0.0027286109647600486,-0.0005852942516034341,0.0004142928239401106
2026-04-15T20:03:18.657727,0.002578933811265302,-0.0006432905133725371,0.0004487002812250567
2026-04-15T20:03:18.667726,0.0026142841548164376,-0.00082662885578015,0.0003160500911302601
2026-04-15T20:03:18.677725,0.002703343865419815,-0.0008793587497869184,0.00033882982304949717
2026-04-15T20:03:18.687724,0.0026166561914506073,-0.0009342046965840187,0.0005479596396987636
2026-04-15T20:03:18.697723,0.0025093108276039253,-0.0010007926033350973,0.0006028227697484006
2026-04-15T20:03:18.707722,0.0025088681542748486,-0.0010277507696815687,0.00046100732248500966
2026-04-15T20:03:18.717721,0.002594960512627284,-0.0009457513248671967,0.0002829398730119557
2026-04-15T20:03:18.727720,0.0025872703666030843,-0.0010130482743928209,0.0002831194929996133
2026-04-15T20:03:18.737719,0.002691967769698499,-0.0007867896371819487,0.0001545888834407285
2026-04-15T20:03:18.747718,0.0028646138727511567,-0.0007999460305177434,0.0001660230223124204
2026-04-15T20:03:18.757717,0.002754274233606706,-0.001011743928506458,0.00014313644060859573
2026-04-15T20:03:18.767716,0.002602199318002367,-0.0008285336900686397,0.00017357026565791925
2026-04-15T20:03:18.777715,0.0026094582793476048,-0.0008005041239922037,0.00012512206259921154
2026-04-15T20:03:18.787714,0.0027749180581201124,-0.000890403449865562,0.00007124510927799201
2026-04-15T20:03:18.797713,0.0027617911142246983,-0.0008607759330732914,0.00028286052516315495
2026-04-15T20:03:18.807712,0.002766532393625155,-0.0008778890160300394,0.0002968096675717529
2026-04-15T20:03:18.817711,0.0028008175092304236,-0.0010428950598590054,0.00026165264908275176
2026-04-15T20:03:18.827710,0.0026192620615436836,-0.0010422672932523204,0.0001944309908165592
2026-04-15T20:03:18.831043,0.002702765782547227,-0.000983011060625279,0.00019849921799100574
