time,drone.world_accel_αx,drone.world_accel_αy,drone.world_accel_αz,drone.world_accel_x,drone.world_accel_y,drone.world_accel_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-0.0019757417403928174,0.002310183446813146,-0.00007226866602452896,-0.0031053672890025467,-0.000027661685503500835,-9.715962641216862
2026-08-21T00:30:40.736147,0.010603887919570463,0.020663663010720895,-0.000025648314725877306,-0.011401277393142175,0.0001509983934400782,-9.466590253505396
2026-08-21T00:30:40.746146,0.038950246361347314,0.024310725533584415,0.0008324961190416702,-0.02317957002836555,0.0005481219909828034,-9.108386015912338
2026-08-21T00:30:40.756145,-0.016443848949003696,-0.03287126062606219,0.0007240531281933598,-0.03712445345402713,-0.00024430272168613745,-8.673330083570383
2026-08-21T00:30:40.766144,0.022076421925080837,0.02612418162688199,0.0009848178468892018,-0.05327015210817707,0.00029314200674577167,-8.190841604221722
2026-08-21T00:30:40.776143,0.04125971417939308,0.10546550980256733,0.0011287969437116072,-0.0704080653699636,0.0005483931223683003,-7.681016989972948
2026-08-21T00:30:40.786142,0.09106651579079778,0.10485771065440398,0.0005715668398572527,-0.08745518365392112,0.001224694665467566,-7.158917950331277
2026-08-21T00:30:40.796141,-0.04858430774414309,0.09774778646601387,-0.0022539120157710484,-0.10453109882105266,-0.000811429251380969,-6.632975284866413
2026-08-21T00:30:40.806140,-0.1735322099938677,0.03977355807631812,-0.005271174457321914,-0.12081190076249437,-0.0026414481031780406,-6.120343582334281
2026-08-21T00:30:40.816139,0.020337005187454477,-0.04444127622693742,-0.0034520768828006144,-0.13624069953012113,0.00007471384322864468,-5.627272871244641
2026-08-21T00:30:40.826138,0.06182783938125392,-0.2605682189981973,-0.0025768766062480796,-0.15041537792956708,0.0006399351967291864,-5.149317747522218
2026-08-21T00:30:40.836137,0.16895277761545302,-0.2421493014800249,-0.0017142733725174133,-0.16536695820334674,0.002104409781488519,-4.690773240058844
2026-08-21T00:30:40.846136,-0.08159087254112224,-0.3583933078130464,-0.00571232149221417,-0.1787489678850829,-0.0015533367810592518,-4.261024341470547
2026-08-21T00:30:40.856135,-0.08525239444404481,-0.35231206929241393,-0.005126593726312579,-0.19237515922970896,-0.0017058145380982887,-3.851406474115054
2026-08-21T00:30:40.866134,-0.15214883980400593,-0.23414026363084495,-0.0061919099722789585,-0.2059643302093292,-0.002683600676983611,-3.470035179524772
2026-08-21T00:30:40.876133,-0.004105808018532058,-0.05326909717609986,-0.002863289008652941,-0.21915946847198506,-0.0005368337780670687,-3.1179450015240326
2026-08-21T00:30:40.886132,0.21559374015328017,0.15288359640667093,0.00377862987355976,-0.23163718059461205,0.002610888355150625,-2.794946496099493
2026-08-21T00:30:40.896131,0.013658195225073354,0.2896504151729902,0.0006142007521317827,-0.2429333749519939,-0.00029422744365645477,-2.4942215230661815
2026-08-21T00:30:40.906130,-0.15994765273866318,0.07067710810199175,-0.0005818541280692908,-0.25148297093513033,-0.0028253924244857316,-2.211626589582681
2026-08-21T00:30:40.916129,-0.2598590826382129,0.0638837180251789,-0.0006933866662456707,-0.260430800039707,-0.0041963077238470325,-1.9519169345817808
2026-08-21T00:30:40.926128,-0.08298369421456608,0.08771340540620705,0.003075542550968131,-0.2687492144899068,-0.0014432878064169039,-1.7159445092388943
2026-08-21T00:30:40.936127,0.2741709053330087,0.08306315935065871,0.009013591728793173,-0.2761893307194543,0.003933469696422368,-1.5000925180601203
2026-08-21T00:30:40.946126,0.14625090294371623,-0.06275796120560836,0.0061505517718977686,-0.28231363050151587,0.0022861316170171243,-1.2984908547984542
2026-08-21T00:30:40.956125,-0.25343827525909773,-0.08233798048667511,-0.0021044130673058916,-0.288571576973701,-0.0032739283000314252,-1.1159131981468382
2026-08-21T00:30:40.966124,-0.19081125251534992,0.03385936815155717,-0.00031924821084131116,-0.295210029430885,-0.002143662878229366,-0.9470150489672753
2026-08-21T00:30:40.976123,-0.215771837447746,0.055519265527580394,0.001375632585000646,-0.3006720222142125,-0.0020711107878132115,-0.796988489018633
2026-08-21T00:30:40.986122,-0.02824702850172571,0.09723258808877261,0.005177260828648434,-0.3058768542431724,0.0012075504485343528,-0.6568329753670541
2026-08-21T00:30:40.996121,0.04784183014392099,-0.034592499499580036,0.00780078523532382,-0.3095765763714458,0.0029637112750405194,-0.530525187794413
2026-08-21T00:30:41.006120,-0.07776580624691534,-0.0927551391209005,0.004754176804102036,-0.313456804441822,0.0019007478574602716,-0.41185312906223537
2026-08-21T00:30:41.016119,0.22531329364882352,-0.07042845087169462,0.010550667220159208,-0.3173248840506738,0.006926688883573635,-0.30979757946750996
2026-08-21T00:30:41.026118,0.2874416720836406,-0.17850303707383045,0.009691583359937963,-0.3204542177934333,0.008388221703990806,-0.21100918073361383
2026-08-21T00:30:41.036117,0.15702598623861158,0.071431634235268,0.0068662431386399235,-0.3254195207483975,0.006866905171874668,-0.12172563692761434
2026-08-21T00:30:41.046116,0.14011044258788602,0.08273147743074781,0.004161054755642419,-0.32862108738091483,0.006785107092231448,-0.043673228290379625
2026-08-21T00:30:41.049449,0.11104770898188898,-0.02423526655720606,0.0028632547886554027,-0.32898635304129475,0.006397369659072458,-0.01928739991296628
