time,drone.rate_pid_state_e.r,drone.rate_pid_state_e.p,drone.rate_pid_state_e.y,drone.rate_pid_state_i.r,drone.rate_pid_state_i.p,drone.rate_pid_state_i.y,drone.rate_pid_state_d.r,drone.rate_pid_state_d.p,drone.rate_pid_state_d.y
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-0.0010611102584941275,0.007429920125829983,0.00026400250294547476,-6.242482449475883e-6,0.000027060046436041165,1.6156432607741543e-6,-0.047824155803666335,0.37980299695517855,0.012993608297610995
2026-08-21T00:30:40.736147,0.006827715726714308,0.012905457043398245,0.0001252894297062724,0.00001619676256745898,0.00011952226294880907,2.6802517476620384e-6,0.36578778270399137,0.499749908917695,0.036163353648407656
2026-08-21T00:30:40.746146,0.000197325277184782,-0.00014018638631939015,-0.0006847768348617117,0.00007879408300897089,0.0001881896869547119,-1.2093966271354676e-6,-0.17673959959699903,-0.351031999461065,-0.08749585042569219
2026-08-21T00:30:40.756145,-0.009837957970981545,0.0008139594471880222,-0.0001715041327395994,0.000017593205718859508,0.00011037025633724863,-4.853170322258141e-6,-0.5484041858760849,0.04820985503553932,0.05718002125700341
2026-08-21T00:30:40.766144,0.009464076421580628,0.017842444934814426,-0.001802376661743405,0.000049055234608469334,0.00024318474654587722,-0.000017094160824768233,0.5260688839590502,0.7381937156407993,-0.1391244841521418
2026-08-21T00:30:40.776143,0.00038295457529748415,0.02456113134825199,-0.0012097137915345545,0.00008210086407143946,0.0004355300412026051,-0.00003257980785550795,-0.09121359884100806,0.7871378135441991,0.12038617735325946
2026-08-21T00:30:40.786142,0.008830304735882746,0.00949445728547991,-0.0024865572428441575,0.00014495509796655582,0.000548658859677902,-0.00005000884966235468,0.30943781848489166,-0.12840420578741196,-0.23547962719027837
2026-08-21T00:30:40.796141,-0.011748270137514161,0.009876465434643215,-0.003309230170282591,0.00006987755294178755,0.0006528897581571814,-0.00008105123926968763,-0.6514310999038658,-0.07205041979497281,-0.04956936695428471
2026-08-21T00:30:40.806140,-0.014781265988381642,0.003297144060156951,-0.0037883844090846074,-0.0000355958254072628,0.0006927709487441853,-0.00011931234884981764,-0.5760606022681134,-0.2905035348795745,0.0652671360573505
2026-08-21T00:30:40.816139,0.012014206414308325,-0.010889121796749297,-0.004566919694460645,0.000038753486463027,0.0006843487965285474,-0.00015952861561378882,0.7237739007245787,-0.9116459748231329,-0.20644689189296045
2026-08-21T00:30:40.826138,0.007745189002327759,-0.013210596807026366,-0.005183477998366349,0.000055519015327035236,0.0005020105553210532,-0.00021381330306880782,0.40730295204554656,-0.4718441800188994,0.12974878306014348
2026-08-21T00:30:40.836137,0.0007196703162833037,0.003301430793997787,-0.0045255545851217395,0.0001352592490211319,0.0004648212071060984,-0.0002613935286234842,-0.19995585146688155,0.4840559109092484,0.06356068087904984
2026-08-21T00:30:40.846136,-0.008634321937643972,-0.02144839502028557,-0.0038524564606417927,0.000014169820090329761,0.0003374113154401526,-0.00030288323830253167,-0.3594875316010193,-0.8128290430032874,0.09510271333653189
2026-08-21T00:30:40.856135,-0.001544914800092788,-0.0006425447713264065,-0.003733407434610283,-0.00001878142084089233,0.0002618006255024514,-0.0003385536738592432,0.0891747245310417,0.44064177651669323,-0.10085987593784024
2026-08-21T00:30:40.866134,-0.0035227537159117465,0.006609807680526594,-0.003115356965024946,-0.00009015421059322018,0.0003016241524221154,-0.0003738224587791484,0.0676434498575576,0.5674770945616854,0.1557510452105683
