time,drone.thrust_0,drone.thrust_1,drone.thrust_2,drone.thrust_3
2026-08-21T00:30:40.695630,0.0,0.0,0.0,0.0
2026-08-21T00:30:40.726148,0.06069286788589176,0.061260760776207186,0.06013548199286964,0.06152473252682207
2026-08-21T00:30:40.736147,0.21839434975311703,0.2269363102184819,0.2198313345274363,0.2238881791324236
2026-08-21T00:30:40.746146,0.44508309429845383,0.4621094230376593,0.4538454413519761,0.4545692722444001
2026-08-21T00:30:40.756145,0.7357957353169311,0.7305161384577746,0.7361400970892313,0.7379429377374709
2026-08-21T00:30:40.766144,1.0364867537220679,1.0548495939118354,1.0433811607534103,1.052599308572949
2026-08-21T00:30:40.776143,1.3539960096959025,1.3965980667869033,1.364201935955086,1.3895805408648323
2026-08-21T00:30:40.786142,1.6872941787717648,1.7428989693896204,1.7026103660658904,1.7198439092428008
2026-08-21T00:30:40.796141,2.0416779408046395,2.069040273275506,2.02615466634686,2.0736245947725656
2026-08-21T00:30:40.806140,2.3923689567591104,2.383203128806191,2.3473970499336554,2.4105689937179653
2026-08-21T00:30:40.816139,2.7011170332249836,2.71637483640403,2.691098971295018,2.697123152894277
2026-08-21T00:30:40.826138,3.0276066515167153,3.0056909181580527,3.0269487407503015,2.9784348755159207
2026-08-21T00:30:40.836137,3.3107554213620567,3.3177468468648086,3.3288968268942916,3.2641912564785027
2026-08-21T00:30:40.846136,3.6254355552634565,3.5560543346857174,3.592225334236432,3.5562586756072103
2026-08-21T00:30:40.856135,3.8870458322093833,3.8202017969892608,3.8555367712695876,3.8237645399781583
2026-08-21T00:30:40.866134,4.125709427602258,4.073057731799726,4.080513103761688,4.090999975543948
2026-08-21T00:30:40.876133,4.31479839771233,4.335180043055217,4.303457498618469,4.32504254284962
2026-08-21T00:30:40.886132,4.471054941975022,4.584800594290831,4.516207819073084,4.539552293456977
2026-08-21T00:30:40.896131,4.669482484020712,4.77283409149829,4.673675300311237,4.771367423685695
2026-08-21T00:30:40.906130,4.890091842451384,4.909421454032895,4.865002976905215,4.951817346791094
2026-08-21T00:30:40.916129,5.065063593364399,5.063049715002849,5.025329801502328,5.133005526107922
2026-08-21T00:30:40.926128,5.194336461015721,5.235820006108778,5.194055511745631,5.271180828702146
2026-08-21T00:30:40.936127,5.296997609692752,5.413425741866762,5.36992666571502,5.372156357830752
2026-08-21T00:30:40.946126,5.457385689475837,5.515517910035661,5.501303414126281,5.4987650620216115
2026-08-21T00:30:40.956125,5.620922526466182,5.591885773866763,5.576999998092045,5.65468582752305
2026-08-21T00:30:40.966124,5.708830918600963,5.719605837910169,5.680573493284605,5.771937534620267
2026-08-21T00:30:40.976123,5.801538449461216,5.812447537782638,5.776169446943384,5.878534981977871
2026-08-21T00:30:40.986122,5.866702015180911,5.92688064116444,5.882234350782785,5.955317254857755
2026-08-21T00:30:40.996121,5.952501607918807,5.999742747072544,5.988557512327336,6.017021698226768
2026-08-21T00:30:41.006120,6.050128212131803,6.058719974379471,6.056909791445538,6.099247186242465
2026-08-21T00:30:41.016119,6.0811959121845245,6.158788644605164,6.152525248506096,6.1368291022146755
2026-08-21T00:30:41.026118,6.15437918180979,6.221574009414699,6.2309764919639035,6.178447001747021
2026-08-21T00:30:41.036117,6.1985221625597156,6.294584583131962,6.246530443082183,6.277494911280801
2026-08-21T00:30:41.046116,6.254013643026096,6.349657505363779,6.289464094917074,6.326658404494916
2026-08-21T00:30:41.049449,6.286287811650808,6.3521792695523,6.312575155748301,6.332050850643854
