time,drone.magnetometer_bias.x,drone.magnetometer_bias.y,drone.magnetometer_bias.z
2026-04-15T20:03:18.483347,0.0,0.0,0.0
2026-04-15T20:03:18.507742,0.0,0.0,0.0
2026-04-15T20:03:18.517741,0.0,0.0,0.0
2026-04-15T20:03:18.527740,0.0,0.0,0.0
2026-04-15T20:03:18.537739,0.0,0.0,0.0
2026-04-15T20:03:18.547738,0.0,0.0,0.0
2026-04-15T20:03:18.557737,0.0,0.0,0.0
2026-04-15T20:03:18.567736,0.0,0.0,0.0
2026-04-15T20:03:18.577735,0.0,0.0,0.0
2026-04-15T20:03:18.587734,0.0,0.0,0.0
2026-04-15T20:03:18.597733,0.0,0.0,0.0
2026-04-15T20:03:18.607732,0.0,0.0,0.0
2026-04-15T20:03:18.617731,0.0,0.0,0.0
2026-04-15T20:03:18.627730,0.0,0.0,0.0
2026-04-15T20:03:18.637729,0.0,0.0,0.0
2026-04-15T20:03:18.647728,0.0,0.0,0.0
2026-04-15T20:03:18.657727,0.0,0.0,0.0
2026-04-15T20:03:18.667726,0.0,0.0,0.0
2026-04-15T20:03:18.677725,0.0,0.0,0.0
2026-04-15T20:03:18.687724,0.0,0.0,0.0
2026-04-15T20:03:18.697723,0.0,0.0,0.0
2026-04-15T20:03:18.707722,0.0,0.0,0.0
2026-04-15T20:03:18.717721,0.0,0.0,0.0
2026-04-15T20:03:18.727720,0.0,0.0,0.0
2026-04-15T20:03:18.737719,0.0,0.0,0.0
2026-04-15T20:03:18.747718,0.0,0.0,0.0
2026-04-15T20:03:18.757717,0.0,0.0,0.0
2026-04-15T20:03:18.767716,0.0,0.0,0.0
2026-04-15T20:03:18.777715,0.0,0.0,0.0
2026-04-15T20:03:18.787714,0.0,0.0,0.0
2026-04-15T20:03:18.797713,0.0,0.0,0.0
2026-04-15T20:03:18.807712,0.0,0.0,0.0
2026-04-15T20:03:18.817711,0.0,0.0,0.0
2026-04-15T20:03:18.827710,0.0,0.0,0.0
2026-04-15T20:03:18.831043,0.0,0.0,0.0
