time,drone.angle_desired.r,drone.angle_desired.p,drone.angle_desired.y
2026-04-19T15:52:09.207169,0.0,0.0,0.0
2026-04-19T15:52:09.222981,0.0,0.0,0.0
2026-04-19T15:52:09.232980,0.0,0.0,0.0
2026-04-19T15:52:09.242979,0.0,0.0,0.0
2026-04-19T15:52:09.252978,0.0,0.0,0.0
2026-04-19T15:52:09.262977,0.0,0.0,0.0
2026-04-19T15:52:09.272976,0.0,0.0,0.0
2026-04-19T15:52:09.282975,0.0,0.0,0.0
2026-04-19T15:52:09.292974,0.0,0.0,0.0
2026-04-19T15:52:09.302973,0.0,0.0,0.0
2026-04-19T15:52:09.312972,0.0,0.0,0.0
2026-04-19T15:52:09.322971,0.0,0.0,0.0
2026-04-19T15:52:09.332970,0.0,0.0,0.0
2026-04-19T15:52:09.342969,0.0,0.0,0.0
2026-04-19T15:52:09.352968,0.0,0.0,0.0
2026-04-19T15:52:09.362967,0.0,0.0,0.0
2026-04-19T15:52:09.372966,0.0,0.0,0.0
2026-04-19T15:52:09.382965,0.0,0.0,0.0
2026-04-19T15:52:09.392964,0.0,0.0,0.0
2026-04-19T15:52:09.402963,0.0,0.0,0.0
2026-04-19T15:52:09.412962,0.0,0.0,0.0
2026-04-19T15:52:09.422961,0.0,0.0,0.0
2026-04-19T15:52:09.432960,0.0,0.0,0.0
2026-04-19T15:52:09.442959,0.0,0.0,0.0
2026-04-19T15:52:09.452958,0.0,0.0,0.0
2026-04-19T15:52:09.462957,0.0,0.0,0.0
2026-04-19T15:52:09.472956,0.0,0.0,0.0
2026-04-19T15:52:09.482955,0.0,0.0,0.0
2026-04-19T15:52:09.492954,0.0,0.0,0.0
2026-04-19T15:52:09.502953,0.0,0.0,0.0
2026-04-19T15:52:09.512952,0.0,0.0,0.0
2026-04-19T15:52:09.522951,0.0,0.0,0.0
2026-04-19T15:52:09.532950,0.0,0.0,0.0
2026-04-19T15:52:09.542949,0.0,0.0,0.0
2026-04-19T15:52:09.546282,0.0,0.0,0.0
