time,drone.body_ang_vel_x,drone.body_ang_vel_y,drone.body_ang_vel_z
2026-08-21T00:30:40.695630,0.0,0.0,0.0
2026-08-21T00:30:40.726148,-7.243621648249673e-6,2.5322858801177942e-6,-1.748899017461621e-7
2026-08-21T00:30:40.736147,-7.497478211993125e-7,0.0001046671101471092,-9.549805857372013e-7
2026-08-21T00:30:40.746146,0.0003245523662581606,0.00038874064519996273,5.3472100692366816e-6
2026-08-21T00:30:40.756145,0.00045833982602115923,0.0002490349888964226,0.000013419016971543204
2026-08-21T00:30:40.766144,0.0003768798807138241,0.00018292736542128418,0.00002031959469060293
2026-08-21T00:30:40.776143,0.0008038194160874807,0.0008202306096895387,0.00003128376432470574
2026-08-21T00:30:40.786142,0.0014326453367827915,0.0019405935793791575,0.00003996034143624328
2026-08-21T00:30:40.796141,0.001735516338001376,0.002967504906922936,0.000032809913316638244
2026-08-21T00:30:40.806140,0.0006540237931906807,0.0036214369181793013,-5.609103219732431e-6
2026-08-21T00:30:40.816139,-0.00022272073124161696,0.0036941094114972687,-0.00005134104000767616
2026-08-21T00:30:40.826138,2.293795816924576e-7,0.001865484329764417,-0.00008519363263319176
2026-08-21T00:30:40.836137,0.0014416803640979077,-0.0008734025035369054,-0.00010488922239579342
2026-08-21T00:30:40.846136,0.0015519062042920007,-0.0037432240124614896,-0.00014869007423689865
2026-08-21T00:30:40.856135,0.0006064586769082906,-0.007511149861183853,-0.00020334945759535215
2026-08-21T00:30:40.866134,-0.000826861852193699,-0.01045583183624678,-0.0002647418399938266
2026-08-21T00:30:40.876133,-0.0017746017119691809,-0.011914295304496692,-0.00031167044335959806
2026-08-21T00:30:40.886132,-0.00020639995747431022,-0.01103075870463759,-0.0002961612408025896
2026-08-21T00:30:40.896131,0.0008919882371998469,-0.008504512965812741,-0.0002816630227725321
2026-08-21T00:30:40.906130,0.00010954266186423067,-0.00662734717276001,-0.0002798327044558526
2026-08-21T00:30:40.916129,-0.0021739222074571136,-0.006267711837566194,-0.0002853811425720561
2026-08-21T00:30:40.926128,-0.004475795797689935,-0.005593277122693766,-0.0002853189285086043
2026-08-21T00:30:40.936127,-0.0030075410178784967,-0.004566549171347347,-0.00021550878187366867
2026-08-21T00:30:40.946126,-0.0006243548703911604,-0.004430854471148462,-0.00013674036693894827
2026-08-21T00:30:40.956125,-0.00176975869542137,-0.005359038893563718,-0.00012456079049868093
2026-08-21T00:30:40.966124,-0.003842534056105439,-0.005395515277446153,-0.00012736973283878817
2026-08-21T00:30:40.976123,-0.0059639500768563425,-0.004882356477083004,-0.00012541235680954123
2026-08-21T00:30:40.986122,-0.007406109087053395,-0.004142594947278378,-0.00009492643788804072
2026-08-21T00:30:40.996121,-0.006906189606437128,-0.003687948100184103,-0.000018967270363140218
2026-08-21T00:30:41.006120,-0.007841110443881904,-0.004333997226104745,0.00002716143290931965
2026-08-21T00:30:41.016119,-0.006765759759864753,-0.005345995334918823,0.00010573853630624049
2026-08-21T00:30:41.026118,-0.004121817088080832,-0.00664755145455881,0.00019911185661165235
2026-08-21T00:30:41.036117,-0.0017516042167711253,-0.007224454935035993,0.0002864849173600553
2026-08-21T00:30:41.046116,-0.00035619559852630546,-0.00592921965852856,0.0003358985060551835
2026-08-21T00:30:41.049449,0.000046054560341625,-0.005891954617240633,0.0003464251173926968
