time,drone.accel_health
2026-04-19T15:52:09.207169,1.0
2026-04-19T15:52:09.222981,0.0
2026-04-19T15:52:09.232980,0.0
2026-04-19T15:52:09.242979,0.0
2026-04-19T15:52:09.252978,0.0
2026-04-19T15:52:09.262977,0.0
2026-04-19T15:52:09.272976,0.0
2026-04-19T15:52:09.282975,0.0
2026-04-19T15:52:09.292974,0.0
2026-04-19T15:52:09.302973,0.0
2026-04-19T15:52:09.312972,0.0
2026-04-19T15:52:09.322971,0.0
2026-04-19T15:52:09.332970,0.0
2026-04-19T15:52:09.342969,0.02404367947000554
2026-04-19T15:52:09.352968,0.11751919195699786
2026-04-19T15:52:09.362967,0.19437141997011467
2026-04-19T15:52:09.372966,0.23501545077558234
2026-04-19T15:52:09.382965,0.31168696646153266
2026-04-19T15:52:09.392964,0.3941622633668822
2026-04-19T15:52:09.402963,0.472502432194346
2026-04-19T15:52:09.412962,0.528249082016074
2026-04-19T15:52:09.422961,0.5514297538240206
2026-04-19T15:52:09.432960,0.6206516751206732
2026-04-19T15:52:09.442959,0.6687206335106841
2026-04-19T15:52:09.452958,0.7179464574408191
2026-04-19T15:52:09.462957,0.7476806761302017
2026-04-19T15:52:09.472956,0.7822705613534994
2026-04-19T15:52:09.482955,0.8218973046175926
2026-04-19T15:52:09.492954,0.8324432975161816
2026-04-19T15:52:09.502953,0.8671426106326834
2026-04-19T15:52:09.512952,0.8711857505521999
2026-04-19T15:52:09.522951,0.9021864231233285
2026-04-19T15:52:09.532950,0.9118933312210806
2026-04-19T15:52:09.542949,0.9477279631806261
2026-04-19T15:52:09.546282,0.9367443811157374
